----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |         Rel. |    Aki     | Acc. |          Ei           Ek          |              Lower level              |              Upper level              |  gi   gk  |Type|                     TP  |        Line  |
          |     Wavelength     |     Wavelength     |         Int. |   (s^-1)   |      |         (eV)         (eV)         |---------------------------------------|---------------------------------------|           |    |                    Ref. |        Ref.  |
          |      Air (nm)      |      Air (nm)      |              |            |      |                                   | Conf.                  | Term  | J    | Conf.                  | Term  | J    |           |    |                         |              |
Cr II     |         201.82027  |         201.820169 |           4* |            |      |     8.34959263  -     14.4909116  | 3d4.(3H).4p            | y 4G* | 5/2  | 3d4.(5D).6d            | 4G    | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         201.82027  |         201.820500 |           4* |            |      |     6.42099465  -     12.5623035  | 3d4.(5D).4p            | z 4F* | 7/2  | 3d4.(a 3F).5s          | f 4F  | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |         201.99432  |         201.994300 |           15 |            |      |     8.16837812  -     14.3044036  | 3d3.4s2                | d 4P  | 1/2  | 3d4.(5D<2>).5f         | 2[1]* | 3/2  |   2 - 4   |    |                         |      L18847  |
Cr II     |         202.07099  |         202.071008 |           15 |            |      |     4.47601845  -     10.60971501 | 3d5                    | a 2G  | 7/2  | 3d4.(1F).4p            | v 2G* | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |         202.158302 |         202.158305 |          130 |            |      |     3.10377922  -      9.23482749 | 3d5                    | b 4D  | 7/2  | 3d4.(3D).4p            | x 4P* | 5/2  |   8 - 6   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         202.21166  |         202.211662 |           15 |            |      |     3.10539678  -      9.23482749 | 3d5                    | b 4D  | 5/2  | 3d4.(3D).4p            | x 4P* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         202.33114  |         202.33119  |            7 |            |      |     6.6047630   -     12.7305733  | 3d3.4s2                | c 4F  | 5/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         202.34675  |         202.346730 |            7 |            |      |     4.75632937  -     10.8816692  | 3d4.(3D).4s            | c 4D  | 3/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |         202.4002   |         202.40036  |            3 |            |      |     6.8046843   -     12.928401   | 3d4.(a 3F).4s          | d 4F  | 5/2  | 3d3.(a 2D).4s.4p.(3P*) | o 4D* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         202.40486  |         202.404882 |            3 |            |      |     3.10377922  -      9.22735950 | 3d5                    | b 4D  | 7/2  | 3d4.(3D).4p            | w 4F* | 7/2  |   8 - 8   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         202.41310  |         202.413067 |            4 |            |      |     8.41547314  -     14.5388058  | 3d4.(a 3F).4p          | x 4D* | 7/2  | 3d4.(5D).6d            | 4D    | 7/2  |   8 - 8   |    |                         |      L18847  |
Cr II     |         202.48223  |         202.482229 |           17 |            |      |     8.21476628  -     14.3360077  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[4]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         202.561863 |         202.561870 |           57 | 2.11e+06   |      |     0.00000000  -      6.11883508 | 3d5                    | a 6S  | 5/2  | 3d4.(5D).4p            | z 6D* | 5/2  |   6 - 6   |    |                   T7574 |      L18847  |
Cr II     |         202.57179  |         202.571799 |           14 |            |      |     8.21476628  -     14.3333015  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[2]* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         202.57445  |         202.574341 |            9 |            |      |     6.64136865  -     12.7598271  | 3d3.4s2                | c 4F  | 7/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 7/2  |   8 - 8   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr I      |         202.586    |         202.5947   |           15 |            |      |     0.96841323  -      7.086257   | 3d4.4s2                | a 5D  | 1    | 3d4.(1S1).4s.4p.(3P*)  | u 3P* | 0    |   3 - 1   |    |                         |        L808  |
Cr II     |         202.63231  |         202.632392 |            4 |            |      |     8.21476628  -     14.3314721  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[3]* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr II     |         202.64577  |         202.64576  |           28 |            |      |     6.6047630   -     12.7210653  | 3d3.4s2                | c 4F  | 5/2  | 3d3.(4P).4s.4p.(3P*)   | q 4D* | 3/2  |   6 - 4   |    |                         |      L18847  |
Cr II     |         202.71574  |         202.715759 |           25 |            |      |     8.21476628  -     14.3289570  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<3>).5f         | 2[2]* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         202.77195  |         202.771968 |            7 |            |      |     4.49721894  -     10.60971501 | 3d5                    | a 2G  | 9/2  | 3d4.(1F).4p            | v 2G* | 7/2  |  10 - 8   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         202.7773   |         202.777256 |            5 |            |      |     8.18422741  -     14.2965641  | 3d3.4s2                | d 4P  | 3/2  | 3d4.(5D<1>).5f         | 2[2]* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr I      |         202.813    |         202.8158   |           12 |            |      |     0.96841323  -      7.079588   | 3d4.4s2                | a 5D  | 1    |                        | p 5F* | 2    |   3 - 5   |    |                         |        L808  |
Cr I      |         202.833    |         202.8335   |           10 |            |      |     0.96841323  -      7.079056   | 3d4.4s2                | a 5D  | 1    |                        | p 5F* | 1    |   3 - 3   |    |                         |        L808  |
Cr II     |         202.8722   |         202.87207  |            4 |            |      |     6.68566396  -     12.7951445  | 3d3.4s2                | c 4F  | 9/2  | 3d3.(4F).4s.4p.(1P*)   | s 4G* | 9/2  |  10 - 10  |    |                         |      L18847  |
Cr II     |         202.8894   |         202.889181 |            4 |            |      |     3.10539678  -      9.21436204 | 3d5                    | b 4D  | 5/2  | 3d4.(3D).4p            | w 4F* | 5/2  |   6 - 6   |    |                         |      L18847  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr I      |         202.942    |         202.9431   |           15 |            |      |     0.98287741  -      7.090219   | 3d4.4s2                | a 5D  | 2    |                        | p 5F* | 3    |   5 - 7   |    |                         |        L808  |
Cr II     |         202.9980   |         202.99793  |            3 |            |      |     6.5775271   -     12.683220   | 3d3.4s2                | c 4F  | 3/2  | 3d3.(a 2D).4s.4p.(3P*) | s 4F* | 5/2  |   4 - 6   |    |                         |      L18847  |
Cr II     |         203.0523   |         203.05234  |            4 |            |      |     4.76052080  -     10.8645781  | 3d4.(3D).4s            | c 4D  | 1/2  | 3d3.(4F).4s.4p.(3P*)   | u 4F* | 3/2  |   2 - 4   |    |                         |      L18847  |
Cr II     |         203.0978   |         203.09780  |            7 |            |      |     6.6047630   -     12.7074541  | 3d3.4s2                | c 4F  | 5/2  | 3d3.(a 2D).4s.4p.(3P*) | s 4F* | 7/2  |   6 - 8   |    |                         |      L18847  |
Cr I      |         203.127    |         203.12741  |           15 |            |      |     0.98287741  -      7.0846791  | 3d4.4s2                | a 5D  | 2    |                        | *     | 3    |   5 - 7   |    |                         |        L808  |
          |                    |                    |              |            |      |                                   |                        |       |      |                        |       |      |           |    |                         |              |
Cr II     |         203.16531  |         203.165347 |          13* |            |      |     8.21476628  -     14.3154287  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<2>).5f         | 2[2]* | 5/2  |   6 - 6   |    |                         |      L18847  |
Cr II     |         203.16531  |         203.165452 |          13* |            |      |     3.85378645  -      9.9544457  | 3d4.(a 3F).4s          | a 4F  | 3/2  | 3d4.(a 1D).4p          | w 2D* | 3/2  |   4 - 4   |    |                         |      L18847  |
Cr II     |         203.22383  |         203.223834 |           13 |            |      |     8.21476628  -     14.3136732  | 3d3.4s2                | d 4P  | 5/2  | 3d4.(5D<2>).5f         | 2[3]* | 7/2  |   6 - 8   |    |                         |      L18847  |
