-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration           | Term      |        J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Leading percentages                                | Reference
                        |           |      9/2 |   10 |       7.3481358   |         0.0000015  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.6h                 | 2H*       | 9/2,11/2 |   22 |       7.3483475   |         0.0000019  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.8p                 | 2P*       |      3/2 |    4 |       7.349162    |         0.000006   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.355080    |         0.000007   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.9s                 | 2S        |      1/2 |    2 |       7.395393    |         0.000015   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.8d                 | 2D        |      3/2 |    4 |       7.447174    |         0.000019   |          |                                                    |            L10559
                        |           |      5/2 |    6 |       7.447282    |         0.000016   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.9p                 | 2P*       |      3/2 |    4 |       7.447752    |         0.000006   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.449569    |         0.000007   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7f                 | 2F*       |      7/2 |    8 |       7.4479137   |         0.0000012  |          |                                                    |        L18473c152
                        |           |      5/2 |    6 |       7.4479333   |         0.0000017  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7g                 | 2G        |      7/2 |    8 |       7.4485061   |         0.0000020  |          |                                                    |        L18473c152
                        |           |      9/2 |   10 |       7.4485061   |         0.0000020  |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.7h                 | 2H*       | 9/2,11/2 |   22 |       7.448643    |         0.000004   |          |                                                    |        L18473c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.8f                 | 2F*       |      5/2 |    6 |       7.512670    |         0.000006   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.9d                 | 2D        |      3/2 |    4 |       7.512763    |         0.000019   |          |                                                    |        L10559c152
                        |           |      5/2 |    6 |       7.512825    |         0.000010   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.10p                | 2P*       |      3/2 |    4 |       7.512835    |         0.000005   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.513590    |         0.000007   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.11p                | 2P*       |      3/2 |    4 |       7.557620    |         0.000005   |          |                                                    |        L10559c152
                        |           |      1/2 |    2 |       7.557999    |         0.000007   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.10d                | 2D        |      3/2 |    4 |       7.557694    |         0.000020   |          |                                                    |        L10559c152
                        |           |      5/2 |    6 |       7.557744    |         0.000024   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
3d10.12p                | 2P*       |      3/2 |    4 |       7.589709    |         0.000010   |          |                                                    |            L10559
                        |           |      1/2 |    2 |       7.589923    |         0.000007   |          |                                                    |        L10559c152
                        |           |          |      |                   |                    |          |                                                    |                   
