-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |                      Level (eV)   |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
3d8                    | c 3F      |   4 |    9 |           4.07581091              |          0.00000012  |   1.264   |  92             :     3  3d7.(2F).4s           3F   |          
                       |           |   3 |    7 |           4.14264893              |          0.00000012  |   1.066   |  92             :     5  3d7.(2F).4s           3F   |          
                       |           |   2 |    5 |           4.18636440              |          0.00000012  |   0.677   |  86             :     6  3d7.(2F).4s           3F   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | y 5D*     |   4 |    9 |           4.10337372              |          0.00000012  |   1.496   |  61             :    34  3d6.(5D).4s.4p.(1P*)  5D*  |          
                       |           |   3 |    7 |           4.15435379              |          0.00000012  |   1.492   |  60             :    34  3d6.(5D).4s.4p.(1P*)  5D*  |          
                       |           |   2 |    5 |           4.19086081              |          0.00000012  |   1.495   |  56             :    34  3d6.(5D).4s.4p.(1P*)  5D*  |          
                       |           |   1 |    3 |           4.21758325              |          0.00000012  |   1.492   |  47             :    30  3d6.(5D).4s.4p.(3P*)  3P*  |          
                       |           |   0 |    1 |           4.23053960              |          0.00000012  |           |  42             :    28  3d6.(5D).4s.4p.(3P*)  3P*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | y 5F*     |   5 |   11 |           4.17769679              |          0.00000012  |   1.417   |  84             :    11  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |   4 |    9 |           4.22036211              |          0.00000012  |   1.344   |  81             :    12  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |   3 |    7 |           4.25622280              |          0.00000012  |   1.244   |  81             :    11  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |   2 |    5 |           4.28330826              |          0.00000012  |   0.998   |  82             :    13  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |   1 |    3 |           4.30127816              |          0.00000012  |  -0.016   |  84             :    12  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(3P*)   | z 3P*     |   2 |    5 |           4.20888328              |          0.00000012  |   1.493   |  91             :     4  3d7.(4F).4p           5D*  |          
                       |           |   1 |    3 |           4.26045326              |          0.00000012  |   1.496   |  50             :    30  3d7.(4F).4p           5D*  |          
                       |           |   0 |    1 |           4.28434800              |          0.00000012  |           |  69             :    18  3d7.(4F).4p           5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.4s2                | b 1D2     |   2 |    5 |           4.29441489              |          0.00000012  |           |  67             :    20  3d6.4s2               1D1  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | z 5G*     |   5 |   11 |           4.31247059              |          0.00000012  |   1.218   |  58             :    35  3d7.(4F).4p           3G*  |          
                       |           |   6 |   13 |           4.32010008              |          0.00000025  |   1.332   |  94             :     4  3d6.(3H).4s.4p.(3P*)  5G*  |          
                       |           |   4 |    9 |           4.37135106              |          0.00000012  |   1.103   |  75             :    16  3d7.(4F).4p           3G*  |          
                       |           |   3 |    7 |           4.41527878              |          0.00000012  |   0.887   |  86             :     6  3d7.(4F).4p           3G*  |          
                       |           |   2 |    5 |           4.44562726              |          0.00000012  |   0.335   |  92             :     5  3d6.(3H).4s.4p.(3P*)  5G*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | z 3G*     |   5 |   11 |           4.38646275              |          0.00000012  |   1.248   |  61             :    33  3d7.(4F).4p           5G*  |          
                       |           |   4 |    9 |           4.43461275              |          0.00000012  |   1.100   |  78             :    16  3d7.(4F).4p           5G*  |          
                       |           |   3 |    7 |           4.47327202              |          0.00000012  |   0.791   |  89             :     6  3d7.(4F).4p           5G*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | y 3F*     |   4 |    9 |           4.54850612              |          0.00000012  |   1.246   |  86             :     5  3d6.(5D).4s.4p.(3P*)  3F*  |          
                       |           |   3 |    7 |           4.60759327              |          0.00000012  |   1.086   |  84             :     5  3d6.(5D).4s.4p.(3P*)  3F*  |          
                       |           |   2 |    5 |           4.65203107              |          0.00000012  |   0.688   |  87             :     5  3d6.(5D).4s.4p.(3P*)  3F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(1P*)   | y 5P*     |   3 |    7 |           4.55852281              |          0.00000012  |   1.661   |  60             :    34  3d5.(6S).4s2.4p       5P*  |          
                       |           |   2 |    5 |           4.60695104              |          0.00000012  |   1.836   |  60             :    35  3d5.(6S).4s2.4p       5P*  |          
                       |           |   1 |    3 |           4.63819369              |          0.00000012  |   2.502   |  59             :    36  3d5.(6S).4s2.4p       5P*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(2F).4s            | d 3F      |   2 |    5 |           4.58004944              |          0.00000012  |           |  92             :     6  3d8                   3F   |          
                       |           |   3 |    7 |           4.58438864              |          0.00000012  |           |  94             :     5  3d8                   3F   |          
                       |           |   4 |    9 |           4.59311043              |          0.00000012  |           |  96             :     3  3d8                   3F   |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d7.(4F).4p            | y 3D*     |   3 |    7 |           4.73314079              |          0.00000012  |   1.324   |  84             :     8  3d6.(5D).4s.4p.(3P*)  3D*  |          
                       |           |   2 |    5 |           4.79546566              |          0.00000012  |   1.151   |  85             :     7  3d6.(5D).4s.4p.(3P*)  3D*  |          
                       |           |   1 |    3 |           4.83485507              |          0.00000012  |   0.493   |  86             :     7  3d6.(5D).4s.4p.(3P*)  3D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(1P*)   | x 5D*     |   4 |    9 |           4.91297355              |          0.00000012  |   1.489   |  55             :    18  3d7.(4F).4p           5D*  |          
                       |           |   3 |    7 |           4.95563019              |          0.00000012  |   1.504   |  54             :    19  3d7.(4F).4p           5D*  |          
                       |           |   2 |    5 |           4.98804995              |          0.00000012  |   1.501   |  53             :    19  3d7.(4F).4p           5D*  |          
                       |           |   1 |    3 |           5.00952178              |          0.00000012  |   1.498   |  53             :    20  3d7.(4F).4p           5D*  |          
                       |           |   0 |    1 |           5.02027939              |          0.00000012  |           |  53             :    20  3d7.(4F).4p           5D*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d5.(6S).4s2.4p        | y 7P*     |   2 |    5 |           4.96581946              |          0.00000012  |   2.340   |  97                                                 |          
                       |           |   3 |    7 |           4.98504395              |          0.00000012  |   1.908   |  98                                                 |          
                       |           |   4 |    9 |           5.01168158              |          0.00000012  |   1.75?   |  91             :     7  3d6.(5D).4s.4p.(1P*)  5F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s.4p.(1P*)   | x 5F*     |   5 |   11 |           4.99127081              |          0.00000012  |   1.390   |  90             :     5  3d7.(4F).4p           5F*  |          
                       |           |   4 |    9 |           5.03306811              |          0.00000012  |   1.328   |  82             :     5  3d7.(4F).4p           5F*  |          
                       |           |   3 |    7 |           5.06378173              |          0.00000012  |   1.254   |  88             :     5  3d7.(4F).4p           5F*  |          
                       |           |   2 |    5 |           5.08559017              |          0.00000012  |   0.998   |  88             :     5  3d7.(4F).4p           5F*  |          
                       |           |   1 |    3 |           5.09954435              |          0.00000012  |  -0.006   |  88             :     5  3d7.(4F).4p           5F*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d8                    | 3P        |   2 |    5 |           5.06740926              |          0.00000012  |           |  85             :     6  3d6.4s2               3P2  |          
                       |           |   1 |    3 |           5.10547240              |          0.00000012  |           |  85             :     8  3d6.4s2               3P2  |          
                       |           |   0 |    1 |           5.11242705              |          0.00000012  |           |  83             :     8  3d6.4s2               3P2  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3P2).4s.4p.(3P*)  | z 5S*     |   2 |    5 |           5.07033256              |          0.00000012  |   1.985   |  59             :    36  3d7.(4P).4p           5S*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3P2).4s.4p.(3P*)  | x 5P*     |   3 |    7 |           5.27338780              |          0.00000012  |   1.650   |  86             :     5  3d7.(4P).4p           5P*  |          
                       |           |   2 |    5 |           5.31393522              |          0.00000025  |   1.822   |  76             :    10  3d7.(4P).4p           5S*  |          
                       |           |   1 |    3 |           5.34111814              |          0.00000025  |   2.464   |  85             :     7  3d7.(4P).4p           5P*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3H).4s.4p.(3P*)   | y 5G*     |   6 |   13 |           5.30458359              |          0.00000025  |   1.342   |  60             :    30  3d6.(3F2).4s.4p.(3P*) 5G*  |          
                       |           |   5 |   11 |           5.32039963              |          0.00000012  |   1.203   |  53             :    33  3d6.(3F2).4s.4p.(3P*) 5G*  |          
                       |           |   4 |    9 |           5.33417031              |          0.00000025  |   1.024   |  44             :    37  3d6.(3F2).4s.4p.(3P*) 5G*  |          
                       |           |   3 |    7 |           5.34836675              |          0.00000012  |   0.905   |  38             :    22  3d6.(3F2).4s.4p.(3P*) 5G*  |          
                       |           |   2 |    5 |           5.35736031              |          0.00000025  |   0.331   |  46             :    45  3d6.(3F2).4s.4p.(3P*) 5G*  |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(5D).4s (6D).5s    | e 7D      |   5 |   11 |           5.30848946              |          0.00000012  |   1.585   |                                                     |          
                       |           |   4 |    9 |           5.35157038              |          0.00000012  |   1.655   |                                                     |          
                       |           |   3 |    7 |           5.38520741              |          0.00000012  |   1.755   |                                                     |          
                       |           |   2 |    5 |           5.40986861              |          0.00000012  |   2.009   |                                                     |          
                       |           |   1 |    3 |           5.42604198              |          0.00000012  |   3.002   |                                                     |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3H).4s.4p.(3P*)   | z 5I*     |   6 |   13 |           5.31940082              |          0.00000025  |           |                                                     |          
                       |           |   4 |    9 |           5.3862090               |          0.0000004   |           |                                                     |          
                       |           |   5 |   11 |           5.38836827              |          0.00000025  |           |                                                     |          
                       |           |     |      |                                   |                      |           |                                                     |           
3d6.(3H).4s.4p.(3P*)   | z 5H*     |   5 |   11 |           5.33029109              |          0.00000025  |   1.054   |  65             :    27  3d6.(3H).4s.4p.(3P*)  5I*  |          
                       |           |   4 |    9 |           5.34482452              |          0.00000012  |   0.871   |  67             :    17  3d6.(3H).4s.4p.(3P*)  5I*  |          
