--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |                     Level (eV)  |     Uncertainty (eV) |    Landé | Leading percentages                                                         | Reference
                      |         |  3/2 |    4 |          5.58476799             |          0.00000024  |    1.15  |  88                                  :     8  3d6.(5D).4p             4F*   | L18349,L18361c138
                      |         |  1/2 |    2 |          5.60488800             |          0.00000024  |   -0.021 |  95                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(1F).4s           | c 2F    |  7/2 |    8 |          5.56875734             |          0.00000025  |          |  98                                                                         | L18349,L18361c138
                      |         |  5/2 |    6 |          5.57055201             |          0.00000025  |          |  98                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(5D).4p           | z 4P*   |  5/2 |    6 |          5.82322475             |          0.00000024  |    1.592 |  96                                                                         | L18349,L18361c138
                      |         |  3/2 |    4 |          5.87558748             |          0.00000025  |    1.717 |  96                                                                         | L18349,L18361c138
                      |         |  1/2 |    2 |          5.90488507             |          0.00000025  |    2.70  |  96                                                                         | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d7                   | d 2D1   |  3/2 |    4 |          5.9109129              |          0.0000004   |          |  77                                  :    22  3d7                     2D2   | L18349,L18361c138
                      |         |  5/2 |    6 |          5.95609042             |          0.00000025  |          |  75                                  :    24  3d7                     2D2   | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3P1).4s          | c 4P    |  1/2 |    2 |          6.0877427              |          0.0000005   |          |  62                                  :    37  3d6.(3P2).4s            4P    | L18349,L18361c138
                      |         |  3/2 |    4 |          6.1380760              |          0.0000004   |          |  62                                  :    38  3d6.(3P2).4s            4P    | L18349,L18361c138
                      |         |  5/2 |    6 |          6.22559822             |          0.00000025  |          |  59                                  :    37  3d6.(3P2).4s            4P    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d6.(3F1).4s          | c 4F    |  3/2 |    4 |          6.2086229              |          0.0000004   |          |  80                                  :    20  3d6.(3F2).4s            4F    | L18349,L18361c138
                      |         |  5/2 |    6 |          6.2169162              |          0.0000004   |          |  76                                  :    19  3d6.(3F2).4s            4F    | L18349,L18361c138
                      |         |  9/2 |   10 |          6.21873433             |          0.00000025  |          |  78                                  :    21  3d6.(3F2).4s            4F    | L18349,L18361c138
                      |         |  7/2 |    8 |          6.22249688             |          0.00000025  |          |  78                                  :    20  3d6.(3F2).4s            4F    | L18349,L18361c138
                      |         |      |      |                                 |                      |          |                                                                             |                   
3d5.(6S).4s.4p.(3P*)  | z 8P*   |  5/2 |    6 |          6.4843500              |          0.0000004   |          | 100  3d5.4s.(7S).4p 8P*                                                     | L18349,L18361c138
