---------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Landé | Reference
                     |        |   6 |   13 |         6.0277898   |   1.051 |    L11823
                     |        |   7 |   15 |         6.1235530   |   1.15  |    L11823
                     |        |     |      |                     |         |           
4d3.(2G).5p          | 1G*    |   4 |    9 |         5.9826613   |   1.083 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 3D*    |   1 |    3 |         6.0157596   |   0.936 |    L11823
                     |        |   2 |    5 |         6.1709721   |   1.167 |    L11823
                     |        |   3 |    7 |         6.1823847   |   1.308 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 1G*    |   4 |    9 |         6.0948267   |   0.950 |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 5F*    |   1 |    3 |         6.0983906   |         |    L11823
                     |        |   2 |    5 |         6.1417576   |         |    L11823
                     |        |   3 |    7 |         6.2077399   |   1.245 |    L11823
                     |        |   4 |    9 |         6.2676785   |   1.22  |    L11823
                     |        |   5 |   11 |         6.3897753   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 3D*    |   2 |    5 |         6.1056598   |   1.257 |    L11823
                     |        |   1 |    3 |         6.1661627   |   0.616 |    L11823
                     |        |   3 |    7 |         6.1693537   |   1.288 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 1P*    |   1 |    3 |         6.1604911   |   0.820 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 3G*    |   5 |   11 |         6.2609343   |   1.188 |    L11823
                     |        |   3 |    7 |         6.2717689   |   0.811 |    L11823
                     |        |   4 |    9 |         6.3048026   |   1.171 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 1D*    |   2 |    5 |         6.3457747   |   0.965 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 1I*    |   6 |   13 |         6.4109045   |   1.010 |    L11823
                     |        |     |      |                     |         |           
4d3.(2P).5p          | 1P*    |   1 |    3 |         6.4208709   |   1.13  |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 3F*    |   2 |    5 |         6.4381625   |   0.80  |    L11823
                     |        |   3 |    7 |         6.4392844   |   1.085 |    L11823
                     |        |   4 |    9 |         6.4818430   |   1.261 |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 5D*    |   0 |    1 |         6.4632627   |    0    |    L11823
                     |        |   1 |    3 |         6.4738310   |   1.43  |    L11823
                     |        |   2 |    5 |         6.4953536   |   1.44  |    L11823
                     |        |   3 |    7 |         6.5358136   |   1.415 |    L11823
                     |        |   4 |    9 |         6.6216574   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(4P).5p          | 3S*    |   1 |    3 |         6.5158561   |   1.820 |    L11823
                     |        |     |      |                     |         |           
4d3.(2H).5p          | 1H*    |   5 |   11 |         6.5448838   |   1.006 |    L11823
                     |        |     |      |                     |         |           
4d3.(2D2).5p         | 1F*    |   3 |    7 |         6.5756172   |   1.036 |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 3G*    |   3 |    7 |         6.6582042   |   0.88  |    L11823
                     |        |   4 |    9 |         6.7482769   |   1.062 |    L11823
                     |        |   5 |   11 |         6.8217570   |   1.180 |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 3D*    |   3 |    7 |         6.6963226   |   1.200 |    L11823
                     |        |   2 |    5 |         6.7106213   |   1.164 |    L11823
                     |        |   1 |    3 |         6.7165373   |   0.527 |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 1F*    |   3 |    7 |         6.8762231   |   1.06  |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 1D*    |   2 |    5 |         6.9086055   |   1.000 |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 1G*    |   4 |    9 |         7.0851018   |   1.000 |    L11823
                     |        |     |      |                     |         |           
4d2.(3P).5s.5p.(3P*) | 5D*    |   1 |    3 |         7.0883263   |         |    L11823
                     |        |   2 |    5 |         7.1673146   |   0.98  |    L11823
                     |        |   3 |    7 |         7.2533562   |   1.25  |    L11823
                     |        |   4 |    9 |         7.3646143   |   1.34  |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 3F*    |   2 |    5 |         7.1298284   |         |    L11823
                     |        |   3 |    7 |         7.1779918   |         |    L11823
                     |        |   4 |    9 |         7.2549508   |         |    L11823
                     |        |     |      |                     |         |           
4d3.(2F).5p          | 3D*    |   2 |    5 |         7.3766870   |   1.19  |    L11823
                     |        |   1 |    3 |         7.3922197   |   0.64  |    L11823
                     |        |   3 |    7 |         7.4025378   |   1.33  |    L11823
                     |        |     |      |                     |         |           
4d2.(3F).5s.5p.(3P*) | 3G*    |   3 |    7 |         7.3782006   |         |    L11823
                     |        |   4 |    9 |         7.4507679   |         |    L11823
                     |        |   5 |   11 |         7.4935728   |   1.19  |    L11823
                     |        |     |      |                     |         |           
4d2.(3P).5s.5p.(3P*) | 5P*    |   1 |    3 |         7.4096965   |         |    L11823
                     |        |   2 |    5 |         7.4690274   |         |    L11823
                     |        |   3 |    7 |         7.5499984   |         |    L11823
