--------------------------------------------------------------------------------
Configuration      | Term   |    J |           Level (eV) |   Landé | Reference
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).4f | 2[2]*  |  3/2 |        24.31038395   |         |    L15349
                   |        |  5/2 |        24.31205364   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).4f | 2[4]*  |  9/2 |        24.31372301   |         |    L15349
                   |        |  7/2 |        24.31566947   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).4f | 2[3]*  |  7/2 |        24.33873385   |         |    L15349
                   |        |  5/2 |        24.34003106   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).4f | 2[3]*  |  7/2 |        24.37801662   |         |    L15349
                   |        |  5/2 |        24.37939715   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4d    | 2G     |  7/2 |        24.62264148   |         |    L15349
                   |        |  9/2 |        24.62377584   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6s    | 4P     |  5/2 |        24.64962188   |         |    L15349
                   |        |  3/2 |        24.69002841   |         |    L15349
                   |        |  1/2 |        24.81053026   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4d    | 2P     |  1/2 |        24.72822996   |   0.670 |    L15349
                   |        |  3/2 |        24.73797755   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4d    | 2D     |  5/2 |        24.75714519   |   1.196 |    L15349
                   |        |  3/2 |        24.79461079   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 4D     |  7/2 |        24.78188485   |         |    L15349
                   |        |  5/2 |        24.79184041   |         |    L15349
                   |        |  3/2 |        24.81564805   |         |    L15349
                   |        |  1/2 |        24.84723110   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6s    | 2P     |  3/2 |        24.80084252   |         |    L15349
                   |        |  1/2 |        24.87417675   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4d    | 2F     |  7/2 |        24.81406469   |         |    L15349
                   |        |  5/2 |        24.82597055   |   0.862 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 4F     |  9/2 |        24.84557850   |         |    L15349
                   |        |  7/2 |        24.90601819   |         |    L15349
                   |        |  5/2 |        24.96441862   |         |    L15349
                   |        |  3/2 |        25.01018319   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 4P     |  1/2 |        24.92458905   |         |    L15349
                   |        |  3/2 |        24.96363449   |         |    L15349
                   |        |  5/2 |        25.01776175   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 2F     |  7/2 |        24.99631786   |         |    L15349
                   |        |  5/2 |        25.06414228   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 4P*    |  5/2 |        25.06330100   |         |    L15349
                   |        |  3/2 |        25.07625711   |         |    L15349
                   |        |  1/2 |        25.09695258   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 4D*    |  7/2 |        25.09810859   |         |    L15349
                   |        |  3/2 |        25.10272979   |         |    L15349
                   |        |  5/2 |        25.11230549   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5p    | 2P*    |  3/2 |        25.16975990   |         |    L15349
                   |        |  1/2 |        25.24248265   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5p    | 2F*    |  5/2 |        25.18754626   |         |    L15349
                   |        |  7/2 |        25.19328777   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 2D*    |  3/2 |        25.21157074   |         |    L15349
                   |        |  5/2 |        25.23101738   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 2P*    |  3/2 |        25.25941436   |         |    L15349
                   |        |  1/2 |        25.26633074   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 4S*    |  3/2 |        25.28263129   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).5p    | 2D*    |  3/2 |        25.30688069   |         |    L15349
                   |        |  5/2 |        25.30939825   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 2D     |  3/2 |        25.3445147    |         |    L15349
                   |        |  5/2 |        25.3653893    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).5d    | 2P     |  1/2 |        25.3566343    |         |    L15349
                   |        |  3/2 |        25.4442245    |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6p    | 2S*    |  1/2 |        25.40801310   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5f | 2[4]*  |  9/2 |        25.40905451   |         |    L15349
                   |        |  7/2 |        25.41070102   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5f | 2[3]*  |  5/2 |        25.41398897   |         |    L15349
                   |        |  7/2 |        25.41628609   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5f | 2[2]*  |  3/2 |        25.42374213   |         |    L15349
                   |        |  5/2 |        25.42657172   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5f | 2[5]*  | 11/2 |        25.42923138   |         |    L15349
                   |        |  9/2 |        25.42970810   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5f | 2[1]*  |  1/2 |        25.43912875   |         |    L15349
                   |        |  3/2 |        25.44082553   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5g | 2[5]   | 11/2 |        25.44304370   |         |    L15349
                   |        |  9/2 |        25.44305883   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5g | 2[4]   |  7/2 |        25.44339216   |         |    L15349
                   |        |  9/2 |        25.44339244   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(1D).4d    | 2S     |  1/2 |        25.44689479   |   2.004 |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5g | 2[3]   |  5/2 |        25.44775873   |         |    L15349
                   |        |  7/2 |        25.44777255   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5g | 2[6]   | 11/2 |        25.45069396   |         |    L15349
                   |        | 13/2 |        25.45069568   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<2>).5g | 2[2]   |  3/2 |        25.45407058   |         |    L15349
                   |        |  5/2 |        25.45408929   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5f | 2[2]*  |  3/2 |        25.55357392   |         |    L15349
                   |        |  5/2 |        25.55566950   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5f | 2[4]*  |  9/2 |        25.55720882   |         |    L15349
                   |        |  7/2 |        25.55922131   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5f | 2[3]*  |  7/2 |        25.57120002   |         |    L15349
                   |        |  5/2 |        25.57239391   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5g | 2[3]   |  5/2 |        25.58252196   |         |    L15349
                   |        |  7/2 |        25.58253753   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5g | 2[5]   | 11/2 |        25.58388208   |         |    L15349
                   |        |  9/2 |        25.58388814   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<1>).5g | 2[4]   |  9/2 |        25.59001225   |         |    L15349
                   |        |  7/2 |        25.59001366   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).5f | 2[3]*  |  7/2 |        25.61810011   |         |    L15349
                   |        |  5/2 |        25.61906777   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P<0>).5g | 2[4]   |  7/2 |        25.6423382    |         |    L15349
                   |        |  9/2 |        25.64233863   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7s    | 4P     |  5/2 |        25.67654265   |         |    L15349
                   |        |  3/2 |        25.69912045   |         |    L15349
                   |        |  1/2 |        25.82951751   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 4D     |  7/2 |        25.75083545   |         |    L15349
                   |        |  5/2 |        25.75728005   |         |    L15349
                   |        |  3/2 |        25.79018386   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 4F     |  9/2 |        25.78089135   |         |    L15349
                   |        |  7/2 |        25.80645186   |         |    L15349
                   |        |  5/2 |        25.87220283   |         |    L15349
                   |        |  3/2 |        25.94596892   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).7s    | 2P     |  3/2 |        25.81968404   |         |    L15349
                   |        |  1/2 |        25.88366471   |         |    L15349
                   |        |      |                      |         |           
3s2.3p4.(3P).6d    | 4P     |  1/2 |        25.84843705   |         |    L15349
                   |        |  3/2 |        25.87489830   |         |    L15349
                   |        |  5/2 |        25.93733129   |         |    L15349
                   |        |      |                      |         |           
