------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed      |       Ritz        |      Rel. |    Aki     | Acc. |         Ei           Ek         |              Lower level              |              Upper level               |  gi   gk  |Type|                 TP  |        Line  |
          |    Wavelength     |    Wavelength     |      Int. |   (s^-1)   |      |        (eV)         (eV)        |---------------------------------------|----------------------------------------|           |    |                Ref. |        Ref.  |
          |     Air (nm)      |     Air (nm)      |           |            |      |                                 | Conf.                 | Term    | J   | Conf.                 | Term    | J    |           |    |                     |              |
Al I      |         208.015   |         208.016   |       g,a |            |      |     0.0138938  -      5.972     | 3s2.3p                | 2P*     | 3/2 | 3s2.32d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         208.046   |         208.046   |      g,a* |            |      |     0.0000000  -      5.9576    | 3s2.3p                | 2P*     | 1/2 | 3s2.22d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
Al I      |         208.046   |         208.046   |      g,a* |            |      |     0.0138938  -      5.9715    | 3s2.3p                | 2P*     | 3/2 | 3s2.31d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.079   |         208.081   |       g,a |            |      |     0.0138938  -      5.9705    | 3s2.3p                | 2P*     | 3/2 | 3s2.30d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.115   |         208.116   |       g,a |            |      |     0.0138938  -      5.9695    | 3s2.3p                | 2P*     | 3/2 | 3s2.29d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.140   |         208.132   |       g,a |            |      |     0.0000000  -      5.95510   | 3s2.3p                | 2P*     | 1/2 | 3s2.21d               | 2D      | 3/2  |   2 - 4   |    |                     |        L130  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al II     |         208.1481  |         208.1480  |        15 |            |      |     4.643693   -     10.598337  | 3s.3p                 | 3P*     | 1   | 3p2                   | 1D      | 2    |   3 - 5   |    |                     |       L4575  |
Al I      |         208.157   |         208.159   |       g,a |            |      |     0.0138938  -      5.9682    | 3s2.3p                | 2P*     | 3/2 | 3s2.28d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.201   |         208.202   |       g,a |            |      |     0.0138938  -      5.9670    | 3s2.3p                | 2P*     | 3/2 | 3s2.27d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.250   |         208.247   |       g,a |            |      |     0.0000000  -      5.95182   | 3s2.3p                | 2P*     | 1/2 | 3s2.20d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |         208.253   |         208.254   |       g,a |            |      |     0.0138938  -      5.9655    | 3s2.3p                | 2P*     | 3/2 | 3s2.26d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         208.310   |         208.311   |       g,a |            |      |     0.0138938  -      5.9639    | 3s2.3p                | 2P*     | 3/2 | 3s2.25d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.375   |         208.375   |      g,a* |            |      |     0.0000000  -      5.94815   | 3s2.3p                | 2P*     | 1/2 | 3s2.19d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al I      |         208.375   |         208.376   |      g,a* |            |      |     0.0138938  -      5.9620    | 3s2.3p                | 2P*     | 3/2 | 3s2.24d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |         208.448   |         208.450   |       g,a |            |      |     0.0138938  -      5.960     | 3s2.3p                | 2P*     | 3/2 | 3s2.23d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.524   |         208.525   |       g,a |            |      |     0.0000000  -      5.94389   | 3s2.3p                | 2P*     | 1/2 | 3s2.18d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         208.532   |         208.532   |       g,a |            |      |     0.0138938  -      5.9576    | 3s2.3p                | 2P*     | 3/2 | 3s2.22d               | 2D      | 5/2  |   4 - 6   |    |                     |        L130  |
Al I      |         208.623   |         208.619   |       g,a |            |      |     0.0138938  -      5.95510   | 3s2.3p                | 2P*     | 3/2 | 3s2.21d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al II     |         208.6864  |         208.6863  |        30 |            |      |     4.659052   -     10.598337  | 3s.3p                 | 3P*     | 2   | 3p2                   | 1D      | 2    |   5 - 5   |    |                     |       L4575  |
Al I      |         208.736   |         208.734   |       g,a |            |      |     0.0138938  -      5.95182   | 3s2.3p                | 2P*     | 3/2 | 3s2.20d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |         208.866   |         208.863   |       g,a |            |      |     0.0138938  -      5.94815   | 3s2.3p                | 2P*     | 3/2 | 3s2.19d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
          |                   |                   |           |            |      |                                 |                       |         |     |                       |         |      |           |    |                     |              |
Al I      |         208.915   |         208.916   |       g,a |            |      |     0.0000000  -      5.93276   | 3s2.3p                | 2P*     | 1/2 | 3s2.16d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
Al III    |                   |         208.9163  |           | 4.87e+07   | A    |    17.808269   -     23.741019  | 2p6.4p                | 2P*     | 1/2 | 2p6.6s                | 2S      | 1/2  |   2 - 2   |    |                 c32 |              |
Al I      |         209.016   |         209.013   |       g,a |            |      |     0.0138938  -      5.94389   | 3s2.3p                | 2P*     | 3/2 | 3s2.18d               | 2D      | 5/2  |   4 - 6   |    |                     |  L130,L7413  |
Al I      |         209.170   |         209.169   |       g,a |            |      |     0.0000000  -      5.92558   | 3s2.3p                | 2P*     | 1/2 | 3s2.15d               | 2D      | 3/2  |   2 - 4   |    |                     |  L130,L7413  |
