----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |    g |               Level (eV) |     Uncertainty (eV) |           Landé | Leading percentages                                | Reference
                       |           |   2 |    5 |          10.40472579     |          0.00000007  |                 |  82         :    18  2s2.2p.(2P*<3/2>).4f  2[5/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).4f   | 2[7/2]    |   3 |    7 |          10.40552557     |          0.00000007  |                 |  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  |       L20057
                       |           |   4 |    9 |          10.40555030     |          0.00000007  |                 |  83         :    17  2s2.2p.(2P*<3/2>).4f  2[7/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 1F*       |   3 |    7 |          10.40812908     |          0.00000008  |                 |  97                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[7/2]    |   3 |    7 |          10.41296434     |          0.00000007  |                 |  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  |       L20057
                       |           |   4 |    9 |          10.41299788     |          0.00000009  |                 |  83         :    17  2s2.2p.(2P*<1/2>).4f  2[7/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[5/2]    |   3 |    7 |          10.41631850     |          0.00000007  |                 |  82         :    17  2s2.2p.(2P*<1/2>).4f  2[5/2]  |       L20057
                       |           |   2 |    5 |          10.41633783     |          0.00000007  |                 |  82         :    18  2s2.2p.(2P*<1/2>).4f  2[5/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[9/2]    |   5 |   11 |          10.41664120     |          0.00000007  |                 | 100                                                |       L20057
                       |           |   4 |    9 |          10.41669040     |          0.00000009  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 1P*       |   1 |    3 |          10.41865831     |          0.00000011  |                 |  67         :    30  2s2.2p.5s             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<3/2>).4f   | 2[3/2]    |   1 |    3 |          10.41917717     |          0.00000010  |                 | 100                                                |       L20057
                       |           |   2 |    5 |          10.41919123     |          0.00000009  |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.4d              | 3P*       |   2 |    5 |          10.42745830     |          0.00000008  |                 |  87         :     9  2s2.2p.5s             3P*     |       L20057
                       |           |   1 |    3 |          10.42906903     |          0.00000009  |                 |  89         :     6  2s2.2p.5s             3P*     |       L20057
                       |           |   0 |    1 |          10.42970269     |          0.00000023  |                 |  91         :     6  2s2.2p.5s             3P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5p              | 1P        |   1 |    3 |          10.52024129     |          0.00000021  |                 |  90         :     6  2s2.2p.5p             3D      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5p              | 3D        |   1 |    3 |          10.5306427      |          0.0000025   |                 |  91         :     6  2s2.2p.5p             1P      |       L20057
                       |           |   2 |    5 |          10.532508       |          0.000004    |                 |  97                                                |       L20057
                       |           |   3 |    7 |          10.5367974      |          0.0000003   |                 |  98                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5p              | 3P        |   0 |    1 |          10.559692       |          0.000004    |                 |  98                                                |       L20057
                       |           |   1 |    3 |          10.56208570     |          0.00000008  |                 |  68         :    30  2s2.2p.5p             3S      |       L20057
                       |           |   2 |    5 |          10.56390933     |          0.00000008  |                 |  97                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5p              | 1D        |   2 |    5 |          10.5882298      |          0.0000014   |                 |  90         :     5  2s2.2p.6p             1D      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5p              | 1S        |   0 |    1 |          10.6161705      |          0.0000005   |                 |  72         :    17  2s2.2p.6p             1S      |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 1D*       |   2 |    5 |          10.68560697     |          0.00000011  |                 |  94         :     4  2s2.2p.5d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 3F*       |   2 |    5 |          10.702030       |          0.000006    |                 |  78         :    19  2s2.2p.5d             3D*     |       L20057
                       |           |   3 |    7 |          10.70320691     |          0.00000019  |                 |  71         :    22  2s2.2p.5d             3D*     |       L20057
                       |           |   4 |    9 |          10.7084389      |          0.0000006   |                 | 100                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6s              | 3P*       |   0 |    1 |          10.702560       |          0.000004    |                 |  95         :     5  2s2.2p.5d             3P*     |       L20057
                       |           |   1 |    3 |          10.7037605      |          0.0000021   |                 |  79         :     7  2s2.2p.6s             1P*     |       L20057
                       |           |   2 |    5 |          10.708468       |          0.000003    |                 |  73         :    17  2s2.2p.5d             3D*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.5d              | 3D*       |   1 |    3 |          10.707590       |          0.000004    |                 |  81         :     9  2s2.2p.5d             1P*     |       L20057
                       |           |   2 |    5 |          10.710924       |          0.000003    |                 |  61         :    17  2s2.2p.5d             3F*     |       L20057
                       |           |   3 |    7 |          10.711966       |          0.000005    |                 |  75         :    25  2s2.2p.5d             3F*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).5f   | 2[5/2]    |   3 |    7 |          10.71372620     |          0.00000023  |                 |  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  |       L20057
                       |           |   2 |    5 |          10.71373871     |          0.00000021  |                 |  93         :     7  2s2.2p.(2P*<3/2>).5f  2[5/2]  |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.(2P*<1/2>).5f   | 2[7/2]    |   3 |    7 |          10.7140406      |          0.0000003   |                 |  96                                                |       L20057
                       |           |   4 |    9 |          10.71406543     |          0.00000013  |                 |  96                                                |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
2s2.2p.6s              | 1P*       |   1 |    3 |          10.7142897      |          0.0000022   |                 |  48         :    34  2s2.2p.5d             1P*     |       L20057
                       |           |     |      |                          |                      |                 |                                                    |              
