------------------------------------------------------------------------------------------------------------
Configuration        | Term    |    J |    g |       Level (eV) |   Uncertainty (eV) |    Landé | Reference
                     | 314*    |  5/2 |    6 |       3.896582   |                    |          |          
                     |         |      |      |                  |                    |          |           
5d2.6s2.(3P).6p      | z 2P*   |  3/2 |    4 |                  |                    |          |          
                     |         |  1/2 |    2 |       3.905625   |                    |   0.758  |          
                     |         |      |      |                  |                    |          |           
                     | 315*    |  9/2 |   10 |       3.909224   |                    |   1.086  |          
                     |         |  3/2 |    4 |       3.912184   |                    |   0.888  |          
                     |         |      |      |                  |                    |          |           
                     | 316*    |  7/2 |    8 |       3.918018   |                    |   1.089  |          
                     |         |      |      |                  |                    |          |           
                     | 321*    |  7/2 |    8 |       3.983907   |                    |   0.846  |          
                     |         |      |      |                  |                    |          |           
                     | 322*    |  3/2 |    4 |       3.994143   |                    |   0.728  |          
                     |         |      |      |                  |                    |          |           
                     | 330*    | 11/2 |   12 |       4.100192   |                    |   1.349  |          
                     |         |      |      |                  |                    |          |           
                     | 331*    |  5/2 |    6 |       4.114412   |                    |   1.273  |          
                     |         |      |      |                  |                    |          |           
                     | 334*    |  9/2 |   10 |       4.153117   |                    |   1.031  |          
                     |         |      |      |                  |                    |          |           
                     | 336*    |  9/2 |   10 |       4.167790   |                    |   1.067  |          
                     |         |      |      |                  |                    |          |           
                     | 340*    |  5/2 |    6 |       4.215607   |                    |   1.140  |          
                     |         |  3/2 |    4 |       4.225186   |                    |   1.089  |          
                     |         |      |      |                  |                    |          |           
                     | 347*    |  5/2 |    6 |       4.313685   |                    |   1.483  |          
                     |         |  7/2 |    8 |       4.314614   |                    |   1.210  |          
                     |         |      |      |                  |                    |          |           
                     | 352*    |  9/2 |   10 |       4.366468   |                    |   1.582  |          
                     |         |  3/2 |    4 |       4.369568   |                    |   1.534  |          
                     |         |      |      |                  |                    |          |           
                     | 354*    |  9/2 |   10 |       4.401148   |                    |   0.940  |          
                     |         |      |      |                  |                    |          |           
                     | 357*    |  3/2 |    4 |       4.42884    |                    |   1.010  |          
                     |         |  7/2 |    8 |       4.431961   |                    |   1.101  |          
                     |         |      |      |                  |                    |          |           
                     | 358*    | 11/2 |   12 |       4.440304   |                    |   1.200  |          
                     |         |  5/2 |    6 |       4.448115   |                    |   1.490  |          
                     |         |      |      |                  |                    |          |           
                     | 359*    |  5/2 |    6 |       4.454143   |                    |          |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(3H).6p       | z 4G*?  |  5/2 |    6 |       4.465163   |                    |   0.985  |          
                     |         |  7/2 |    8 |       4.562604   |                    |   1.133  |          
                     |         |  9/2 |   10 |       4.812238   |                    |   1.088  |          
                     |         | 11/2 |   12 |       5.022647   |                    |   1.264  |          
                     |         |      |      |                  |                    |          |           
                     | 360*    |  5/2 |    6 |       4.47201    |                    |          |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(3H).6p       | z 4H*?  |  7/2 |    8 |       4.483161   |                    |   0.852  |          
                     |         |  9/2 |   10 |       4.596926   |                    |   1.046  |          
                     |         | 11/2 |   12 |       4.735480   |                    |          |          
                     |         | 13/2 |   14 |       4.880102   |                    |   1.061  |          
                     |         |      |      |                  |                    |          |           
                     | 363*    |  1/2 |    2 |       4.50630    |                    |   0.536  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(3G).6p       | y 4F*?  |  9/2 |   10 |                  |                    |          |          
                     |         |  7/2 |    8 |                  |                    |          |          
                     |         |  3/2 |    4 |       4.535349   |                    |   0.716  |          
                     |         |  5/2 |    6 |       4.766943   |                    |   1.045  |          
                     |         |      |      |                  |                    |          |           
                     | 366*    |  9/2 |   10 |       4.541684   |                    |   1.211  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(3G).6p       | y 4G*?  | 11/2 |   12 |                  |                    |          |          
                     |         |  5/2 |    6 |       4.565838   |                    |   0.825  |          
                     |         |  7/2 |    8 |       4.795591   |                    |   1.055  |          
                     |         |  9/2 |   10 |       5.044473   |                    |   1.208  |          
                     |         |      |      |                  |                    |          |           
                     | 371*    |  7/2 |    8 |       4.605176   |                    |          |          
                     |         |  5/2 |    6 |       4.605467   |                    |   1.501  |          
                     |         |      |      |                  |                    |          |           
                     | 374*    |  1/2 |    2 |       4.644629   |                    |   1.257  |          
                     |         |      |      |                  |                    |          |           
                     | 375*    |  3/2 |    4 |       4.652326   |                    |   0.973  |          
                     |         |  7/2 |    8 |       4.657001   |                    |   1.242  |          
                     |         |      |      |                  |                    |          |           
                     | 376*    |  5/2 |    6 |       4.665537   |                    |   1.211  |          
                     |         |      |      |                  |                    |          |           
                     | 377*    |  3/2 |    4 |       4.681726   |                    |   0.518  |          
                     |         |      |      |                  |                    |          |           
5d3.6s.(3H).6p       | z 4I*?  | 15/2 |   16 |                  |                    |          |          
                     |         |  9/2 |   10 |       4.704313   |                    |   0.878  |          
                     |         | 11/2 |   12 |       4.893486   |                    |   1.040  |          
                     |         | 13/2 |   14 |       5.072420   |                    |          |          
                     |         |      |      |                  |                    |          |           
                     | 382*    |  7/2 |    8 |       4.742816   |                    |   1.112  |          
                     |         |      |      |                  |                    |          |           
5d4.(5D).6p          | y 6F*   |  1/2 |    2 |       4.774326   |                    |   0.730  |          
                     |         |  3/2 |    4 |       4.908263   |                    |   1.083  |          
                     |         |  5/2 |    6 |       5.155384   |                    |   1.366  |          
                     |         |  7/2 |    8 |       5.353312   |                    |   1.356  |          
                     |         |  9/2 |   10 |       5.555315   |                    |   1.417  |          
