-----------------------------------------------------------------------------------------------------------------------------------------
Configuration       | Term   |    J |                   Level    |  Landé | Leading percentages                            | Reference
                    |        |  5/2 |             8.5359027      |        |  96                                            |      L17885
                    |        |  7/2 |             8.54897452     |        |  96                                            |      L17885
                    |        |  9/2 |             8.56540251     |        |  96                                            |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(1P*) | v 2D*  |  3/2 |             8.59551571     |        |  65         :    31  3d2.(3F).5p         2D*   |      L17885
                    |        |  5/2 |             8.63206499     |        |  65         :    31  3d2.(3F).5p         2D*   |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(1P*) | v 2F*  |  5/2 |             8.75402222     |        |  41         :    54  3d2.(3F).5p         2F*   |      L17885
                    |        |  7/2 |             8.78956410     |        |  41         :    54  3d2.(3F).5p         2F*   |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).5s         | 2D     |  5/2 |             8.77885187     |        |                                                |      L17885
                    |        |  3/2 |             8.77923892     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 4G*    |  5/2 |             8.86013307     |        |  98                                            |      L17885
                    |        |  7/2 |             8.87556392     |        |  99                                            |      L17885
                    |        |  9/2 |             8.89557708     |        | 100                                            |      L17885
                    |        | 11/2 |             8.92017720     |        | 100                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 4F*    |  3/2 |             8.89320014     |        | 100                                            |      L17885
                    |        |  5/2 |             8.90528786     |        |  99                                            |      L17885
                    |        |  7/2 |             8.92195648     |        |  99                                            |      L17885
                    |        |  9/2 |             8.94259742     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 4D*    |  1/2 |             8.96040640     |        | 100                                            |      L17885
                    |        |  3/2 |             8.96879441     |        |  99                                            |      L17885
                    |        |  5/2 |             8.98286548     |        |  99                                            |      L17885
                    |        |  7/2 |             9.00236539     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).5s         | 4P     |  1/2 |             9.00114028     |        |                                                |      L17885
                    |        |  3/2 |             9.00879884     |        |                                                |      L17885
                    |        |  5/2 |             9.02130223     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 2G*    |  7/2 |             9.03652897     |        |  99                                            |      L17885
                    |        |  9/2 |             9.06740436     |        |  99                                            |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).4d         | 2S     |  1/2 |             9.0974072      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3P).5s         | 2P     |  1/2 |             9.10505564     |        |                                                |      L17885
                    |        |  3/2 |             9.11951103     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 2F*    |  5/2 |             9.11567771     |        |  45         :    51  3d.(2D).4s.4p.(1P*) v 2F* |      L17885
                    |        |  7/2 |             9.15012930     |        |  44         :    52  3d.(2D).4s.4p.(1P*) v 2F* |      L17885
                    |        |      |                            |        |                                                |             
3d.(2D).4s.4p.(1P*) | 2P*    |  1/2 |             9.1287138      |        |  86                                            |      L17885
                    |        |  3/2 |             9.2217860      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(3F).5p         | 2D*    |  3/2 |             9.16865510     |        |                                                |      L17885
                    |        |  5/2 |             9.25482612     |        |  67         :    27  3d.(2D).4s.4p.(1P*) v 2D* |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).4d         | 2F     |  5/2 |             9.1718076      |        |                                                |      L17885
                    |        |  7/2 |             9.18273796     |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
3d2.(1D).4d         | 2P     |  3/2 |             9.20132282     |        |                                                |      L17885
                    |        |  1/2 |             9.2289620      |        |                                                |      L17885
                    |        |      |                            |        |                                                |             
