-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |         Rel. |    Aki     | Acc. |     Ei           Ek     |           Lower level           |           Upper level           |  gi   gk  |Type|    TP  |            Line  |
          |    Wavelength    |    Wavelength    |         Int. |   (s^-1)   |      |    (eV)         (eV)    |---------------------------------|---------------------------------|           |    |   Ref. |            Ref.  |
          |     Air (nm)     |     Air (nm)     |              |            |      |                         | Conf.           | Term   | J    | Conf.           | Term   | J    |           |    |        |                  |
Ta I      |        235.730   |        235.7316+ |          250 |            |      |  0.000000  -   5.257942 | 5d3.6s2         | a 4F   | 3/2  |                 | 424*   | 3/2  |   4 - 4   |    |        |           L3475  |
Ta II     |        235.916   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        236.109   |        236.1106+ |          260 |            |      |  0.249221  -   5.498723 | 5d3.6s2         | a 4F   | 5/2  |                 | 443*   | 3/2  |   6 - 4   |    |        |           L3475  |
Ta II     |        236.278   |                  |          160 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        236.332   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        236.424   |                  |          600 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        236.724   |                  |           50 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        236.932   |                  |          150 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        237.076   |                  |          300 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        237.158   |        237.1586+ |          320 |            |      |  0.491463  -   5.717771 | 5d3.6s2         | a 4F   | 7/2  |                 | 461*   | 5/2  |   8 - 6   |    |        |           L3475  |
Ta II     |        237.394   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        237.591   |        237.574+  |           70 |            |      |  2.437254  -   7.65441  | 5d2.6s2.(3F).6p | z 4D*  | 3/2  |                 | 617    | 5/2  |   4 - 6   |    |        |           L3475  |
Ta II     |        237.831   |                  |          150 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        238.113   |                  |          440 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        238.152   |                  |          240 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        238.372   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        238.428   |                  |          240 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        238.573   |        238.5741+ |          130 |            |      |  0.000000  -   5.195300 | 5d3.6s2         | a 4F   | 3/2  |                 | 419*   | 1/2  |   4 - 2   |    |        |           L3475  |
Ta II     |        238.706   |        238.7083+ |         1400 |            |      |  0.547477  -   5.739857 | 5d3.(4F).6s     | a 5F   | 4    |                 | 462*   | 5    |   9 - 11  |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        238.837   |                  |           80 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        238.911   |                  |          160 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        239.630   |        239.6292+ |           70 |            |      |  0.696920  -   5.869347 | 5d3.6s2         | a 4F   | 9/2  |                 | 473*   | 11/2 |  10 - 12  |    |        |           L3475  |
Ta I      |        239.915   |                  |          110 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        239.992   |                  |           50 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta II     |        240.063   |        240.0631+ |         2400 |            |      |  0.767056  -   5.930133 | 5d3.(4F).6s     | a 5F   | 5    |                 | 478*   | 6    |  11 - 13  |    |        |           L3475  |
Ta II     |        240.213   |                  |          140 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        240.368   |                  |          100 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta I      |        240.655   |        240.6547+ |          130 |            |      |  0.249221  -   5.399609 | 5d3.6s2         | a 4F   | 5/2  |                 | 435*   | 5/2  |   6 - 6   |    |        |           L3475  |
Ta II     |        240.826   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        241.432   |                  |          120 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        241.521   |                  |          240 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        241.689   |                  |          320 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        241.786   |                  |          220 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        241.877   |                  |          150 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        242.103   |        242.103+  |         140* |            |      |  1.325431  -   6.44501  | 5d3.6s2         | a 2G   | 9/2  |                 | 519*   | 7/2  |  10 - 8   |    |        |           L3475  |
Ta I      |        242.103   |        242.1038+ |         140* |            |      |  0.491463  -   5.611026 | 5d3.6s2         | a 4F   | 7/2  | 5d4.(5D).6p     | x 6D*  | 5/2  |   8 - 6   |    |        |           L3475  |
Ta II     |        242.185   |                  |          150 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        242.348   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        242.591   |                  |          130 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
          |                  |                  |              |            |      |                         |                 |        |      |                 |        |      |           |    |        |                  |
Ta I      |        242.764   |        242.763+  |          360 |            |      |  0.000000  -   5.10566  | 5d3.6s2         | a 4F   | 3/2  |                 | 411*   | 1/2  |   4 - 2   |    |        |           L3475  |
Ta II     |        242.971   |                  |          360 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        243.106   |                  |          170 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
Ta II     |        243.270   |                  |          480 |            |      |                         |                 |        |      |                 |        |      |           |    |        |           L3475  |
