------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |            Level (eV) |     Uncertainty (eV) |  Landé | Leading percentages                                                           | Reference
                     |           |   1 |    3 |         16.9577119    |          0.0000003   |        |  99                                    :                                      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5d     | 2[5/2]    |   3 |    7 |         16.97583585   |          0.00000020  |        |  99                                    :     1  3d9.(2D<5/2>).5d     2[7/2]   |        L19804
                     |           |   2 |    5 |         16.9949660    |          0.0000003   |        |  97                                    :     2  3d9.(2D<5/2>).5d     2[3/2]   |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<5/2>).5d     | 2[7/2]    |   3 |    7 |         16.9901470    |          0.0000004   |        |  99                                    :     1  3d9.(2D<5/2>).5d     2[5/2]   |        L19804
                     |           |   4 |    9 |         16.99134796   |          0.00000024  |        |  99                                    :                                      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(1G).4s.4p.(3P*) | 3F*       |   2 |    5 |         17.0122163    |          0.0000005   |        |  36                                    :    36  3d8.(3F).4s.4p.(1P*) 3F*      |        L19804
                     |           |   4 |    9 |         17.1022443    |          0.0000009   |        |  49                                    :    39  3d9.6p               3F*      |        L19804
                     |           |   3 |    7 |         17.2748607    |          0.0000004   |        |  21                                    :    46  3d9.6p               1F*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 1P*       |   1 |    3 |         17.0159525    |          0.0000010   |        |  82                                    :     5  3d8.(3P).4s.4p.(3P*) 3P*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d8.(3P).4s.4p.(3P*) | 1D*       |   2 |    5 |         17.0662760    |          0.0000005   |        |  50                                    :     9  3d8.(3P).4s.4p.(3P*) 3D*      |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
3d9.(2D<3/2>).4f     | 2[3/2]*   |   2 |    5 |         17.1101770    |          0.0000003   |        |  94                                    :     3  3d8.4s.4p                     |        L19804
                     |           |   1 |    3 |         17.1133384    |          0.0000004   |        |  59                                    :    26  3d8.4s.4p                     |        L19804
                     |           |     |      |                       |                      |        |                                                                               |               
