-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |   Unc.    |        Ritz        |   Unc.    |            Rel. |    Aki     | Acc. |           Ei           Ek           |             Lower level              |               Upper level               |  gi   gk  |   Type|         TP  |            Line  |
          |     Wavelength     |    (nm)   |     Wavelength     |    (nm)   |            Int. |   (s^-1)   |      |          (eV)         (eV)          |--------------------------------------|-----------------------------------------|           |       |        Ref. |            Ref.  |
          |      Air (nm)      |           |      Air (nm)      |           |                 |            |      |                                     | Conf.                 | Term  | J    | Conf.                 | Term     | J    |           |       |             |                  |
V II      |         201.55592  |  0.00004  |         201.555940 |  0.000025 |           17000 | 4.8e+07    | D+   |     2.3757135    -      8.5250822   | 3d3.(2P).4s           | b 3P  | 0    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 1    |   1 - 3   |       |       T9770 |          L18516  |
V II      |         201.56533  |  0.00010  |         201.565250 |  0.000021 |            2900 | 1.1e+07    | D+   |     1.79302840   -      7.9421131   | 3d4                   | a 3G  | 3    | 3d3.(2F).4p           | w 3G*    | 3    |   7 - 7   |       |       T9770 |          L18516  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         201.57582  |  0.00008  |         201.57583  |  0.00003  |           14000 | 2.2e+07    | D+   |     2.3763202    -      8.5250822   | 3d3.(2P).4s           | b 3P  | 1    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 1    |   3 - 3   |       |       T9770 |          L18516  |
V II      |         201.6027   |  0.0016   |         201.60409  |  0.00012  |            780h |            |      |     3.7526931    -      9.900593    | 3d3.(2F).4s           | c 3F  | 2    | 3d3.(4F).5p           | 3F*      | 2    |   5 - 5   |       |             |      L10089c179  |
V II      |         201.65042  |  0.00007  |         201.650477 |  0.000013 |            3300 | 1.0e+07    | D+   |     1.80472252   -      7.9512087   | 3d4                   | a 3G  | 4    | 3d3.(2F).4p           | w 3G*    | 4    |   9 - 9   |       |       T9770 |          L18516  |
V II      |         201.6547   |  0.0016   |         201.655299 |  0.000013 |          7200bl | 8.e+06     | D+   |     1.81706382   -      7.9634031   | 3d4                   | a 3G  | 5    | 3d3.(2F).4p           | w 3G*    | 5    |  11 - 11  |       |       T9770 |      L10089c179  |
V II      |         201.7319   |  0.0016   |         201.731909 |  0.000017 |            470h |            |      |     1.56486477   -      7.7088702   | 3d4                   | a 3H  | 5    | 3d3.(2F).4p           | w 3F*    | 4    |  11 - 9   |       |             |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         201.7458   |  0.0016   |         201.746492 |  0.000017 |            510h |            |      |     2.2755849    -      8.4191463   | 3d4                   | a 3D  | 3    | 3d2.(3F).4s.4p.(3P*)  | v 3F*    | 3    |   7 - 7   |       |             |      L10089c179  |
V II      |         201.7617   |  0.0016   |         201.76231  |  0.00012  |            620h |            |      |     3.7575133    -      9.900593    | 3d3.(2F).4s           | c 3F  | 3    | 3d3.(4F).5p           | 3F*      | 2    |   7 - 5   |       |             |      L10089c179  |
V II      |         201.8230   |  0.0016   |         201.82404  |  0.00006  |            720h |            |      |     3.1232903    -      9.2644914   | 3d3.(2D2).4s          | b 1D  | 2    | 3d2.(3P).4s.4p.(3P*)  | x 3S*    | 1    |   5 - 3   |       |             |      L10089c179  |
V II      |         201.9491   |  0.0016   |         201.949366 |  0.000021 |           1200h |            |      |     1.80472252   -      7.9421131   | 3d4                   | a 3G  | 4    | 3d3.(2F).4p           | w 3G*    | 3    |   9 - 7   |       |             |      L10089c179  |
V II      |         202.05624  |  0.00016  |         202.056236 |  0.000013 |            1200 |            |      |     1.81706382   -      7.9512087   | 3d4                   | a 3G  | 5    | 3d3.(2F).4p           | w 3G*    | 4    |  11 - 9   |       |             |          L18516  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         202.08474  |  0.00007  |         202.084717 |  0.000021 |            5400 | 1.2e+07    | D+   |     2.2651312    -      8.3984117   | 3d4                   | a 3D  | 1    | 3d2.(3F).4s.4p.(3P*)  | v 3F*    | 2    |   3 - 5   |       |       T9770 |          L18516  |
V I       |         202.172    |  0.003    |         202.17376  |  0.00005  |              89 |            |      |     0.01703332   -      6.1476130   | 3d3.4s2               | a 4F  | 5/2  | 3d2.(3F).4s2.4p       | n 4D*    | 7/2  |   6 - 8   |       |             |           L3353  |
V II      |         202.1830   |  0.0008   |         202.184283 |  0.000017 |             640 |            |      |     2.26815107   -      8.3984117   | 3d4                   | a 3D  | 2    | 3d2.(3F).4s.4p.(3P*)  | v 3F*    | 2    |   5 - 5   |       |             |      L10089c179  |
V I       |         202.198    |  0.003    |         202.20033  |  0.00009  |             220 |            |      |     0.00000000   -      6.1297741†  | 3d3.4s2               | a 4F  | 3/2  | 3d2.(3F).4s2.4p       | n 4D*    | 5/2  |   4 - 6   |       |             |           L3353  |
V II      |         202.2666   |  0.0023   |         202.267390 |  0.000010 |           3200h |            |      |     0.36803324   -      6.4957754   | 3d3.(4F).4s           | a 5F  | 4    | 3d3.(2D2).4p          | x 3F*    | 3    |   9 - 7   |       |             |       L8201c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         202.2975   |  0.0016   |         202.29888  |  0.00012  |            470h |            |      |     3.7990949    -      9.925883    | 3d4                   | d 3F1 | 3    | 3d3.(4F).5p           | 3F*      | 3    |   7 - 7   |       |             |      L10089c179  |
V II      |         202.356513 |  0.000018 |         202.356513 |  0.000013 |           54000 | 1.4e+08    | D+   |     2.5097359    -      8.6347796   | 3d3.(2H).4s           | b 3H  | 4    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 3    |   9 - 7   |       |       T9770 |          L18516  |
V II      |         202.4497   |  0.0016   |         202.45202  |  0.00012  |            620h |            |      |     3.7590188    -      9.881174    | 3d3.(2F).4s           | c 3F  | 4    | 3d3.(4F).5p           | 3D*      | 3    |   9 - 7   |       |             |      L10089c179  |
V II      |         202.4846   |  0.0023   |         202.484088 |  0.000025 |            150? |            |      |     1.81706382   -      7.9382490   | 3d4                   | a 3G  | 5    | 3d2.(3F).4s.4p.(3P*)  | y 5F*    | 4    |  11 - 9   |       |             |       L8201c179  |
V I       |         202.504    |  0.003    |         202.50579  |  0.00007  |             790 |            |      |     0.04010046   -      6.1606298   | 3d3.4s2               | a 4F  | 7/2  | 3d3.(2P).4s.4p.(1P*)  | t 2D*    | 5/2  |   8 - 6   |       |             |           L3353  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         202.5483   |  0.0016   |         202.54827  |  0.00003  |           7100h |            |      |     1.79302840   -      7.9122744   | 3d4                   | a 3G  | 3    | 3d2.(3F).4s.4p.(3P*)  | y 5F*    | 3    |   7 - 7   |       |             |      L10089c179  |
V IV      |         202.7144   |  0.0010   |         202.717+   |  0.006    |               1 |            |      |    26.77534      -     32.88949     | 3p6.3d.4d             | 1F    | 3    | 3p6.3d.4f             | 3D*      | 3    |   7 - 7   |       |             |            L147  |
V I       |         202.76391  |  0.00018  |         202.76385  |  0.00008  |           17000 |            |      |     0.01703332   -      6.1297741†  | 3d3.4s2               | a 4F  | 5/2  | 3d2.(3F).4s2.4p       | n 4D*    | 5/2  |   6 - 6   |       |             |          L15916  |
V I       |         202.8412   |  0.0002   |         202.84111  |  0.00006  |           17000 |            |      |     0.00000000   -      6.1104129†  | 3d3.4s2               | a 4F  | 3/2  | 3d2.(3F).4s2.4p       | n 4D*    | 3/2  |   4 - 4   |       |             |          L15916  |
V II      |         202.8864   |  0.0006   |         202.88715  |  0.00007  |            1800 | 8.e+06     | D+   |     4.7755099    -     10.8845362   | 3d2.4s2               | e 3F  | 4    | 3d2.(1G).4s.4p.(3P*)  | r 3F*    | 4    |   9 - 9   |       |       T9770 |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V I       |         202.9376   |  0.0003   |         202.93745  |  0.00005  |           19000 |            |      |     0.04010046   -      6.1476130   | 3d3.4s2               | a 4F  | 7/2  | 3d2.(3F).4s2.4p       | n 4D*    | 7/2  |   8 - 8   |       |             |          L15916  |
V II      |         203.1405   |  0.0023   |         203.13751  |  0.00012  |          14000h |            |      |     3.7990949    -      9.900593    | 3d4                   | d 3F1 | 3    | 3d3.(4F).5p           | 3F*      | 2    |   7 - 5   |       |             |       L8201c179  |
V I       |         203.22801  |  0.00015  |         203.22798  |  0.00008  |           47000 |            |      |     0.00000000   -      6.0987825†  | 3d3.4s2               | a 4F  | 3/2  | 3d2.(3F).4s2.4p       | n 4D*    | 1/2  |   4 - 2   |       |             |          L15916  |
V II      |         203.2651   |  0.0016   |         203.26690  |  0.00012  |            460h |            |      |     3.8029783    -      9.900593    | 3d4                   | d 3F1 | 2    | 3d3.(4F).5p           | 3F*      | 2    |   5 - 5   |       |             |      L10089c179  |
V I       |         203.406    |  0.002    |         203.4001   |  0.0009   |           67000 |            |      |     1.04308017   -      7.13670     | 3d4.(5D).4s           | a 4D  | 1/2  |                       | s 2P*?   | 3/2  |   2 - 4   |       |             |           L3353  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V I       |         203.40820  |  0.00009  |         203.40821  |  0.00006  |           82000 |            |      |     0.01703332   -      6.1104129†  | 3d3.4s2               | a 4F  | 5/2  | 3d2.(3F).4s2.4p       | n 4D*    | 3/2  |   6 - 4   |       |             |          L15916  |
V II      |         203.4795   |  0.0016   |         203.48142  |  0.00012  |            760h |            |      |     3.7575133    -      9.848701    | 3d3.(2F).4s           | c 3F  | 3    | 3d3.(4F).5p           | 3D*      | 2    |   7 - 5   |       |             |      L10089c179  |
V I       |         203.53201  |  0.00009  |         203.53201  |  0.00009  |           85000 |            |      |     0.04010046   -      6.1297741†  | 3d3.4s2               | a 4F  | 7/2  | 3d2.(3F).4s2.4p       | n 4D*    | 5/2  |   8 - 6   |       |             |          L15916  |
V II      |         203.5841   |  0.0008   |         203.583115 |  0.000009 |             550 |            |      |     0.01322194   -      6.10136706  | 3d4                   | a 5D  | 2    | 3d3.(2G).4p           | y 3F*    | 3    |   5 - 7   |       |             |      L10089c179  |
V II      |         203.6681   |  0.0016   |         203.67053  |  0.00012  |            460h |            |      |     3.7956411    -      9.881174    | 3d4                   | d 3F1 | 4    | 3d3.(4F).5p           | 3D*      | 3    |   9 - 7   |       |             |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         203.7835   |  0.0020   |         203.78621  |  0.00012  |           23000 |            |      |     3.7990949    -      9.881174    | 3d4                   | d 3F1 | 3    | 3d3.(4F).5p           | 3D*      | 3    |   7 - 7   |       |             |       L8201c179  |
V I       |         203.88756  |  0.00006  |         203.88757  |  0.00005  |          150000 |            |      |     0.06855768   -      6.1476130   | 3d3.4s2               | a 4F  | 9/2  | 3d2.(3F).4s2.4p       | n 4D*    | 7/2  |  10 - 8   |       |             |          L15916  |
V II      |         203.9295   |  0.0020   |         203.927828 |  0.000021 |           20000 |            |      |     2.5569243    -      8.6347796   | 3d3.(2D2).4s          | b 3D  | 3    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 3    |   7 - 7   |       |             |       L8201c179  |
V II      |         204.0451   |  0.0016   |         204.045568 |  0.000011 |           460bl |            |      |     0.02588667   -      6.10023541  | 3d4                   | a 5D  | 3    | 3d3.(2G).4p           | y 3F*    | 2    |   7 - 5   |       |             |      L10089c179  |
V II      |         204.0497   |  0.0016   |         204.05068  |  0.00021  |         610h,bl |            |      |     3.7526931    -      9.826890†   | 3d3.(2F).4s           | c 3F  | 2    | 3d3.(4F).5p           | 3D*      | 1    |   5 - 3   |       |             |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V I       |         204.100    |  0.002    |         204.0876   |  0.0009   |          62000i |            |      |     1.06360364   -      7.13670     | 3d4.(5D).4s           | a 4D  | 5/2  |                       | s 2P*?   | 3/2  |   6 - 4   |       |             |           L3353  |
V IV      |         204.2454   |  0.0010   |         204.247+   |  0.006    |              20 |            |      |    26.77534      -     32.84369     | 3p6.3d.4d             | 1F    | 3    | 3p6.3d.4f             | 1F*      | 3    |   7 - 7   |       |             |            L147  |
V XVI     |         204.27     |  0.10     |         204.28+    |  0.06     |                 | 2.48e+03   | C+   |     0.0000       -      6.0674      | 2s2.2p4               | 3P    | 2    | 2s2.2p4               | 3P       | 1    |   5 - 3   | M1    |       T3941 |           L6339  |
V XVI     |                    |           |         204.28     |  0.10     |                 | 5.7e-02    | E    |     0.0000       -      6.0674      | 2s2.2p4               | 3P    | 2    | 2s2.2p4               | 3P       | 1    |   5 - 3   | E2    |       T3941 |                  |
V II      |         204.3106   |  0.0008   |         204.310142 |  0.000010 |             280 |            |      |     0.04204622   -      6.10852999  | 3d4                   | a 5D  | 4    | 3d3.(2G).4p           | y 3F*    | 4    |   9 - 9   |       |             |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         204.4274   |  0.0008   |         204.42619  |  0.00003  |             690 |            |      |     1.67907411   -      7.7421146   | 3d4                   | b 3F2 | 3    | 3d2.(3F).4s.4p.(3P*)  | 5G*      | 3    |   7 - 7   |       |             |      L10089c179  |
V II      |         204.6142   |  0.0008   |         204.61410  |  0.00003  |             510 |            |      |     2.4676090    -      8.5250822   | 3d4                   | a 1S2 | 0    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 1    |   1 - 3   |       |             |      L10089c179  |
V II      |         204.8755   |  0.0020   |         204.87305  |  0.00003  |            4000 |            |      |     1.67265646   -      7.7224744   | 3d4                   | b 3F2 | 2    | 3d2.(3F).4s.4p.(3P*)  | 5G*      | 2    |   5 - 5   |       |             |       L8201c179  |
V II      |         204.9678   |  0.0008   |         204.969125 |  0.000021 |             750 |            |      |     2.3721639    -      8.4191463   | 3d3.(2P).4s           | b 3P  | 2    | 3d2.(3F).4s.4p.(3P*)  | v 3F*    | 3    |   5 - 7   |       |             |      L10089c179  |
V II      |         205.1275   |  0.0023   |         205.1285   |  0.0005   |           1900h |            |      |     3.3277047    -      9.369990    | 3d4                   | a 1F  | 3    | 3d2.(3P).4s.4p.(3P*)  | w 5D*    | 3    |   7 - 7   |       |             |       L8201c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         205.2395   |  0.0006   |         205.239556 |  0.000021 |            2500 | 8.e+06     | D+   |     2.49079907   -      8.5298148   | 3d3.(4P).4s           | c 3P  | 1    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 2    |   3 - 5   |       |       T9770 |      L10089c179  |
V II      |         205.4017   |  0.0008   |         205.40054  |  0.00003  |             380 |            |      |     2.49079907   -      8.5250822   | 3d3.(4P).4s           | c 3P  | 1    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 1    |   3 - 3   |       |             |      L10089c179  |
V II      |         205.4276   |  0.0008   |         205.428015 |  0.000021 |             510 |            |      |     2.6013033    -      8.6347796   | 3d4                   | a 1D2 | 2    | 3d2.(3F).4s.4p.(3P*)  | v 3G*    | 3    |   5 - 7   |       |             |      L10089c179  |
V II      |         205.484871 |  0.000016 |         205.484865 |  0.000013 |           25000 | 1.0e+08    | D+   |     2.76157896   -      8.7933863   | 3d3.(2P).4s           | a 1P  | 1    | 3d2.(3F).4s.4p.(3P*)  | 1D*      | 2    |   3 - 5   |       |       T9770 |          L18516  |
V II      |         205.5151   |  0.0016   |         205.515867 |  0.000013 |            560h |            |      |     1.67265646   -      7.7035540   | 3d4                   | b 3F2 | 2    | 3d3.(2F).4p           | w 3F*    | 3    |   5 - 7   |       |             |      L10089c179  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         205.5527   |  0.0008   |         205.553413 |  0.000017 |             680 |            |      |     1.67907411   -      7.7088702   | 3d4                   | b 3F2 | 3    | 3d3.(2F).4p           | w 3F*    | 4    |   7 - 9   |       |             |      L10089c179  |
V II      |         205.6857   |  0.0016   |         205.68382  |  0.00003  |          2500D* | 4.7e+06    | D+   |     2.4991086    -      8.5250822   | 3d3.(4P).4s           | c 3P  | 0    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 1    |   1 - 3   |       |       T9770 |      L10089c179  |
V II      |         205.6857   |  0.0016   |         205.687021 |  0.000017 |          2500D* | 5.3e+06    | D+   |     2.52221644   -      8.5480963   | 3d3.(4P).4s           | c 3P  | 2    | 3d2.(3F).4s.4p.(3P*)  | u 3D*    | 3    |   5 - 7   |       |       T9770 |      L10089c179  |
V II      |         205.72010  |  0.00010  |         205.720128 |  0.000017 |            2900 |            |      |     1.67265646   -      7.6975667   | 3d4                   | b 3F2 | 2    | 3d3.(2F).4p           | w 3F*    | 2    |   5 - 5   |       |             |          L18516  |
V II      |         205.73479  |  0.00005  |         205.734824 |  0.000013 |            4200 | 1.1e+07    | D+   |     1.67907411   -      7.7035540   | 3d4                   | b 3F2 | 3    | 3d3.(2F).4p           | w 3F*    | 3    |   7 - 7   |       |       T9770 |          L18516  |
          |                    |           |                    |           |                 |            |      |                                     |                       |       |      |                       |          |      |           |       |             |                  |
V II      |         205.83405  |  0.00006  |         205.834026 |  0.000017 |            5200 | 1.2e+07    | D+   |     1.68729342   -      7.7088702   | 3d4                   | b 3F2 | 4    | 3d3.(2F).4p           | w 3F*    | 4    |   9 - 9   |       |       T9770 |          L18516  |
V II      |         205.8619   |  0.0008   |         205.862408 |  0.000022 |             500 |            |      |     4.65326733   -     10.6740140   | 3d3.(4F).4p           | z 5D* | 4    | 3d3.(2H).5s           | 3H       | 5    |   9 - 11  |       |             |      L10089c179  |
