------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed    |  Unc.   |      Ritz      |  Unc.   |           Rel. |    Aki     | Acc. |       Ei           Ek       |          Lower level           |           Upper level           |  gi   gk  |Type|    TP  |        Line  |
          |   Wavelength   |   (nm)  |   Wavelength   |   (nm)  |           Int. |   (s^-1)   |      |      (eV)         (eV)      |--------------------------------|---------------------------------|           |    |   Ref. |        Ref.  |
          |    Air (nm)    |         |    Air (nm)    |         |                |            |      |                             | Conf.           | Term   | J   | Conf.           | Term    | J   |           |    |        |              |
Nb IV     |       214.6363 |  0.0005 |       214.6361 |  0.0004 |       80000000 | 2.6e+08    | C+   |   6.671648   -   12.446315  | 4d.5s           | 3D     | 3   | 4d.5p           | 3F*     | 3   |   7 - 7   |    |  T2192 |      L12094  |
Nb IV     |       215.4475 |  0.0005 |       215.4478 |  0.0004 |        1000000 | 2.4e+07    | D+   |   7.261343   -   13.014254  | 4d.5s           | 1D     | 2   | 4d.5p           | 3P*     | 1   |   5 - 3   |    |  T2192 |      L12094  |
Nb IV     |       215.6221 |  0.0005 |       215.6228 |  0.0004 |        8000000 | 1.9e+08    | C+   |   6.525283   -   12.273527  | 4d.5s           | 3D     | 2   | 4d.5p           | 3D*     | 1   |   5 - 3   |    |  T2192 |      L12094  |
Nb IV     |       216.3401 |  0.0005 |       216.3404 |  0.0006 |           8000 | 3.7e+08    | C+   |  23.373723   -   29.102902  | 4d.4f           | 3P*    | 1   | 4d.(2D<5/2>).5g | 2[3/2]  | 1   |   3 - 3   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb IV     |       216.3917 |  0.0005 |       216.3922 |  0.0008 |          25000 | 4.2e+08    | C+   |  23.373723   -   29.101531  | 4d.4f           | 3P*    | 1   | 4d.(2D<5/2>).5g | 2[5/2]  | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb IV     |       216.4831 |  0.0005 |       216.4828 |  0.0008 |           1000 | 7.1e+07    | C+   |  23.111860   -   28.837269  | 4d.4f           | 3D*    | 2   | 4d.(2D<3/2>).5g | 2[7/2]  | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb IV     |       216.8819 |  0.0005 |       216.8821 |  0.0005 |         100000 | 4.3e+08    | C+   |  23.124585   -   28.839455  | 4d.4f           | 3D*    | 3   | 4d.(2D<3/2>).5g | 2[7/2]  | 4   |   7 - 9   |    |  T2192 |      L12094  |
Nb IV     |       217.4855 |  0.0005 |       217.4855 |  0.0009 |          12000 | 3.6e+08    | C+   |  23.403884   -   29.102902  | 4d.4f           | 3P*    | 0   | 4d.(2D<5/2>).5g | 2[3/2]  | 1   |   1 - 3   |    |  T2192 |      L12094  |
Nb IV     |       217.7277 |  0.0005 |       217.7275 |  0.0004 |        4000000 | 7.0e+07    | C    |   6.671648   -   12.364332  | 4d.5s           | 3D     | 3   | 4d.5p           | 3F*     | 2   |   7 - 5   |    |  T2192 |      L12094  |
          |                |         |                |         |                |            |      |                             |                 |        |     |                 |         |     |           |    |        |              |
Nb III    |       220.601  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb IV     |       222.1692 |  0.0005 |       222.1691 |  0.0004 |        8000000 | 1.13e+08   | C+   |   6.455196   -   12.034083  | 4d.5s           | 3D     | 1   | 4d.5p           | 1D*     | 2   |   3 - 5   |    |  T2192 |      L12094  |
Nb IV     |       222.6752 |  0.0005 |       222.6764 |  0.0013 |             50 | 1.28e+08   | C+   |  23.324361   -   28.890539  | 4d.4f           | 3P*    | 2   | 4d.(2D<3/2>).5g | 2[5/2]  | 3   |   5 - 7   |    |  T2192 |      L12094  |
Nb III    |       224.031  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
Nb III    |       224.419  |  0.010  |                |         |             60 |            |      |                             |                 |        |     |                 |         |     |           |    |        |       L3603  |
