---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |     Observed     |       Ritz       |  Rel. |     Aki     | Acc. |         Ei           Ek         |             Lower level             |             Upper level              |  gi   gk  |Type|               TP  |          Line  |
          |    Wavelength    |    Wavelength    |  Int. |   (s^-1)    |      |        (eV)         (eV)        |-------------------------------------|--------------------------------------|           |    |              Ref. |          Ref.  |
          |     Air (nm)     |     Air (nm)     |       |             |      |                                 | Conf.                | Term  | J    | Conf.                 | Term  | J    |           |    |                   |                |
O IV      |                  |        208.580   |       | 4.24e+05    | C+   |   68.1655      -    74.108      | 2s.2p.(1P*).3p       | 2P    | 1/2  | 2s.2p.(3P*).4d        | 2P*   | 3/2  |   2 - 4   |    |           T5109LS |                |
O IV      |                  |        208.854   |       | 2.11e+06    | B    |   68.1733      -    74.108      | 2s.2p.(1P*).3p       | 2P    | 3/2  | 2s.2p.(3P*).4d        | 2P*   | 3/2  |   4 - 4   |    |           T5109LS |                |
O II      |        209.2876  |        209.2876  |    10 | 6.69e+06    | C    |   26.2253999   -    32.147623   | 2s2.2p2.(3P).3p      | 2D*   | 3/2  | 2s2.2p2.(1D).4s       | 2D    | 3/2  |   4 - 4   |    |           T5723LS |        L10549  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        209.2896  |       | 4.96e+05    | D    |   26.2253999   -    32.147566   | 2s2.2p2.(3P).3p      | 2D*   | 3/2  | 2s2.2p2.(1D).4s       | 2D    | 5/2  |   4 - 6   |    |           T5723LS |         L7243  |
O II      |        209.9880  |        209.9872  |     8 |             |      |   25.6313476   -    31.533844   | 2s2.2p2.(3P).3p      | 4D*   | 1/2  | 2s2.2p2.(3P).4d       | 4F    | 3/2  |   2 - 4   |    |                   |        L10549  |
O II      |        210.0069  |        210.0071  |    7* |             |      |   25.6495861   -    31.551523   | 2s2.2p2.(3P).3p      | 4D*   | 5/2  | 2s2.2p2.(3P).4d       | 4F    | 7/2  |   6 - 8   |    |                   |        L10549  |
O II      |        210.0069  |        210.0080  |    7* |             |      |   25.6382317   -    31.540144   | 2s2.2p2.(3P).3p      | 4D*   | 3/2  | 2s2.2p2.(3P).4d       | 4F    | 5/2  |   4 - 6   |    |                   |        L10549  |
O II      |        210.0664  |        210.0725  |     8 |             |      |   25.6650366   -    31.565137   | 2s2.2p2.(3P).3p      | 4D*   | 7/2  | 2s2.2p2.(3P).4d       | 4F    | 9/2  |   8 - 10  |    |                   |        L10549  |
          |                  |                  |       |             |      |                                 |                      |       |      |                       |       |      |           |    |                   |                |
O II      |                  |        210.1263  |       | 7.35e+05    | D    |   26.2490332   -    32.147623   | 2s2.2p2.(3P).3p      | 2D*   | 5/2  | 2s2.2p2.(1D).4s       | 2D    | 3/2  |   6 - 4   |    |           T5723LS |         L7243  |
