-------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |         Level (eV) |   Uncertainty (eV) | Leading percentages                       | Reference
3s2.26d              | 2D     |  5/2 |    6 |        5.9655      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9655      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.27d              | 2D     |  5/2 |    6 |        5.9670      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9670      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.28d              | 2D     |  3/2 |    4 |        5.9682      |                    |                                           |             
                     |        |  5/2 |    6 |        5.9682      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.29d              | 2D     |  5/2 |    6 |        5.9695      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9695      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.30d              | 2D     |  5/2 |    6 |        5.9705      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9705      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.31d              | 2D     |  5/2 |    6 |        5.9715      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9715      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.32d              | 2D     |  3/2 |    4 |        5.972       |          0.012     |                                           |             
                     |        |  5/2 |    6 |        5.972       |          0.012     |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.33d              | 2D     |  5/2 |    6 |        5.9732      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9732      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s2.34d              | 2D     |  5/2 |    6 |        5.9738      |                    |                                           |             
                     |        |  3/2 |    4 |        5.9738      |                    |                                           |             
---------------------|--------|------|------|--------------------|--------------------|-------------------------------------------|--------------
---------------------|--------|------|------|--------------------|--------------------|-------------------------------------------|--------------
Al II (3s2 1S<0>)    | Limit  |  --- |      |        5.985769    |          0.000003  |                                           | L7215,L10321
                     |        |      |      |                    |                    |                                           |              
3s.3p2               | 2S     |  1/2 |    2 |        6.41652     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p2               | 2P     |  1/2 |    2 |        7.0220847   |                    |                                           |             
                     |        |  3/2 |    4 |        7.0330011   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4s       | 4P*    |  1/2 |    2 |        7.648766    |                    |                                           |             
                     |        |  3/2 |    4 |        7.655722    |                    |                                           |             
                     |        |  5/2 |    6 |        7.667622    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).3d       | 2D*    |  3/2 |    4 |        8.3856871   |                    |                                           |             
                     |        |  5/2 |    6 |        8.3891377   |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       |        | 1/2? |    2 |        8.65897     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       |        | 3/2? |    4 |        8.66405     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       |        | 3/2? |    4 |        8.71432     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       |        | 3/2? |    4 |        8.74839     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       | 2P     |  1/2 |    2 |        8.76685     |                    |                                           |             
                     |        |  3/2 |    4 |        8.77356     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).3d       | 4D*    |  1/2 |    2 |        8.832045    |                    |                                           |             
                     |        |  3/2 |    4 |        8.833151    |                    |                                           |             
                     |        |  5/2 |    6 |        8.835182    |                    |                                           |             
                     |        |  7/2 |    8 |        8.83839     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       | 2D     |  5/2 |    6 |        8.8838      |                    |                                           |             
                     |        |  3/2 |    4 |        8.8838      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).3d       | 4P*    |  5/2 |    6 |        8.952155    |                    |                                           |             
                     |        |  3/2 |    4 |        8.957924    |                    |                                           |             
                     |        |  1/2 |    2 |        8.961299    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).3d       | 2F*    |  5/2 |    6 |        9.04823     |                    |                                           |             
                     |        |  7/2 |    8 |        9.06049     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4p       | 2S     |  1/2 |    2 |        9.05717     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5s       | 4P*    |  5/2 |    6 |        9.296214    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4d       | 2D*    |  3/2 |    4 |        9.48748     |                    |                                           |             
                     |        |  5/2 |    6 |        9.491421    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       |        | 1/2? |    2 |        9.62452     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       |        | 3/2? |    4 |        9.62649     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       |        | 1/2? |    2 |        9.62959     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       | 2P     |  3/2 |    4 |        9.63515     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       |        | 3/2? |    4 |        9.65260     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       | 2D     |  5/2 |    6 |        9.7044      |                    |                                           |             
                     |        |  3/2 |    4 |        9.7044      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).4d       | 2F*    |  5/2 |    6 |        9.746674    |                    |                                           |             
                     |        |  7/2 |    8 |        9.758828    |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5p       | 2S     |  1/2 |    2 |        9.76288     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).5d       | 2D*    |  3/2 |    4 |        9.93833     |                    |                                           |             
                     |        |  5/2 |    6 |        9.94253     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       |        | 1/2? |    2 |       10.00834     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       |        | 3/2? |    4 |       10.00979     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       |        | 1/2? |    2 |       10.01500     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       |        | 3/2? |    4 |       10.01939     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       |        | 3/2? |    4 |       10.03445     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       | 2D     |  5/2 |    6 |       10.0544      |                    |                                           |             
                     |        |  3/2 |    4 |       10.0544      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).6p       | 2S     |  3/2 |    4 |       10.08178     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).7p       |        | 3/2? |    4 |       10.20820     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).7p       |        | 1/2? |    2 |       10.21325     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).7p       |        | 3/2? |    4 |       10.21767     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).7p       | 2D     |  5/2 |    6 |       10.2408      |                    |                                           |             
                     |        |  3/2 |    4 |       10.2408      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).7p       | 2S     |  1/2 |    2 |       10.25372     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).8p?      |        | 3/2? |    4 |       10.32471     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).8p?      |        | 3/2? |    4 |       10.32811     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).8p?      | 2D?    | 3/2? |    4 |       10.3451      |                    |                                           |             
                     |        | 5/2? |    6 |       10.3462      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(1P*).4p?      | 2D?    |  5/2 |    6 |       10.3516      |                    |                                           |             
                     |        |  3/2 |    4 |       10.3516      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).8p?      | 2S?    | 1/2? |    2 |       10.35723     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(1P*).4p?      | 2P?    | 1/2? |    2 |       10.38953     |                    |                                           |             
                     |        | 3/2? |    4 |       10.39951     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).9p?      |        | 3/2? |    4 |       10.39855     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).9p?      | 2D?    | 5/2? |    6 |       10.4210      |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).9p?      | 2S?    | 3/2? |    4 |       10.42452     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
3s.3p.(3P*).10p?     |        | 3/2? |    4 |       10.45093     |                    |                                           |             
                     |        |      |      |                    |                    |                                           |              
