--------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |        Level (eV) |   Uncertainty (eV) |    Landé | Reference
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 6D*  |  1/2 |    2 |        6.192942   |                    |    3.155 |              
                   |        |  3/2 |    4 |        6.223015   |                    |    1.802 |              
                   |        |  7/2 |    8 |        6.236720   |                    |    1.552 |              
                   |        |  5/2 |    6 |        6.270793   |                    |    1.597 |              
                   |        |  9/2 |   10 |        6.286683   |                    |    1.502 |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 4F*  |  3/2 |    4 |        6.369428   |                    |    0.412 |              
                   |        |  5/2 |    6 |        6.413999   |                    |    1.045 |              
                   |        |  7/2 |    8 |        6.474120   |                    |    1.262 |              
                   |        |  9/2 |   10 |        6.551709   |                    |    1.362 |              
                   |        |      |      |                   |                    |          |               
4d4.(5D).5p        | z 4D*  |  1/2 |    2 |        6.724754   |                    |    0.042 |              
                   |        |  3/2 |    4 |        6.780399   |                    |    1.197 |              
                   |        |  5/2 |    6 |        6.845893   |                    |    1.376 |              
                   |        |  7/2 |    8 |        6.906734   |                    |    1.413 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | y 4D*  |  1/2 |    2 |        7.106718   |                    |    0.200 |              
                   |        |  3/2 |    4 |        7.208534   |                    |    1.183 |              
                   |        |  5/2 |    6 |        7.358207   |                    |    1.263 |              
                   |        |  7/2 |    8 |        7.526109   |                    |    1.305 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | z 4H*  |  7/2 |    8 |        7.177701   |                    |    0.710 |              
                   |        |  9/2 |   10 |        7.215469   |                    |    0.960 |              
                   |        | 11/2 |   12 |        7.285429   |                    |    1.110 |              
                   |        | 13/2 |   14 |        7.376047   |                    |    1.206 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | z 2S*  |  1/2 |    2 |        7.256423   |                    |    1.651 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | z 4G*  |  5/2 |    6 |        7.321678   |                    |    0.672 |              
                   |        |  7/2 |    8 |        7.374374   |                    |    0.923 |              
                   |        |  9/2 |   10 |        7.467196   |                    |    0.884 |              
                   |        | 11/2 |   12 |        7.577441   |                    |    1.210 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | z 4I*  |  9/2 |   10 |        7.399346   |                    |    1.027 |              
                   |        | 11/2 |   12 |        7.553679   |                    |    0.936 |              
                   |        | 13/2 |   14 |        7.643348   |                    |    1.103 |              
                   |        | 15/2 |   16 |        7.705824   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | z 2D*  |  3/2 |    4 |        7.419301   |                    |    0.862 |              
                   |        |  5/2 |    6 |        7.562102   |                    |    1.205 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | z 2G*  |  7/2 |    8 |        7.455836   |                    |    1.011 |              
                   |        |  9/2 |   10 |        7.559706   |                    |    1.101 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | y 4P*  |  1/2 |    2 |        7.579681   |                    |    2.299 |              
                   |        |  3/2 |    4 |        7.619668   |                    |    1.656 |              
                   |        |  5/2 |    6 |        7.739772   |                    |    1.185 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | z 2P*  |  3/2 |    4 |        7.655600   |                    |    1.220 |              
                   |        |  1/2 |    2 |        7.698929   |                    |    1.075 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | x 4D*  |  5/2 |    6 |        7.729456   |                    |    1.067 |              
                   |        |  7/2 |    8 |        7.747993   |                    |    1.252 |              
                   |        |  3/2 |    4 |        7.755340   |                    |    0.707 |              
                   |        |  1/2 |    2 |        7.803249   |                    |    0.030 |              
                   |        |      |      |                   |                    |          |               
                   | 1*     |  5/2 |    6 |        7.760733   |                    |    1.14  |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | z 2I*  | 11/2 |   12 |        7.777324   |                    |    0.902 |              
                   |        | 13/2 |   14 |        7.808555   |                    |    1.091 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | y 4G*  |  7/2 |    8 |        7.800830   |                    |    1.004 |              
                   |        |  9/2 |   10 |        7.805270   |                    |    1.214 |              
                   |        |  5/2 |    6 |        7.816146   |                    |    0.851 |              
                   |        | 11/2 |   12 |        7.836722   |                    |    1.272 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | y 4F*  |  3/2 |    4 |        7.811324   |                    |    0.899 |              
                   |        |  7/2 |    8 |        7.823977   |                    |    1.060 |              
                   |        |  5/2 |    6 |        7.859671   |                    |    1.002 |              
                   |        |  9/2 |   10 |        7.908096   |                    |          |              
                   |        |      |      |                   |                    |          |               
                   | 2*     |  7/2 |    8 |        7.812522   |                    |    1.186 |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | y 4H*  |  7/2 |    8 |        7.847980   |                    |    0.933 |              
                   |        |  9/2 |   10 |        7.872692   |                    |    1.024 |              
                   |        | 11/2 |   12 |        7.952344   |                    |    1.166 |              
                   |        | 13/2 |   14 |        8.073210   |                    |          |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | z 2F*  |  7/2 |    8 |        7.919699   |                    |    1.105 |              
                   |        |  5/2 |    6 |        7.983918   |                    |    0.802 |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | x 4F*  |  3/2 |    4 |        7.923074   |                    |    0.535 |              
                   |        |  5/2 |    6 |        7.955798   |                    |    1.012 |              
                   |        |  7/2 |    8 |        7.960169   |                    |    1.208 |              
                   |        |  9/2 |   10 |        7.975457   |                    |    1.258 |              
                   |        |      |      |                   |                    |          |               
4d4.(3H).5p        | z 2H*  |  9/2 |   10 |        7.951134   |                    |    0.934 |              
                   |        | 11/2 |   12 |        8.068236   |                    |    1.112 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | z 4S*  |  3/2 |    4 |        8.028059   |                    |    1.926 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | y 2G*  |  7/2 |    8 |        8.040650   |                    |    1.040 |              
                   |        |  9/2 |   10 |        8.145131   |                    |    1.105 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3F).5p      | y 2F*  |  7/2 |    8 |        8.091327   |                    |          |              
                   |        |  5/2 |    6 |        8.092792   |                    |    0.856 |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | y 2H*  |  9/2 |   10 |        8.094008   |                    |          |              
                   |        | 11/2 |   12 |        8.111623   |                    |    1.175 |              
                   |        |      |      |                   |                    |          |               
4d4.(a 3P).5p      | y 2D*  |  3/2 |    4 |        8.114059   |                    |    0.769 |              
                   |        |  5/2 |    6 |        8.193162   |                    |    1.166 |              
                   |        |      |      |                   |                    |          |               
4d4.(3G).5p        | x 4G*  |  5/2 |    6 |        8.149758   |                    |    0.751 |              
                   |        |  7/2 |    8 |        8.193812   |                    |          |              
