----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |   Rel. |    Aki     | Acc. |        Ei           Ek         |          Lower level          |              Upper level              |  gi   gk  |Type|                   TP  |   Line  |
          |   Wavelength    |   Wavelength    |   Int. |   (s^-1)   |      |       (eV)         (eV)        |-------------------------------|---------------------------------------|           |    |                  Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |        |            |      |                                | Conf.            | Term | J   | Conf.                 | Term    | J   |           |    |                       |         |
Cl II     |                 |        360.4857 |        | 1.8e+07    | D    |  18.232572    -    21.670956   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).4d      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        360.5542 |        | 1.4e+06    | E    |  18.241494    -    21.679225   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).4d      | 3D*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        360.9721 |        | 1.6e+07    | D    |  18.241494    -    21.675245   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).4d      | 3D*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl III    |        361.285  |        361.2882 |    800 | 1.2e+08    | D    |  21.584784    -    25.015530   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4D*     | 5/2 |   4 - 6   |    |            T1619CA,LS |   L480  |
Cl II     |                 |        361.5017 |        | 1.6e+07    | D    |  18.250504    -    21.679225   | 3s2.3p3.(2D*).4p | 3F   | 4   | 3s2.3p3.(2D*).4d      | 3D*     | 3   |   9 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        361.8832 |        | 1.2e+08    | D    |  18.572848    -    21.997955   | 3s2.3p3.(2D*).4p | 3P   | 2   | 3s2.3p3.(2D*).4d      | 3S*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        362.269  |        362.2728 |    700 | 7.0e+07    | D    |  21.540429    -    24.961853   | 3s2.3p2.(3P).4s  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4D*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L480  |
Cl II     |                 |        363.9127 |        | 7.2e+07    | D    |  18.591949    -    21.997955   | 3s2.3p3.(2D*).4p | 3P   | 1   | 3s2.3p3.(2D*).4d      | 3S*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        364.7987 |        | 2.4e+07    | D    |  18.600221    -    21.997955   | 3s2.3p3.(2D*).4p | 3P   | 0   | 3s2.3p3.(2D*).4d      | 3S*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl III    |        365.695  |        365.6987 |    700 | 1.4e+08    | D    |  21.540429    -    24.929802   | 3s2.3p2.(3P).4s  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4D*     | 1/2 |   2 - 2   |    |            T1619CA,LS |   L480  |
Cl III    |        367.028  |        367.0310 |    700 | 8.6e+07    | D    |  21.584784    -    24.961853   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4D*     | 3/2 |   4 - 4   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        367.7855 |        | 1.34e+00   | C    |   0.086293    -     3.456434   | 3s2.3p4          | 3P   | 1   | 3s2.3p4               | 1S      | 0   |   3 - 1   | M1 |                  T761 |         |
Cl III    |        368.205  |        368.1908 |    700 | 4.8e+07    | D    |  21.649099    -    25.015530   | 3s2.3p2.(3P).4s  | 4P   | 5/2 | 3s2.3p2.(3P).4p       | 4D*     | 5/2 |   6 - 6   |    |            T1619CA,LS |   L480  |
Cl III    |                 |        368.329  |        | 3.1e+07    | E    |  24.171809    -    27.53698?   | 3s2.3p2.(1D).3d  | 2D   | 5/2 | 3s2.3p2.(1D).4p       | 2P*     | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl III    |                 |        368.803  |        | 7.6e+06    | E    |  22.574515    -    25.93536?   | 3s2.3p2.(3P).3d  | 2D   | 3/2 | 3s2.3p2.(3P).4p       | 2P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |        370.545  |        370.5479 |    600 | 2.6e+07    | E    |  21.584784    -    24.929802   | 3s2.3p2.(3P).4s  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4D*     | 1/2 |   4 - 2   |    |            T1619CA,LS |   L480  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        370.734  |        370.717  |    600 | 7.5e+07    | E    |  22.574515    -    25.91800?   | 3s2.3p2.(3P).3d  | 2D   | 3/2 | 3s2.3p2.(3P).4p       | 2P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |   L495  |
Cl III    |        372.045  |        372.033  |    800 | 1.7e+08    | D    |  22.202495    -    25.53416?   | 3s2.3p2.(3P).4s  | 2P   | 3/2 | 3s2.3p2.(3P).4p       | 2D*     | 5/2 |   4 - 6   |    |            T1619CA,LS |   L495  |
Cl III    |                 |        372.570  |        | 3.4e+06    | E    |  24.210117    -    27.53698?   | 3s2.3p2.(1D).3d  | 2D   | 3/2 | 3s2.3p2.(1D).4p       | 2P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl I      |        372.654  |                 |     20 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
Cl III    |                 |        374.1569 |        | 7.7e+06    | E    |  21.649099    -    24.961853   | 3s2.3p2.(3P).4s  | 4P   | 5/2 | 3s2.3p2.(3P).4p       | 4D*     | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        374.881  |        374.8768 |    800 | 1.3e+08    | D    |  22.114955    -    25.421347   | 3s2.3p2.(3P).4s  | 2P   | 1/2 | 3s2.3p2.(3P).4p       | 2D*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L495  |
Cl II     |        374.996  |                 |   1200 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl III    |                 |        375.902  |        | 3.3e+07    | E    |  24.210117    -    27.50749?   | 3s2.3p2.(1D).3d  | 2D   | 3/2 | 3s2.3p2.(1D).4p       | 2P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |         |
Cl III    |        377.935  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl II     |        379.876  |        379.8757 |   1500 | 1.6e+08    | D    |  18.143296    -    21.406179   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).4d      | 3F*     | 3   |   5 - 7   |    |            T1619CA,LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        380.518  |        380.5174 |   1900 | 1.8e+08    | D    |  18.160045    -    21.417426   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 4   |   7 - 9   |    |            T1619CA,LS |  L1617  |
Cl II     |        380.946  |        380.9459 |   1300 | 1.5e+08    | D    |  18.142826    -    21.396543   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).4d      | 3F*     | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        381.0009 |        | 2.8e+07    | D    |  18.143296    -    21.396543   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).4d      | 3F*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        381.8358 |        | 2.0e+07    | D    |  18.160045    -    21.406179   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl II     |        382.020  |                 |   1700 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        382.434  |        | 6.4e+07    | E    |  22.694304    -    25.93536?   | 3s2.3p2.(3P).3d  | 2D   | 5/2 | 3s2.3p2.(3P).4p       | 2P*     | 3/2 |   6 - 4   |    |            T1619CA,LS |         |
Cl II     |        382.759  |                 |   2800 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |                 |        382.9726 |        | 8.0e+05    | E    |  18.160045    -    21.396543   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl II     |        383.335  |                 |   4500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |  L1617  |
Cl II     |        384.537  |        384.5362 |   3100 | 9.4e+07    | D    |  15.947218    -    19.170557   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).4d      | 5D*     | 2   |   3 - 5   |    |            T1619CA,LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        384.565  |        384.5639 |   3900 | 2.0e+08    | D    |  15.947218    -    19.170325   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).4d      | 5D*     | 1   |   3 - 3   |    |            T1619CA,LS |  L1617  |
Cl II     |        384.580  |        384.5788 |   1500 | 2.7e+08    | D    |  15.947218    -    19.170200   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).4d      | 5D*     | 0   |   3 - 1   |    |            T1619CA,LS |  L1617  |
Cl III    |                 |        385.0722 |        | 2.5e+07    | D    |  22.202495    -    25.421347   | 3s2.3p2.(3P).4s  | 2P   | 3/2 | 3s2.3p2.(3P).4p       | 2D*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl II     |        385.099  |        385.0988 |  10000 | 1.8e+08    | D    |  15.952250    -    19.170879   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).4d      | 5D*     | 3   |   5 - 7   |    |            T1619CA,LS |  L1617  |
Cl II     |        385.137  |        385.1374 |   7900 | 1.6e+08    | D    |  15.952250    -    19.170557   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).4d      | 5D*     | 2   |   5 - 5   |    |            T1619CA,LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |        385.165  |        385.1651 |   1200 | 6.7e+07    | D    |  15.952250    -    19.170325   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).4d      | 5D*     | 1   |   5 - 3   |    |            T1619CA,LS |  L1617  |
Cl II     |                 |        385.4736 |        | 2.2e+08    | D    |  19.679461    -    22.894962   | 3s2.3p3.(2P*).4p | 3D   | 1   | 3s2.3p3.(2P*).4d      | 3F*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |        386.083  |        386.0828 |  25000 | 2.7e+08    | D    |  15.960588    -    19.171015   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).4d      | 5D*     | 4   |   7 - 9   |    |            T1619CA,LS |  L1617  |
Cl II     |        386.099  |        386.0990 |   4400 | 8.9e+07    | D    |  15.960588    -    19.170879   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).4d      | 5D*     | 3   |   7 - 7   |    |            T1619CA,LS |  L1617  |
Cl II     |        386.137  |        386.1378 |   1000 | 1.8e+07    | D    |  15.960588    -    19.170557   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).4d      | 5D*     | 2   |   7 - 5   |    |            T1619CA,LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        386.1439 |        | 4.1e+07    | D    |  19.685043    -    22.894962   | 3s2.3p3.(2P*).4p | 3D   | 2   | 3s2.3p3.(2P*).4d      | 3F*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        386.1879 |        | 2.4e+08    | D    |  19.685043    -    22.894596   | 3s2.3p3.(2P*).4p | 3D   | 2   | 3s2.3p3.(2P*).4d      | 3F*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        386.4076 |        | 1.2e+06    | E    |  19.687234    -    22.894962   | 3s2.3p3.(2P*).4p | 3D   | 3   | 3s2.3p3.(2P*).4d      | 3F*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        386.4517 |        | 3.0e+07    | D    |  19.687234    -    22.894596   | 3s2.3p3.(2P*).4p | 3D   | 3   | 3s2.3p3.(2P*).4d      | 3F*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        386.8570 |        | 2.7e+08    | D    |  19.687234    -    22.891236   | 3s2.3p3.(2P*).4p | 3D   | 3   | 3s2.3p3.(2P*).4d      | 3F*     | 4   |   7 - 9   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        388.3786 |        | 3.3e+07    | D    |  18.036001    -    21.227451   | 3s2.3p3.(2D*).4p | 1P   | 1   | 3s2.3p3.(2D*).5s      | 1D*     | 2   |   3 - 5   |    |               T1619CA |         |
Cl II     |                 |        390.2762 |        | 5.5e+06    | E    |  18.241494    -    21.417426   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 4   |   7 - 9   |    |            T1619CA,LS |         |
Cl II     |                 |        390.5621 |        | 7.0e+06    | E    |  18.232572    -    21.406179   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).4d      | 3F*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl II     |        391.387  |        391.3866 |   1500 | 8.2e+07    | D    |  18.250504    -    21.417426   | 3s2.3p3.(2D*).4p | 3F   | 4   | 3s2.3p3.(2D*).4d      | 3F*     | 4   |   9 - 9   |    |            T1619CA,LS |  L1617  |
Cl II     |        391.663  |        391.6632 |   1100 | 7.4e+07    | D    |  18.241494    -    21.406179   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 3   |   7 - 7   |    |            T1619CA,LS |  L1617  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        391.7516 |        | 7.8e+07    | D    |  18.232572    -    21.396543   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).4d      | 3F*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl III    |        392.587  |                 |    500 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L495  |
Cl II     |                 |        392.7815 |        | 7.0e+07    | E    |  18.250504    -    21.406179   | 3s2.3p3.(2D*).4p | 3F   | 4   | 3s2.3p3.(2D*).4d      | 3F*     | 3   |   9 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        392.8595 |        | 9.7e+06    | E    |  18.241494    -    21.396543   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).4d      | 3F*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl I      |        394.482  |                 |     20 |            |      |                                |                  |      |     |                       |         |     |           |    |                       |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        395.4172 |        | 1.1e+08    | D    |  19.001646    -    22.136288   | 3s2.3p3.(2D*).4p | 1D   | 2   | 3s2.3p3.(2D*).4d      | 1D*     | 2   |   5 - 5   |    |               T1619CA |         |
Cl II     |                 |        399.0151 |        | 8.4e+07    | D    |  18.572848    -    21.679225   | 3s2.3p3.(2D*).4p | 3P   | 2   | 3s2.3p3.(2D*).4d      | 3D*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl III    |        399.150  |        399.1367 |    700 | 1.4e+07    | E    |  22.254415    -    25.359846   | 3s2.3p2.(3P).3d  | 4P   | 5/2 | 3s2.3p2.(3P).4p       | 4P*     | 5/2 |   6 - 6   |    |            T1619CA,LS |   L495  |
Cl II     |                 |        399.5270 |        | 2.1e+07    | D    |  18.572848    -    21.675245   | 3s2.3p3.(2D*).4p | 3P   | 2   | 3s2.3p3.(2D*).4d      | 3D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        400.0801 |        | 2.3e+06    | E    |  18.572848    -    21.670956   | 3s2.3p3.(2D*).4p | 3P   | 2   | 3s2.3p3.(2D*).4d      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |        401.850  |        401.8351 |    600 | 5.9e+06    | E    |  22.275268    -    25.359846   | 3s2.3p2.(3P).3d  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 5/2 |   4 - 6   |    |            T1619CA,LS |   L495  |
Cl II     |                 |        402.0022 |        | 6.2e+07    | D    |  18.591949    -    21.675245   | 3s2.3p3.(2D*).4p | 3P   | 1   | 3s2.3p3.(2D*).4d      | 3D*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        402.5621 |        | 3.5e+07    | D    |  18.591949    -    21.670956   | 3s2.3p3.(2D*).4p | 3P   | 1   | 3s2.3p3.(2D*).4d      | 3D*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        403.6466 |        | 4.6e+07    | D    |  18.600221    -    21.670956   | 3s2.3p3.(2D*).4p | 3P   | 0   | 3s2.3p3.(2D*).4d      | 3D*     | 1   |   1 - 3   |    |            T1619CA,LS |         |
Cl III    |        405.907  |        405.8930 |    600 | 8.6e+06    | E    |  22.254415    -    25.308155   | 3s2.3p2.(3P).3d  | 4P   | 5/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   6 - 4   |    |            T1619CA,LS |   L495  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        408.6838 |        | 2.5e+06    | E    |  22.275268    -    25.308155   | 3s2.3p2.(3P).3d  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   4 - 4   |    |            T1619CA,LS |         |
Cl III    |        410.423  |        410.4082 |    500 | 1.6e+07    | E    |  22.275268    -    25.295412   | 3s2.3p2.(3P).3d  | 4P   | 3/2 | 3s2.3p2.(3P).4p       | 4P*     | 1/2 |   4 - 2   |    |            T1619CA,LS |   L495  |
Cl I      |        410.479  |        410.4780 |     20 | 2.0e+05    | D    |   8.9217000   -    11.9413310  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 2P*     | 3/2 |   6 - 4   |    |                  T694 |   L298  |
Cl III    |        410.683  |        410.6764 |    500 | 7.8e+06    | E    |  22.289983    -    25.308155   | 3s2.3p2.(3P).3d  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 3/2 |   2 - 4   |    |            T1619CA,LS |   L495  |
Cl II     |                 |        412.3938 |        | 6.6e+06    | D    |  18.143296    -    21.148900   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl III    |                 |        412.4178 |        | 3.1e+06    | E    |  22.289983    -    25.295412   | 3s2.3p2.(3P).3d  | 4P   | 1/2 | 3s2.3p2.(3P).4p       | 4P*     | 1/2 |   2 - 2   |    |            T1619CA,LS |         |
Cl II     |                 |        413.0158 |        | 8.9e+06    | D    |  18.142826    -    21.143903   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).5s      | 3D*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        413.0805 |        | 4.1e+07    | D    |  18.143296    -    21.143903   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |        413.250  |        413.2492 | 10000w | 1.6e+08    | D    |  16.002264    -    19.001646   | 3s2.3p3.(2D*).4s | 1D*  | 2   | 3s2.3p3.(2D*).4p      | 1D      | 2   |   5 - 5   |    |               T1619CA |  L1617  |
Cl II     |                 |        413.3640 |        | 4.5e+07    | D    |  18.142826    -    21.141375   | 3s2.3p3.(2D*).4p | 3D   | 1   | 3s2.3p3.(2D*).5s      | 3D*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        413.4288 |        | 1.5e+07    | D    |  18.143296    -    21.141375   | 3s2.3p3.(2D*).4p | 3D   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        414.7048 |        | 5.3e+07    | D    |  18.160045    -    21.148900   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).5s      | 3D*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
Cl I      |                 |        414.7257 |        | 3.8e+05    | D    |   8.9874370   -    11.9761416  | 3s2.3p4.(3P).4s  | 4P   | 3/2 | 3s2.3p4.(3P).5p       | 2P*     | 1/2 |   4 - 2   |    |                  T694 |         |
Cl II     |                 |        415.3993 |        | 9.2e+06    | D    |  18.160045    -    21.143903   | 3s2.3p3.(2D*).4p | 3D   | 3   | 3s2.3p3.(2D*).5s      | 3D*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        418.5580 |        | 5.0e+07    | D    |  17.081522    -    20.042863   | 3s2.3p3.(2P*).4s | 3P*  | 0   | 3s2.3p3.(4S*).5p      | 3P      | 1   |   1 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        418.8798 |        | 1.5e+08    | D    |  17.085785    -    20.044850   | 3s2.3p3.(2P*).4s | 3P*  | 1   | 3s2.3p3.(4S*).5p      | 3P      | 0   |   3 - 1   |    |            T1619CA,LS |         |
Cl II     |                 |        419.1614 |        | 3.7e+07    | D    |  17.085785    -    20.042863   | 3s2.3p3.(2P*).4s | 3P*  | 1   | 3s2.3p3.(4S*).5p      | 3P      | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        419.5079 |        | 3.7e+07    | D    |  17.085785    -    20.040420   | 3s2.3p3.(2P*).4s | 3P*  | 1   | 3s2.3p3.(4S*).5p      | 3P      | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        420.4522 |        | 6.2e+07    | D    |  17.094863    -    20.042863   | 3s2.3p3.(2P*).4s | 3P*  | 2   | 3s2.3p3.(4S*).5p      | 3P      | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        420.8008 |        | 1.1e+08    | D    |  17.094863    -    20.040420   | 3s2.3p3.(2P*).4s | 3P*  | 2   | 3s2.3p3.(4S*).5p      | 3P      | 2   |   5 - 5   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl I      |        420.967  |        420.9665 |     65 | 4.1e+05    | D+   |   8.9217000   -    11.8660979  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 2D*     | 3/2 |   6 - 4   |    |            T1277,T694 |   L298  |
Cl II     |                 |        421.3742 |        | 9.8e+05    | E    |  19.679461    -    22.621010   | 3s2.3p3.(2P*).4p | 3D   | 1   | 3s2.3p3.(2P*).5s      | 3P*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        422.1754 |        | 1.5e+07    | D    |  19.685043    -    22.621010   | 3s2.3p3.(2P*).4p | 3D   | 2   | 3s2.3p3.(2P*).5s      | 3P*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        422.4906 |        | 8.2e+07    | D    |  19.687234    -    22.621010   | 3s2.3p3.(2P*).4p | 3D   | 3   | 3s2.3p3.(2P*).5s      | 3P*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl I      |        422.642  |        422.6426 |     50 | 5.5e+05    | D+   |   8.9217000   -    11.8544214  | 3s2.3p4.(3P).4s  | 4P   | 5/2 | 3s2.3p4.(3P).5p       | 4S*     | 3/2 |   6 - 4   |    |            T1277,T694 |   L298  |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        422.7345 |        | 2.5e+07    | D    |  19.679461    -    22.611545   | 3s2.3p3.(2P*).4p | 3D   | 1   | 3s2.3p3.(2P*).5s      | 3P*     | 1   |   3 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        423.3534 |        | 9.9e+07    | D    |  19.679461    -    22.607259   | 3s2.3p3.(2P*).4p | 3D   | 1   | 3s2.3p3.(2P*).5s      | 3P*     | 0   |   3 - 1   |    |            T1619CA,LS |         |
Cl II     |                 |        423.3957 |        | 3.6e+07    | D    |  15.947218    -    18.874723   | 3s2.3p3.(4S*).4p | 5P   | 1   | 3s2.3p3.(4S*).5s      | 5S*     | 2   |   3 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        423.5408 |        | 7.4e+07    | D    |  19.685043    -    22.611545   | 3s2.3p3.(2P*).4p | 3D   | 2   | 3s2.3p3.(2P*).5s      | 3P*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
Cl II     |                 |        423.5455 |        | 8.0e+07    | D    |  18.300981    -    21.227451   | 3s2.3p3.(2D*).4p | 1F   | 3   | 3s2.3p3.(2D*).5s      | 1D*     | 2   |   7 - 5   |    |               T1619CA |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        424.1246 |        | 6.0e+07    | D    |  15.952250    -    18.874723   | 3s2.3p3.(4S*).4p | 5P   | 2   | 3s2.3p3.(4S*).5s      | 5S*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        425.0184 |        | 1.9e+05    | E    |  18.232572    -    21.148900   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 3   |   5 - 7   |    |            T1619CA,LS |         |
Cl II     |                 |        425.3381 |        | 8.4e+07    | D    |  15.960588    -    18.874723   | 3s2.3p3.(4S*).4p | 5P   | 3   | 3s2.3p3.(4S*).5s      | 5S*     | 2   |   7 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        425.7479 |        | 9.2e+06    | D    |  18.232572    -    21.143903   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 2   |   5 - 5   |    |            T1619CA,LS |         |
Cl II     |                 |        426.1179 |        | 8.3e+07    | D    |  18.232572    -    21.141375   | 3s2.3p3.(2D*).4p | 3F   | 2   | 3s2.3p3.(2D*).5s      | 3D*     | 1   |   5 - 3   |    |            T1619CA,LS |         |
          |                 |                 |        |            |      |                                |                  |      |     |                       |         |     |           |    |                       |         |
Cl II     |                 |        426.3227 |        | 6.6e+06    | D    |  18.241494    -    21.148900   | 3s2.3p3.(2D*).4p | 3F   | 3   | 3s2.3p3.(2D*).5s      | 3D*     | 3   |   7 - 7   |    |            T1619CA,LS |         |
