------------------------------------------------------------------------------------------------------
Configuration           | Term      |   J |    g |        Level (eV) |   Uncertainty (eV) | Reference
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5f    | 2[7/2]    |   3 |    7 |       27.428609   |                    |          
                        |           |   4 |    9 |       27.429262   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.5d               | 1P*       |   1 |    3 |       27.431029   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5f    | 2[5/2]    |   3 |    7 |       27.436749   |                    |          
                        |           |   2 |    5 |       27.437237   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5f    | 2[9/2]    |   5 |   11 |       27.437839   |                    |          
                        |           |   4 |    9 |       27.439080   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5g    | 2[9/2]*   |   4 |    9 |       27.440525   |                    |          
                        |           |   5 |   11 |       27.440537   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5g    | 2[7/2]*   |   3 |    7 |       27.443011   |                    |          
                        |           |   4 |    9 |       27.443034   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5f    | 2[3/2]    |   1 |    3 |       27.444104   |                    |          
                        |           |   2 |    5 |       27.444456   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5g    | 2[11/2]*  |   5 |   11 |       27.445635   |                    |          
                        |           |   6 |   13 |       27.445638   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).5g    | 2[5/2]*   |   3 |    7 |      [27.44766]   |                    |          
                        |           |   2 |    5 |      [27.44766]   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.6s               | 3P*       |   0 |    1 |                   |                    |          
                        |           |   1 |    3 |       27.616756   |                    |          
                        |           |   2 |    5 |       27.633398   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 3S*       |   1 |    3 |       27.657033   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.6s               | 1P*       |   1 |    3 |       27.661100   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 5D*       |   0 |    1 |       27.728235   |                    |          
                        |           |   1 |    3 |       27.730126   |                    |          
                        |           |   2 |    5 |       27.733833   |                    |          
                        |           |   3 |    7 |       27.739182   |                    |          
                        |           |   4 |    9 |       27.745867   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 5P*       |   1 |    3 |       27.971269   |                    |          
                        |           |   2 |    5 |       27.974241   |                    |          
                        |           |   3 |    7 |       27.979665   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).6f    | 2[5/2]    |   3 |    7 |       28.080273   |                    |          
                        |           |   2 |    5 |       28.080516   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).6f    | 2[7/2]    |   3 |    7 |       28.081031   |                    |          
                        |           |   4 |    9 |       28.081440   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).6f    | 2[7/2]    |   3 |    7 |       28.099806   |                    |          
                        |           |   4 |    9 |       28.100181   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).6f    | 2[5/2]    |   3 |    7 |       28.104241   |                    |          
                        |           |   2 |    5 |       28.10454    |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).6f    | 2[9/2]    |   5 |   11 |       28.10584    |                    |          
                        |           |   4 |    9 |       28.10675    |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).6f    | 2[3/2]    |   1 |    3 |       28.10952    |                    |          
                        |           |   2 |    5 |       28.10980    |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 3D*       |   1 |    3 |       28.354479   |                    |          
                        |           |   2 |    5 |       28.359130   |                    |          
                        |           |   3 |    7 |       28.366571   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<1/2>).7f    | 2[7/2]    |   3 |    7 |       28.48523    |                    |          
                        |           |   4 |    9 |       28.48533    |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 5S*       |   2 |    5 |       28.496399   |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).7f    | 2[7/2]    |   4 |    9 |       28.50490    |                    |          
                        |           |     |      |                   |                    |           
2s2.2p.(2P*<3/2>).7f    | 2[9/2]    |   5 |   11 |       28.50869    |                    |          
                        |           |   4 |    9 |       28.50931    |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3p          | 3P*       |   1 |    3 |                   |                    |          
                        |           |   0 |    1 |                   |                    |          
                        |           |   2 |    5 |       28.619488   |                    |          
------------------------|-----------|-----|------|-------------------|--------------------|-----------
------------------------|-----------|-----|------|-------------------|--------------------|-----------
N III (2p 2P*<1/2>)     | Limit     | --- |      |      [29.60125]   |           0.00009  |    L11770
------------------------|-----------|-----|------|-------------------|--------------------|-----------
------------------------|-----------|-----|------|-------------------|--------------------|-----------
N III (2p 2P*<3/2>)     | Limit     | --- |      |       29.622907   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3d          | 5F        |   1 |    3 |       30.124336   |                    |          
                        |           |   2 |    5 |       30.126518   |                    |          
                        |           |   3 |    7 |       30.129743   |                    |          
                        |           |   4 |    9 |       30.133933   |                    |          
                        |           |   5 |   11 |       30.138939   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3d          | 5P        |   3 |    7 |       30.295949   |                    |          
                        |           |   2 |    5 |       30.300731   |                    |          
                        |           |   1 |    3 |       30.304034   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).3d          | 5D        |   0 |    1 |       30.368161   |                    |          
                        |           |   1 |    3 |       30.368676   |                    |          
                        |           |   2 |    5 |       30.369653   |                    |          
                        |           |   3 |    7 |       30.371039   |                    |          
                        |           |   4 |    9 |       30.372819   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).4f          | 5G*       |   3 |    7 |                   |                    |          
                        |           |   2 |    5 |                   |                    |          
                        |           |   4 |    9 |       33.274674   |                    |          
                        |           |   5 |   11 |       33.279324   |                    |          
                        |           |   6 |   13 |       33.285202   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).4f          | 5D*       |   1 |    3 |                   |                    |          
                        |           |   3 |    7 |                   |                    |          
                        |           |   0 |    1 |                   |                    |          
                        |           |   2 |    5 |                   |                    |          
                        |           |   4 |    9 |       33.279252   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).4f          | 5F*       |   2 |    5 |                   |                    |          
                        |           |   1 |    3 |                   |                    |          
                        |           |   3 |    7 |       33.316540   |                    |          
                        |           |   4 |    9 |       33.317642   |                    |          
                        |           |   5 |   11 |       33.318735   |                    |          
                        |           |     |      |                   |                    |           
2s.2p2.(4P).5f          | 5G*       |   3 |    7 |                   |                    |          
                        |           |   2 |    5 |                   |                    |          
                        |           |   4 |    9 |       34.50896    |                    |          
                        |           |   5 |   11 |       34.51315    |                    |          
                        |           |   6 |   13 |       34.519712   |                    |          
------------------------|-----------|-----|------|-------------------|--------------------|-----------
------------------------|-----------|-----|------|-------------------|--------------------|-----------
N III (2s.2p2 4P*<1/2>) | Limit     | --- |      |       36.69159    |                    |          
------------------------|-----------|-----|------|-------------------|--------------------|-----------
------------------------|-----------|-----|------|-------------------|--------------------|-----------
N III (2s.2p2 4P*<3/2>) | Limit     | --- |      |       36.69899    |                    |          
------------------------|-----------|-----|------|-------------------|--------------------|-----------
------------------------|-----------|-----|------|-------------------|--------------------|-----------
N III (2s.2p2 4P*<5/2>) | Limit     | --- |      |       36.70904    |                    |          
------------------------------------------------------------------------------------------------------
