---------------------------------------------------------------------------------------
Configuration          | Term      |   J |            Level (eV) |   Landé | Reference
3s2.3p5.(2P*<1/2>).7p  | 2[3/2]    |   1 |         15.453818     |         |          
                       |           |   2 |         15.455677     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<1/2>).7p  | 2[1/2]    |   1 |         15.454748     |         |          
                       |           |   0 |         15.4670044    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7d  | 2[5/2]*   |   2 |         15.4598315    |         |          
                       |           |   3 |         15.4626992    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9s  | 2[3/2]*   |   2 |         15.469705     |         |          
                       |           |   1 |         15.471072     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7f  | 2[3/2]    |   1 |         15.4803120    |         |          
                       |           |   2 |         15.480336     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7f  | 2[9/2]    |   5 |         15.4807415    |         |          
                       |           |   4 |         15.4807431    |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7f  | 2[5/2]    |   3 |         15.4812840    |         |          
                       |           |   2 |         15.481298     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7g  | 2[11/2]*  |   6 |         15.481568     |         |          
                       |           |   5 |         15.481568     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7h  | 2[7/2]    |   4 |         15.481715     |         |          
                       |           |   3 |         15.481715     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7f  | 2[7/2]    |   3 |         15.481736     |         |          
                       |           |   4 |         15.481743     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).7h  | 2[13/2]   |   6 |         15.481779     |         |          
                       |           |   7 |         15.481779     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9p  | 2[1/2]    |   1 |         15.502923     |         |          
                       |           |   0 |         15.513213     |         |          
                       |           |     |                       |         |           
3s2.3p5.(2P*<3/2>).9p  | 2[5/2]    |   3 |         15.504736     |         |          
                       |           |   2 |         15.505434     |         |          
