---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |                       Level (eV)   |     Uncertainty (eV) |   Landé | Leading percentages                               | Reference
4d9.(2D<3/2>).6p     | 2[5/2]*   |   2 |    5 |            16.9261858              |          0.0000021   |         |  94         :     5  4d9.(2D<3/2>).6p     2[3/2]* |       L18362
                     |           |   3 |    7 |            17.007721               |          0.000004    |         |  89                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).6p     | 2[3/2]*   |   1 |    3 |            17.0137823              |          0.0000009   |         |  84         :     5  4d8.5s.5p                    |       L18362
                     |           |   2 |    5 |            17.0438914              |          0.0000012   |         |  79                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 3D*       |   3 |    7 |            17.188662               |          0.000007    |         |  48         :    17  4d8.(3F).5s.5p.(3P*) 3F*     |       L18362
                     |           |   2 |    5 |            17.262321               |          0.000007    |         |  25         :    17  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   1 |    3 |            17.648662               |          0.000007    |         |  36         :    40  4d8.(3P).5s.5p.(3P*) 5P*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 3G*       |   3 |    7 |            17.432015               |          0.000007    |         |  51         :    22  4d8.(3F).5s.5p.(3P*) 3D*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3P).5s.5p.(3P*) | 5P*       |   2 |    5 |            17.477363               |          0.000007    |         |  58         :    18  4d8.(3F).5s.5p.(3P*) 3D*     |       L18362
                     |           |   1 |    3 |            17.480329               |          0.000007    |         |  50         :    16  4d8.(3F).5s.5p.(3P*) 5F*     |       L18362
                     |           |   3 |    7 |            17.500631               |          0.000007    |         |  62         :    21  4d8.(3F).5s.5p.(3P*) 3G*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 3F*       |   3 |    7 |            17.595877               |          0.000007    |         |  33         :    29  4d8.(3F).5s.5p.(3P*) 1F*     |       L18362
                     |           |   2 |    5 |            17.821972               |          0.000007    |         |  55         :    19  4d8.(3F).5s.5p.(3P*) 3D*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).7s     | 2[5/2]    |   3 |    7 |            17.913044               |          0.000011    |         | 100                                               |       L18362
                     |           |   2 |    5 |            17.931111               |          0.000009    |         | 100                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[1/2]*   |   1 |    3 |            17.9794495              |          0.0000005   |         |  82         :    17  4d9.(2D<5/2>).4f     2[3/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 1D*       |   2 |    5 |            17.9820621              |          0.0000007   |         |  34         :    13  4d9.4f               3P*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[11/2]*  |   6 |   13 |            18.0001753              |          0.0000005   |         | 100                                               |       L18362
                     |           |   5 |   11 |            18.0002806              |          0.0000005   |         | 100                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[3/2]*   |   2 |    5 |            18.0022266              |          0.0000005   |         |  70         :    14  4d9.(2D<5/2>).4f     2[5/2]* |       L18362
                     |           |   1 |    3 |            18.0078180              |          0.0000006   |         |  83         :    16  4d9.(2D<5/2>).4f     2[1/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[5/2]*   |   2 |    5 |            18.0160854              |          0.0000007   |         |  74         :     9  4d9.(2D<5/2>).4f     2[3/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[9/2]*   |   5 |   11 |            18.0259981              |          0.0000004   |         |  99                                               |       L18362
                     |           |   4 |    9 |            18.0394355              |          0.0000004   |         |  49         :    48  4d9.(2D<5/2>).4f     2[7/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).4f     | 2[7/2]*   |   3 |    7 |            18.0283315              |          0.0000004   |         |  93                                               |       L18362
                     |           |   4 |    9 |            18.0306640              |          0.0000004   |         |  50         :    49  4d9.(2D<5/2>).4f     2[9/2]* |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(3F).5s.5p.(3P*) | 1F*       |   3 |    7 |            18.0469609              |          0.0000007   |         |  27         :    13  4d9.4f               3D*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d8.(1D).5s.5p.(3P*) | 3F*       |   2 |    5 |            18.116974               |          0.000007    |         |  46         :    12  4d8.(3P).5s.5p.(3P*) 5D*     |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).7s     | 2[3/2]    |   1 |    3 |            18.483919               |          0.000011    |         | 100                                               |       L18362
                     |           |   2 |    5 |            18.496233               |          0.000010    |         | 100                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<5/2>).8s     | 2[5/2]    |   3 |    7 |            19.22858                |          0.00003     |         | 100                                               |       L18362
                     |           |   2 |    5 |            19.23756                |          0.00003     |         | 100                                               |       L18362
                     |           |     |      |                                    |                      |         |                                                   |              
4d9.(2D<3/2>).8s     | 2[3/2]    |   1 |    3 |            19.79968                |          0.00003     |         | 100                                               |       L18362
                     |           |   2 |    5 |            19.80528                |          0.00003     |         | 100                                               |       L18362
---------------------|-----------|-----|------|------------------------------------|----------------------|---------|---------------------------------------------------|--------------
---------------------|-----------|-----|------|------------------------------------|----------------------|---------|---------------------------------------------------|--------------
Ag III (4d9 2D<5/2>) | Limit     | --- |      |            21.4844                 |          0.0009      |         |                                                   |       L18362
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
