--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |            Lower level            |            Upper level            |  gi   gk  |Type|            TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |-----------------------------------|-----------------------------------|           |    |           Ref. |   Ref.  |
          |    Air (nm)     |    Air (nm)     |       |             |      |                               | Conf.                | Term | J   | Conf.                | Term | J   |           |    |                |         |
N III     |                 |        215.006  |       | 4.34e+07    | B    |   41.26249    -    47.02722   | 2s.2p.(3P*).3d       | 4D*  | 3/2 | 2s.2p.(3P*).4p       | 4P   | 1/2 |   4 - 2   |    |        T7192LS |         |
N IV      |                 |        215.047  |       | 5.88e+01    | B    |   23.41845    -    29.18207   | 1s2.2p2              | 1D   | 2   | 1s2.2p2              | 1S   | 0   |   5 - 1   | E2 |    T4586,T3474 |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N II      |                 |        215.9927 |       | 1.23e+07    | B    |   21.599539   -    27.337940  | 2s2.2p.3p            | 1D   | 2   | 2s2.2p.5d            | 1D*  | 2   |   5 - 5   |    |          T5520 |         |
N II      |                 |        217.749  |       | 1.72e-03    | C    |   13.54113    -    19.233263  | 2s.2p3               | 3P*  | 1   | 2s.2p3               | 3S*  | 1   |   3 - 3   | M1 |          T7333 |         |
N II      |                 |        217.753  |       | 2.89e-03    | C    |   13.54126    -    19.233263  | 2s.2p3               | 3P*  | 2   | 2s.2p3               | 3S*  | 1   |   5 - 3   | M1 |          T7333 |         |
N II      |                 |        217.781  |       | 2.31e-03    | C    |   13.54199    -    19.233263  | 2s.2p3               | 3P*  | 0   | 2s.2p3               | 3S*  | 1   |   1 - 3   | M1 |          T7333 |         |
N III     |        218.820  |                 |   200 |             |      |                               |                      |      |     |                      |      |     |           |    |                |  L3513  |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |        218.838  |                 |   150 |             |      |                               |                      |      |     |                      |      |     |           |    |                |  L3513  |
N II      |                 |        219.7506 |       | 7.00e+06    | C+   |   20.939965   -    26.580244  | 2s2.2p.3p            | 3S   | 1   | 2s2.2p.5s            | 3P*  | 2   |   3 - 5   |    |        T5520LS |         |
N V       |                 |        219.832  |       | 2.11e+07    | B    |   88.02124    -   [93.65944]  | 1s2.6s               | 2S   | 1/2 | 1s2.9p               | 2P*  | 3/2 |   2 - 4   |    |        T3225LS |         |
N V       |                 |        219.845  |       | 2.11e+07    | B    |   88.02124    -   [93.65909]  | 1s2.6s               | 2S   | 1/2 | 1s2.9p               | 2P*  | 1/2 |   2 - 2   |    |        T3225LS |         |
N II      |                 |        220.3632 |       | 6.94e+06    | C+   |   20.939965   -    26.564568  | 2s2.2p.3p            | 3S   | 1   | 2s2.2p.5s            | 3P*  | 1   |   3 - 3   |    |        T5520LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N II      |                 |        220.5855 |       | 6.92e+06    | C+   |   20.939965   -    26.558898  | 2s2.2p.3p            | 3S   | 1   | 2s2.2p.5s            | 3P*  | 0   |   3 - 1   |    |        T5520LS |         |
N II      |        220.609  |        220.6087 |   160 | 7.04e+06    | B    |   20.409133   -    26.027477  | 2s2.2p.3p            | 1P   | 1   | 2s2.2p.4d            | 1D*  | 2   |   3 - 5   |    |          T5520 |  L3513  |
N III     |                 |        221.578  |       | 4.06e+05    | C+   |   46.71110    -    52.30487   | 2s.2p.(3P*).4p       | 4D   | 1/2 | 2s.2p.(3P*).6d       | 4P*  | 1/2 |   2 - 2   |    |        T7192LS |         |
N III     |                 |        221.696  |       | 4.05e+04    | D    |   46.71110    -    52.30189   | 2s.2p.(3P*).4p       | 4D   | 1/2 | 2s.2p.(3P*).6d       | 4P*  | 3/2 |   2 - 4   |    |        T7192LS |         |
N III     |                 |        221.801  |       | 4.05e+05    | C+   |   46.71671    -    52.30487   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4P*  | 1/2 |   4 - 2   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        221.919  |       | 2.59e+05    | C+   |   46.71671    -    52.30189   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4P*  | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        221.937  |       | 1.94e+06    | B    |   46.71110    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 1/2 | 2s.2p.(3P*).6d       | 4D*  | 3/2 |   2 - 4   |    |        T7192LS |         |
N III     |                 |        221.937  |       | 3.88e+06    | B    |   46.71110    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 1/2 | 2s.2p.(3P*).6d       | 4D*  | 1/2 |   2 - 2   |    |        T7192LS |         |
N IV      |                 |        221.961  |       | 1.12e-03    | C+   |   16.20398    -    21.78810   | 1s2.2s.2p            | 1P*  | 1   | 1s2.2p2              | 3P   | 2   |   3 - 5   | M2 |          T4308 |         |
N IV      |                 |        221.961  |       | 4.68e+03    | B    |   16.20398    -    21.78810   | 1s2.2s.2p            | 1P*  | 1   | 1s2.2p2              | 3P   | 2   |   3 - 5   |    |            u24 |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        222.160  |       | 3.87e+06    | B    |   46.71671    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4D*  | 1/2 |   4 - 2   |    |        T7192LS |         |
N III     |                 |        222.160  |       | 1.61e+04    | D    |   46.71671    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4P*  | 5/2 |   4 - 6   |    |        T7192LS |         |
N III     |                 |        222.160  |       | 3.10e+06    | B    |   46.71671    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4D*  | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        222.160  |       | 1.81e+06    | B    |   46.71671    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 3/2 | 2s.2p.(3P*).6d       | 4D*  | 5/2 |   4 - 6   |    |        T7192LS |         |
N III     |                 |        222.220  |       | 5.07e+05    | B    |   46.72429    -    52.30189   | 2s.2p.(3P*).4p       | 4D   | 5/2 | 2s.2p.(3P*).6d       | 4P*  | 3/2 |   6 - 4   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        222.463  |       | 4.42e+06    | B    |   46.72429    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 5/2 | 2s.2p.(3P*).6d       | 4D*  | 5/2 |   6 - 6   |    |        T7192LS |         |
N III     |                 |        222.463  |       | 1.10e+06    | B    |   46.72429    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 5/2 | 2s.2p.(3P*).6d       | 4D*  | 7/2 |   6 - 8   |    |        T7192LS |         |
N III     |                 |        222.463  |       | 1.44e+05    | C+   |   46.72429    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 5/2 | 2s.2p.(3P*).6d       | 4P*  | 5/2 |   6 - 6   |    |        T7192LS |         |
N III     |                 |        222.463  |       | 2.70e+06    | B    |   46.72429    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 5/2 | 2s.2p.(3P*).6d       | 4D*  | 3/2 |   6 - 4   |    |        T7192LS |         |
N IV      |                 |        222.578  |       | 7.96e+01    | B    |   16.20398    -    21.77263   | 1s2.2s.2p            | 1P*  | 1   | 1s2.2p2              | 3P   | 1   |   3 - 3   |    |            u24 |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N IV      |                 |        222.578  |       | 6.12e-04    | C+   |   16.20398    -    21.77263   | 1s2.2s.2p            | 1P*  | 1   | 1s2.2p2              | 3P   | 1   |   3 - 3   | M2 |          T4308 |         |
N III     |                 |        222.901  |       | 1.46e+06    | B    |   46.73525    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 7/2 | 2s.2p.(3P*).6d       | 4D*  | 5/2 |   8 - 6   |    |        T7192LS |         |
N III     |                 |        222.901  |       | 6.38e+05    | B    |   46.73525    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 7/2 | 2s.2p.(3P*).6d       | 4P*  | 5/2 |   8 - 6   |    |        T7192LS |         |
N III     |                 |        222.901  |       | 6.57e+06    | B    |   46.73525    -    52.29582   | 2s.2p.(3P*).4p       | 4D   | 7/2 | 2s.2p.(3P*).6d       | 4D*  | 7/2 |   8 - 8   |    |        T7192LS |         |
N IV      |                 |        222.938  |       | 1.24e+03    | B    |   16.20398    -    21.76362   | 1s2.2s.2p            | 1P*  | 1   | 1s2.2p2              | 3P   | 0   |   3 - 1   |    |            u24 |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        223.162  |       | 3.28e+06    | B    |   36.84205    -    42.39611   | 2s.2p.(3P*).3s       | 2P*  | 1/2 | 2s2.5d               | 2D   | 3/2 |   2 - 4   |    |        T7192LS |         |
N III     |                 |        223.722  |       | 3.91e+06    | B    |   36.85609    -    42.39625   | 2s.2p.(3P*).3s       | 2P*  | 3/2 | 2s2.5d               | 2D   | 5/2 |   4 - 6   |    |        T7192LS |         |
N III     |                 |        223.728  |       | 6.51e+05    | B    |   36.85609    -    42.39611   | 2s.2p.(3P*).3s       | 2P*  | 3/2 | 2s2.5d               | 2D   | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        224.280  |       | 5.43e+07    | C+   |   39.39569    -    44.92207   | 2s2.4d               | 2D   | 3/2 | 2s2.7f               | 2F*  | 5/2 |   4 - 6   |    |        T7192LS |         |
N III     |                 |        224.441  |       | 3.87e+06    | C+   |   39.39964    -    44.92207   | 2s2.4d               | 2D   | 5/2 | 2s2.7f               | 2F*  | 5/2 |   6 - 6   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        224.441  |       | 5.80e+07    | C+   |   39.39964    -    44.92207   | 2s2.4d               | 2D   | 5/2 | 2s2.7f               | 2F*  | 7/2 |   6 - 8   |    |        T7192LS |         |
N III     |                 |        224.767  |       | 1.09e+07    | B    |   33.13334    -    38.64776   | 2s2.3d               | 2D   | 3/2 | 2s2.4p               | 2P*  | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        224.795  |       | 9.84e+07    | B    |   33.13403    -    38.64776   | 2s2.3d               | 2D   | 5/2 | 2s2.4p               | 2P*  | 3/2 |   6 - 4   |    |        T7192LS |         |
N III     |                 |        224.893  |       | 1.09e+08    | B    |   33.13334    -    38.64467   | 2s2.3d               | 2D   | 3/2 | 2s2.4p               | 2P*  | 1/2 |   4 - 2   |    |        T7192LS |         |
N III     |                 |        225.606  |       | 6.26e+05    | B    |   38.32738    -    43.82128   | 2s.2p.(3P*).3p       | 2P   | 1/2 | 2s.2p.(1P*).3s       | 2P*  | 3/2 |   2 - 4   |    |        T7192LS |         |
          |                 |                 |       |             |      |                               |                      |      |     |                      |      |     |           |    |                |         |
N III     |                 |        225.616  |       | 2.51e+06    | B    |   38.32738    -    43.82105   | 2s.2p.(3P*).3p       | 2P   | 1/2 | 2s.2p.(1P*).3s       | 2P*  | 1/2 |   2 - 2   |    |        T7192LS |         |
N III     |                 |        225.881  |       | 3.12e+06    | B    |   38.33408    -    43.82128   | 2s.2p.(3P*).3p       | 2P   | 3/2 | 2s.2p.(1P*).3s       | 2P*  | 3/2 |   4 - 4   |    |        T7192LS |         |
N III     |                 |        225.891  |       | 1.25e+06    | B    |   38.33408    -    43.82105   | 2s.2p.(3P*).3p       | 2P   | 3/2 | 2s.2p.(1P*).3s       | 2P*  | 1/2 |   4 - 2   |    |        T7192LS |         |
N III     |                 |        226.589  |       | 3.19e+06    | B    |   41.26516    -    46.73525   | 2s.2p.(3P*).3d       | 4D*  | 5/2 | 2s.2p.(3P*).4p       | 4D   | 7/2 |   6 - 8   |    |        T7192LS |         |
