---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term    |    J |    g |           Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                             | Reference
                      |         |  7/2 |    8 |         2.27789496   |          0.00000025  |   1.28    |  92         :     4  3d3.(4F).4s.4p.(3P*)  6D*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         2.29536941   |          0.00000025  |   1.38    |  92         :     3  3d4.(5D).4p           6F*  | L15916,L20010,L14162
                      |         | 11/2 |   12 |         2.3160335    |          0.0000004   |   1.42    |  96         :     4  3d4.(5D).4p           6F*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3P2).4s          | b 2P    |  1/2 |    2 |         2.33152878   |          0.00000025  |   0.67    |  82         :    12  3d3.4s2               2P   | L15916,L20010,L14162
                      |         |  3/2 |    4 |         2.3791679    |          0.0000004   |   1.37    |  82         :    11  3d3.4s2               2P   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3H).4s           | b 2H    |  9/2 |   10 |         2.35861722   |          0.00000017  |   0.91    |  88         :     5  3d3.4s2               2H   | L15916,L20010,L14162
                      |         | 11/2 |   12 |         2.37369581   |          0.00000016  |   1.08    |  88         :     5  3d3.4s2               2H   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3F2).4s          | a 2F    |  5/2 |    6 |         2.3589638    |          0.0000004   |   0.86    |  86         :     7  3d3.4s2               2F   | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.36538440   |          0.00000025  |   1.14    |  84         :     7  3d3.4s2               2F   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d5                   | a 6S    |  5/2 |    6 |         2.50479707   |          0.00000017  |           |  96         :     1  3d4.(5D).4d           6S   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 4D*   |  1/2 |    2 |         2.55487627   |          0.00000025  |  -0.04    |  87         :     3  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |  3/2 |    4 |         2.56495644   |          0.00000014  |   1.21    |  90         :     3  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.58240250   |          0.00000025  |   1.35    |  88         :     3  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.60769800   |          0.00000016  |   1.45    |  89         :     3  3d3.(4P).4s.4p.(3P*)  4D*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3D).4s           | b 4D    |  7/2 |    8 |         2.57485533   |          0.00000025  |   1.45    |  94         :     1  3d5                   4D   | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.57752137   |          0.00000025  |   1.25    |  94         :     1  3d5                   4D   | L15916,L20010,L14162
                      |         |  3/2 |    4 |         2.58049649   |          0.00000025  |   1.20    |  94         :     1  3d5                   4D   | L15916,L20010,L14162
                      |         |  1/2 |    2 |         2.5826335    |          0.0000007   |   0.10    |  94         :     1  3d5                   4D   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3G).4s           | 2G      |  7/2 |    8 |         2.61626358   |          0.00000016  |           |  67         :    27  3d4.(1G2).4s          2G   |        L15916,L20010
                      |         |  9/2 |   10 |         2.63784464   |          0.00000025  |           |  58         :    33  3d4.(1G2).4s          2G   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(1G2).4s          | b 2G    |  9/2 |   10 |         2.67846273   |          0.00000025  |   1.11    |  60         :    32  3d4.(3G).4s           2G   | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.6838140    |          0.0000005   |   0.86    |  64         :    26  3d4.(3G).4s           2G   | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 4G*   |  5/2 |    6 |         2.70799105   |          0.00000019  |   0.55    |  92         :     4  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.72311911   |          0.00000025  |   0.96    |  90         :     3  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |  9/2 |   10 |         2.74266423   |          0.00000025  |   1.16    |  89         :     3  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         | 11/2 |   12 |         2.76656255   |          0.00000025  |   1.24    |  93         :     4  3d3.(2G).4s.4p.(3P*)  4G*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(1I).4s           | 2I      | 13/2 |   14 |         2.78709074   |          0.00000025  |           |  96                                             |        L15916,L20010
                      |         | 11/2 |   12 |         2.7892162    |          0.0000004   |           |  96                                             |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 4F*   |  3/2 |    4 |         2.86255632   |          0.00000016  |   0.39?   |  90         :     1  3d3.(4F).4s.4p.(3P*)  2D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.87774265   |          0.00000025  |   0.98?   |  91                                             | L15916,L20010,L14162
                      |         |  7/2 |    8 |         2.89541970   |          0.00000013  |   1.23    |  95                                             | L15916,L20010,L14162
                      |         |  9/2 |   10 |         2.91609245   |          0.00000014  |   1.31    |  95         :     1                             | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d3.(4F).4s.4p.(3P*)  | z 2D*   |  3/2 |    4 |         2.92711378   |          0.00000025  |   0.76    |  88         :     5  3d3.(4P).4s.4p.(3P*)  2D*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         2.96757565   |          0.00000025  |   1.32?   |  86         :     5  3d3.(4P).4s.4p.(3P*)  2D*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(3D).4s           | 2D      |  5/2 |    6 |         3.05380108   |          0.00000025  |           |  86         :     3  3d3.4s2               2D2  |        L15916,L20010
                      |         |  3/2 |    4 |         3.0554080    |          0.0000005   |           |  85         :     6  3d4.(1D2).4s          2D   |        L15916,L20010
                      |         |      |      |                      |                      |           |                                                 |                      
3d4.(5D).4p           | z 6P*   |  3/2 |    4 |         3.05597663   |          0.00000025  |   2.34    |  71         :    25  3d3.(4P).4s.4p.(3P*)  6P*  | L15916,L20010,L14162
                      |         |  5/2 |    6 |         3.06586152   |          0.00000025  |   1.86    |  72         :    26  3d3.(4P).4s.4p.(3P*)  6P*  | L15916,L20010,L14162
                      |         |  7/2 |    8 |         3.07959116   |          0.00000013  |   1.67    |  72         :    27  3d3.(4P).4s.4p.(3P*)  6P*  | L15916,L20010,L14162
                      |         |      |      |                      |                      |           |                                                 |                      
