----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |                      Level (eV)   |   Uncertainty (eV) |      Landé | Leading percentages                                       | Reference
3s2.3p4.(1D).4p    | 2D*    |  5/2 |    6 |          11.9623537               |                    |            | 100                                                       |          
                   |        |  3/2 |    4 |          11.9627639               |                    |   0.867    | 100                                                       |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4d | 2[4]   |  9/2 |   10 |          11.9638208               |                    |            | 100                  or  :   100  3s2.3p4.(3P).4d    4F   |          
                   |        |  7/2 |    8 |          11.9931368               |                    |            |  97                  or  :    60  3s2.3p4.(3P).4d    2F   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4d | 2[0]   |  1/2 |    2 |          12.0178108               |                    |            |  84                  or  :    89  3s2.3p4.(3P).4d    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4d | 2[1]   |  1/2 |    2 |          12.0449809               |                    |            |  44                  or  :    90  3s2.3p4.(3P).4d    2P   |          
                   |        |  3/2 |    4 |          12.0586797               |                    |   0.967    |  54                  or  :    39  3s2.3p4.(3P).4d    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4d | 2[3]   |  7/2 |    8 |          12.0493147               |                    |            |  88                  or  :    52  3s2.3p4.(3P).4d    4F   |          
                   |        |  5/2 |    6 |          12.0684839               |                    |   1.241    |  62                  or  :    62  3s2.3p4.(3P).4d    4F   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).6s | 2[2]   |  5/2 |    6 |          12.0559411               |                    |   1.500    | 100                  or  :   100  3s2.3p4.(3P).6s    4P   |          
                   |        |  3/2 |    4 |          12.0860620               |                    |   1.393    |  96                  or  :    67  3s2.3p4.(3P).6s    2P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<1>).4d | 2[2]   |  3/2 |    4 |          12.0703647               |                    |   1.01     |  47                  or  :    49  3s2.3p4.(3P).4d    4F   |          
                   |        |  5/2 |    6 |          12.0926909               |                    |   1.355    |  90                  or  :    55  3s2.3p4.(3P).4d    4P   |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4f | 2[4]*  |  9/2 |   10 |          12.1091213               |                    |            | 100                  or  :    67  3s2.3p4.(3P).4f    4F*  |          
                   |        |  7/2 |    8 |          12.1092138               |                    |            |  99                  or  :    48  3s2.3p4.(3P).4f    2F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4f | 2[3]*  |  7/2 |    8 |          12.1100440               |                    |            |  99                  or  :    48  3s2.3p4.(3P).4f    4F*  |          
                   |        |  5/2 |    6 |          12.110074                |                    |            | 100                  or  :    38  3s2.3p4.(3P).4f    4F*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4f | 2[2]*  |  3/2 |    4 |          12.113707                |                    |            |  99                  or  :    40  3s2.3p4.(3P).4f    4F*  |          
                   |        |  5/2 |    6 |          12.1137448               |                    |            |  99                  or  :    46  3s2.3p4.(3P).4f    4D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4f | 2[5]*  | 11/2 |   12 |          12.114822                |                    |            | 100                  or  :   100  3s2.3p4.(3P).4f    4G*  |          
                   |        |  9/2 |   10 |          12.114826                |                    |            | 100                  or  :    73  3s2.3p4.(3P).4f    2G*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<2>).4f | 2[1]*  |  1/2 |    2 |          12.118097                |                    |            | 100                  or  :   100  3s2.3p4.(3P).4f    4D*  |          
                   |        |  3/2 |    4 |          12.118131                |                    |            | 100                  or  :    50  3s2.3p4.(3P).4f    2D*  |          
                   |        |      |      |                                   |                    |            |                                                           |           
3s2.3p4.(3P<0>).4d | 2[2]   |  5/2 |    6 |          12.1266121               |                    |   1.0828   |  73                  or  :    36  3s2.3p4.(3P).4d    2F   |          
