--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term      |   J |    g |           Level (eV) |     Uncertainty (eV) |   Landé | Leading percentages                                | Reference
                     |           |   3 |    7 |         4.61283470   |          0.00000012  |   1.32  |  46         :    32  3d3.(4F).4p          5D*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 5F*     |   2 |    5 |         4.54694485   |          0.00000009  |   1.08  |  59         :    34  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   3 |    7 |         4.57740540   |          0.00000010  |   1.24  |  82         :    12  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   1 |    3 |         4.58179723   |          0.00000015  |   0.24  |  52         :    40  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   4 |    9 |         4.60608910   |          0.00000010  |         |  98                                                |       L20009
                     |           |   5 |   11 |         4.63111526   |          0.00000015  |   1.40? |  98                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 5D*     |   0 |    1 |         4.61240281   |          0.00000019  |         |  98                                                |       L20009
                     |           |   1 |    3 |         4.61959277   |          0.00000013  |   1.39  |  92         :     5  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   2 |    5 |         4.63318459   |          0.00000012  |   1.39  |  82         :    14  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   3 |    7 |         4.65196940   |          0.00000009  |   1.47  |  61         :    33  3d3.(4F).4p          3D*      | L20009,L8201
                     |           |   4 |    9 |         4.65326733   |          0.00000014  |   1.44  |  97                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d2.4s2              | e 3F      |   2 |    5 |         4.7036757    |          0.0000009   |         |  85         :    10  3d4                  3F1      |       L20009
                     |           |   3 |    7 |         4.7353313    |          0.0000005   |         |  86         :     9  3d4                  3F1      |       L20009
                     |           |   4 |    9 |         4.7755099    |          0.0000004   |         |  87         :     8  3d4                  3F1      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 3G*     |   3 |    7 |         4.86440687   |          0.00000013  |   0.84  |  92         :     6  3d3.(2G).4p          3G*      | L20009,L8201
                     |           |   4 |    9 |         4.88544694   |          0.00000013  |   1.03  |  92         :     6  3d3.(2G).4p          3G*      | L20009,L8201
                     |           |   5 |   11 |         4.91138159   |          0.00000012  |   1.19  |  91         :     6  3d3.(2G).4p          3G*      | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4F).4p          | z 3F*     |   2 |    5 |         4.95958556   |          0.00000013  |   0.65  |  94                                                | L20009,L8201
                     |           |   3 |    7 |         4.98361518   |          0.00000010  |   1.02  |  94                                                | L20009,L8201
                     |           |   4 |    9 |         5.01269199   |          0.00000014  |   1.22  |  94                                                | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(2D1).4s         | c 3D      |   3 |    7 |         5.4675133    |          0.0000014   |   1.27? |  76         :    23  3d3.(2D2).4s         3D       | L20009,L8201
                     |           |   2 |    5 |         5.4750753    |          0.0000007   |   1.14? |  75         :    23  3d3.(2D2).4s         3D       | L20009,L8201
                     |           |   1 |    3 |         5.4803096    |          0.0000015   |   0.50? |  75         :    24  3d3.(2D2).4s         3D       | L20009,L8201
                     |           |     |      |                      |                      |         |                                                    |              
3d2.4s2              | c 1D      |   2 |    5 |         5.5368863    |          0.0000020   |         |  61         :    21  3d4                  1D1      |       L20009
                     |           |     |      |                      |                      |         |                                                    |              
3d3.(4P).4p          | y 5D*     |   0 |    1 |         5.7759875    |          0.0000004   |         |  49         :    39  3d3.(4P).4p          3P*      |       L20009
                     |           |   1 |    3 |         5.7888836    |          0.0000003   |   1.44  |  57         :    34  3d3.(4P).4p          3P*      | L20009,L8201
                     |           |   2 |    5 |         5.83989523   |          0.00000020  |   1.47  |  62         :    28  3d3.(4P).4p          3P*      | L20009,L8201
                     |           |   3 |    7 |         5.8497277    |          0.0000003   |   1.48? |  96                                                | L20009,L8201
