------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |          Level (eV) |     Uncertainty (eV) |     Landé | Leading percentages                                 | Reference
                      |        |   2 |    5 |        4.2074797    |          0.0000009   |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d6                   | c 5D   |   4 |    9 |        4.38878724   |          0.00000018  |           |                                                     |           L18327
                      |        |   3 |    7 |        4.40158499   |          0.00000014  |           |                                                     |           L18327
                      |        |   2 |    5 |        4.41047986   |          0.00000014  |           |                                                     |           L18327
                      |        |   1 |    3 |        4.41612873   |          0.00000015  |           |                                                     |           L18327
                      |        |   0 |    1 |        4.41887657   |          0.00000018  |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4F).4s           | c 3F   |   2 |    5 |        4.439590     |          0.000003    |           | 100                                                 |     L18327,L7185
                      |        |   3 |    7 |        4.4403310    |          0.0000012   |           | 100                                                 |     L18327,L7185
                      |        |   4 |    9 |        4.44641601   |          0.00000025  |           |  98                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2H).4s           | b 3H   |   4 |    9 |        4.4473699    |          0.0000005   |           |  98                                                 |     L18327,L7185
                      |        |   5 |   11 |        4.4490806    |          0.0000004   |           |  98                                                 |     L18327,L7185
                      |        |   6 |   13 |        4.4552365    |          0.0000004   |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | z 3F*  |   2 |    5 |        4.45075785   |          0.00000018  |           |  95                                                 |     L18327,L7185
                      |        |   3 |    7 |        4.46766546   |          0.00000016  |           |  95                                                 |     L18327,L7185
                      |        |   4 |    9 |        4.48973236   |          0.00000016  |           |  95                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2F2).4s          | d 3F   |   3 |    7 |        4.5318871    |          0.0000003   |           | 100                                                 |     L18327,L7185
                      |        |   2 |    5 |        4.5326696    |          0.0000004   |           | 100                                                 |     L18327,L7185
                      |        |   4 |    9 |        4.5350511    |          0.0000003   |           | 100                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).5s           | e 7S   |   3 |    7 |        4.57449689   |          0.00000020  |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2G2).4s          | c 3G   |   3 |    7 |        4.6129376    |          0.0000012   |           |  98                                                 |     L18327,L7185
                      |        |   5 |   11 |        4.6163561    |          0.0000006   |           |  96                                                 |     L18327,L7185
                      |        |   4 |    9 |        4.6176688    |          0.0000007   |           |  98                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).5s           | e 5S   |   2 |    5 |        4.69694307   |          0.00000014  |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2H).4s           | a 1H   |   5 |   11 |        4.7780523    |          0.0000004   |           |  98                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(3P*)  | z 3D*  |   1 |    3 |        4.78541704   |          0.00000018  |           |  96                                                 |     L18327,L7185
                      |        |   2 |    5 |        4.80198705   |          0.00000016  |           |  96                                                 |     L18327,L7185
                      |        |   3 |    7 |        4.82438687   |          0.00000018  |           |  96                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(2G2).4s          | b 1G   |   4 |    9 |        4.855053     |          0.000006    |           |  98                                                 |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(1P*)  | y 5F*  |   1 |    3 |        5.0717494    |          0.0000014   |   0.004   |  84             :    12  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   2 |    5 |        5.07978877   |          0.00000025  |   1.28    |  83             :    12  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   3 |    7 |        5.0940418    |          0.0000009   |   1.246   |  83             :    12  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   4 |    9 |        5.11121666   |          0.00000021  |   1.360   |  82             :    13  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |   5 |   11 |        5.1321332    |          0.0000010   |           |  82             :    14  3d5.(4G).4p           5F*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(1P*)  | x 5P*  |   1 |    3 |        5.07470722   |          0.00000015  |   2.455   |  68             :     7  3d5.(4P).4p           5P*  |     L18327,L7185
                      |        |   2 |    5 |        5.08121830   |          0.00000016  |   1.76    |  56             :     7  3d5.(4P).4p           5P*  |     L18327,L7185
                      |        |   3 |    7 |        5.08872636   |          0.00000014  |   1.640   |  55             :     8  3d5.(4P).4p           5P*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(5D).4s.4p.(1P*)  | y 5D*  |   0 |    1 |        5.11121767   |          0.00000025  |           |  52             :    14  3d5.(4P).4p           5D*  |     L18327,L7185
                      |        |   1 |    3 |        5.11919757   |          0.00000023  |   1.503   |  54             :    14  3d5.(4P).4p           5D*  |     L18327,L7185
                      |        |   2 |    5 |        5.13405965   |          0.00000023  |   1.504   |  56             :    13  3d5.(4P).4p           5D*  |     L18327,L7185
                      |        |   3 |    7 |        5.1546553    |          0.0000003   |   1.503   |  58             :    13  3d5.(4P).4p           5D*  |     L18327,L7185
                      |        |   4 |    9 |        5.18032401   |          0.00000024  |   1.500   |  62             :    14  3d5.(4P).4p           5D*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3H).4s.4p.(3P*)  | z 5H*  |   3 |    7 |        5.2104973    |          0.0000003   |           |  61             :    20  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |   4 |    9 |        5.21722109   |          0.00000024  |           |  55             :    19  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |   5 |   11 |        5.2263677    |          0.0000004   |           |  48             :    17  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |   6 |   13 |        5.2385978    |          0.0000004   |           |  38             :    25  3d5.(4G).4p           5G*  |     L18327,L7185
                      |        |   7 |   15 |        5.2553504    |          0.0000004   |           |  65             :    24  3d5.(4G).4p           5H*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d4.(3P1).4s.4p.(3P*) | x 5D*  |   0 |    1 |        5.2344046    |          0.0000004   |           |  49             :    26  3d4.(5D).4s.4p.(1P*)  5D*  |     L18327,L7185
                      |        |   1 |    3 |        5.24364403   |          0.00000024  |   1.501   |  47             :    26  3d4.(5D).4s.4p.(1P*)  5D*  |     L18327,L7185
                      |        |   2 |    5 |        5.2617345    |          0.0000006   |   1.494   |  43             :    21  3d4.(5D).4s.4p.(1P*)  5D*  |     L18327,L7185
                      |        |   3 |    7 |        5.28771000   |          0.00000021  |   1.498   |  40             :    22  3d4.(5D).4s.4p.(1P*)  5D*  |     L18327,L7185
                      |        |   4 |    9 |        5.3199596    |          0.0000003   |   1.497   |  45             :    20  3d4.(5D).4s.4p.(1P*)  5D*  |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).5p           | x 7P*  |   2 |    5 |        5.2368392    |          0.0000009   |           |                                                     |           L18327
                      |        |   3 |    7 |        5.2388241    |          0.0000009   |           |                                                     |           L18327
                      |        |   4 |    9 |        5.241456     |          0.000025    |           |                                                     |           L18327
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(6S).4d           | e 7D   |   1 |    3 |        5.23873425   |          0.00000023  |           |                                                     |           L18327
                      |        |   2 |    5 |        5.23887699   |          0.00000020  |           |                                                     |           L18327
                      |        |   3 |    7 |        5.23908701   |          0.00000019  |           |                                                     |           L18327
                      |        |   4 |    9 |        5.23936893   |          0.00000018  |           |                                                     |           L18327
                      |        |   5 |   11 |        5.23972416   |          0.00000020  |   1.55    |                                                     |     L18327,L7185
                      |        |     |      |                     |                      |           |                                                     |                  
3d5.(4G).4p           | z 5G*  |   2 |    5 |        5.27122959   |          0.00000023  |   0.35    |  61             :    20  3d4.(3H).4s.4p.(3P*)  5G*  |     L18327,L7185
