-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.     |         Ritz          |    Unc.     |    Rel. |     Aki      | Acc. |             Ei           Ek             |             Lower level              |                Upper level                |  gi   gk  |Type|      TP  |          Line  |
          |      Wavelength       |     (nm)    |      Wavelength       |     (nm)    |    Int. |    (s^-1)    |      |            (eV)         (eV)            |--------------------------------------|-------------------------------------------|           |    |     Ref. |          Ref.  |
          |       Vac (nm)        |             |       Vac (nm)        |             |         |              |      |                                         | Conf.                | Term    | J   | Conf.                | Term     | J       |           |    |          |                |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |           95.69606    |   0.00005   |           95.696088   |  0.000005   |   18000 |              |      |      5.05178168    -      18.0078180    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 1       |   5 - 3   |    |          |    L11881c113  |
Ag II     |           95.73740    |   0.00008   |           95.737404   |  0.000004   |    5100 |              |      |      5.05178168    -      18.0022266    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d9.(2D<5/2>).4f     | 2[3/2]*  | 2       |   5 - 5   |    |          |    L11881c113  |
Ag II     |           95.88663    |   0.00009   |           95.886705   |  0.000006   |    4500 | 2.2e+08      | D+   |      5.05178168    -      17.9820621    | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 1D*      | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
Ag II     |           97.08875    |   0.00005   |           97.08876    |  0.00005    |   70000 | 7.3e+08      | D+   |      5.05178168    -      17.821972     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 2   | 4d8.(3F).5s.5p.(3P*) | 3F*      | 2       |   5 - 5   |    |    T9142 |    L11881c113  |
Ag II     |           97.32142    |   0.00005   |           97.32142    |  0.00005    |   26000 | 4.4e+08      | D+   |      4.85621528    -      17.595877     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3F).5s.5p.(3P*) | 3F*      | 3       |   7 - 7   |    |    T9142 |    L11881c113  |
          |                       |             |                       |             |         |              |      |                                         |                      |         |     |                      |          |         |           |    |          |                |
Ag II     |           97.67483    |   0.00005   |           97.67484    |  0.00005    |   76000 | 2.1e+08      | D+   |      5.42340791    -      18.116974     | 4d9.(2D<3/2>).5s     | 2[3/2]  | 1   | 4d8.(1D).5s.5p.(3P*) | 3F*      | 2       |   3 - 5   |    |    T9142 |    L11881c113  |
Ag II     |           98.05448    |   0.00005   |           98.05451    |  0.00005    |   58000 |              |      |      4.85621528    -      17.500631     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 3       |   7 - 7   |    |          |    L11881c113  |
Ag II     |           98.23525    |   0.00005   |           98.23528    |  0.00005    |   18000 |              |      |      4.85621528    -      17.477363     | 4d9.(2D<5/2>).5s     | 2[5/2]  | 3   | 4d8.(3P).5s.5p.(3P*) | 5P*      | 2       |   7 - 5   |    |          |    L11881c113  |
