---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed      |        Ritz        |    Rel. |     Aki     | Acc. |        Ei           Ek        |             Lower level             |               Upper level                |  gi   gk  |Type|    TP  |       Line  |
          |     Wavelength     |     Wavelength     |    Int. |   (s^-1)    |      |       (eV)         (eV)       |-------------------------------------|------------------------------------------|           |    |   Ref. |       Ref.  |
          |      Air (nm)      |      Air (nm)      |         |             |      |                               | Conf.            | Term      | J    | Conf.                | Term       | J    |           |    |        |             |
W II      |         201.54793  |         201.547832 |       6 |             |      |   1.40114839  -    7.5507645  | 5d3.6s2          | 4F        | 5/2  |                      |            | 5/2  |   6 - 6   |    |        |     L11762  |
W II      |         201.55788  |         201.55789  |       3 |             |      |   1.08006032  -    7.2293696  | 5d3.6s2          | 4F        | 3/2  |                      |            | 1/2  |   4 - 2   |    |        |     L11762  |
W II      |         201.57791  |         201.577919 |      34 |             |      |   2.41055854  -    8.5592569  | 5d4.(3H).6s      | 4H        | 13/2 | 5d3.(2H).6s.(3H).6p  | 4I*        | 13/2 |  14 - 14  |    |        |     L11762  |
W II      |         201.58165  |         201.58148  |       3 |             |      |   2.16190402  -    8.3104939  | 5d4.(3H).6s      | 4H        | 11/2 |                      |            | 9/2  |  12 - 10  |    |        |     L11762  |
W III     |         201.6340   |         201.6338   |     100 |             |      |   3.3788831   -    9.525878   | 5d3.(4P).6s      | 5P        | 3    | 5d3.(4P).6p          | 5D*        | 2    |   7 - 5   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         201.63848  |         201.638497 |       5 |             |      |   1.66286849  -    7.8097198  | 5d3.6s2          | 4F        | 7/2  |                      |            | 5/2  |   8 - 6   |    |        |     L11762  |
W I       |         201.640    |         201.6448   |       3 |             |      |   0.771099    -    6.917758   | 5d4.6s2          | 5D        | 4    |                      | *          | 5    |   9 - 11  |    |        |       L153  |
W IV      |         201.7145   |         201.7141   |     300 |             |      |   5.366854    -   11.511401   | 5d3              | 2D1       | 5/2  | 5d2.(3F).6p          | 4G*        | 7/2  |   6 - 8   |    |        |      L6352  |
W II      |         201.75343  |         201.75352  |       3 |             |      |   2.36444684  -    8.5077944  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W III     |         201.7674   |         201.7673   |     200 |             |      |   3.296559    -    9.439487   | 5d4              | 1G2       | 4    |                      |            | 3    |   9 - 7   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         201.78927  |         201.78931  |       4 |             |      |   2.48460389  -    8.6268619  |                  |           | 7/2  |                      |            | 7/2  |   8 - 8   |    |        |     L11762  |
W III     |         201.8605   |         201.8600   |      1d |             |      |   5.849777    -   11.989883   |                  |           | 4    | 5d2.(3F).6s.6p.(3P*) | 5D*        | 4    |   9 - 9   |    |        |     L10405  |
W II      |         201.9090   |         201.90948  |       5 |             |      |   2.85742958  -    8.9960324  |                  |           | 7/2  |                      |            | 9/2  |   8 - 10  |    |        |      L6520  |
W II      |         201.9207   |         201.92014  |       9 |             |      |   2.3545751   -    8.4928538  |                  |           | 3/2  |                      |            | 3/2  |   4 - 4   |    |        |      L6520  |
W III     |         201.9472   |         201.9471   |       1 |             |      |   5.283704    -   11.421163   | 5d3.(2F).6s      | 3F        | 3    |                      |            | 4    |   7 - 9   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         201.95675  |         201.95673  |       3 |             |      |   1.84205306  -    7.9792200  |                  |           | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W I       |         202.011    |         202.0157   |       5 |             |      |   0.365913    -    6.501290   | 5d5.(6S).6s      | 7S        | 3    |                      | *          | 4    |   7 - 9   |    |        |       L153  |
W II      |         202.06242  |         202.06236  |       3 |             |      |   2.05232121  -    8.1862802  | 5d4.(3H).6s      | 4H        | 9/2  |                      |            | 7/2  |  10 - 8   |    |        |     L11762  |
W III     |         202.0753   |         202.0756   |     100 |             |      |   2.846061    -    8.979619   | 5d3.(4P).6s      | 5P        | 2    | 5d3.(4F).6p          | 5D*        | 1    |   5 - 3   |    |        |     L10405  |
W III     |         202.0850   |         202.0851   |      60 |             |      |   4.878151    -   11.011421   |                  |           | 2    |                      |            | 3    |   5 - 7   |    |        |     L10405  |
          |                    |                    |         |             |      |                               |                  |           |      |                      |            |      |           |    |        |             |
W II      |         202.0919   |         202.09250  |       9 |             |      |   2.54591519  -    8.6789594  |                  |           | 11/2 | 5d3.(2H).6s.(3H).6p  | 4H*        | 13/2 |  12 - 14  |    |        |      L6520  |
W III     |         202.1395   |         202.1395   |      2d |             |      |   3.947481    -   10.079101   |                  |           | 1    |                      |            | 2    |   3 - 5   |    |        |     L10405  |
