-----------------------------------------------------------------------------------------------------------
Configuration       | Term   |   J |    g |         Level (eV) |   Uncertainty (eV) |    Landé | Reference
4d5.(2H).5s         | a 1H   |   5 |   11 |        4.2036230   |                    |    1.026 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).5p      | z 5F*  |   1 |    3 |        4.2462547   |                    |   -0.004 |          
                    |        |   2 |    5 |        4.2693537   |                    |    1.010 |          
                    |        |   3 |    7 |        4.3072581   |                    |    1.258 |          
                    |        |   4 |    9 |        4.3604507   |                    |    1.346 |          
                    |        |   5 |   11 |        4.4286250   |                    |    1.395 |          
                    |        |     |      |                    |                    |          |           
4d6                 | c 3H   |   6 |   13 |        4.3159089   |                    |    1.09  |          
                    |        |   5 |   11 |        4.3285457   |                    |    1.10  |          
                    |        |   4 |    9 |        4.3446684   |                    |    0.79  |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(6D).5p      | z 5D*  |   0 |    1 |        4.6032906   |                    |    0.000 |          
                    |        |   1 |    3 |        4.6237383   |                    |    1.489 |          
                    |        |   2 |    5 |        4.6592237   |                    |    1.473 |          
                    |        |   3 |    7 |        4.7074838   |                    |    1.492 |          
                    |        |   4 |    9 |        4.7638485   |                    |    1.482 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | y 5D*  |   0 |    1 |        4.6327452   |                    |    0.000 |          
                    |        |   1 |    3 |        4.6991890   |                    |    1.491 |          
                    |        |   2 |    5 |        4.7761431   |                    |    1.471 |          
                    |        |   3 |    7 |        4.8551998   |                    |    1.251 |          
                    |        |   4 |    9 |        4.9489091   |                    |    1.463 |          
                    |        |     |      |                    |                    |          |           
                    | 1*     |   1 |    3 |        4.789076?   |                    |    1.443 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | z 5G*  |   2 |    5 |        4.8333171   |                    |    0.428 |          
                    |        |   3 |    7 |        4.8504402   |                    |    1.070 |          
                    |        |   4 |    9 |        4.8712851   |                    |          |          
                    |        |   5 |   11 |        4.8905792   |                    |          |          
                    |        |   6 |   13 |        4.9097742   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | x 5P*  |   1 |    3 |        4.8798361   |                    |    2.485 |          
                    |        |   2 |    5 |        4.8927446   |                    |    1.696 |          
                    |        |   3 |    7 |        4.9544667   |                    |    1.282 |          
                    |        |     |      |                    |                    |          |           
4d6                 | c 1I   |   6 |   13 |        4.8999864   |                    |    0.982 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).6s         | e 7S   |   3 |    7 |        4.9191390   |                    |    1.992 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | z 5H*  |   3 |    7 |        4.9283587   |                    |          |          
                    |        |   4 |    9 |        4.9677637   |                    |          |          
                    |        |   5 |   11 |        5.0049028   |                    |          |          
                    |        |   6 |   13 |        5.0404165   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | z 3P*  |   1 |    3 |        4.932078?   |                    |          |          
                    |        |   2 |    5 |        4.9372186   |                    |    1.346 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | z 3F*  |   3 |    7 |                    |                    |          |          
                    |        |   2 |    5 |        4.9580116   |                    |    1.350 |          
                    |        |   4 |    9 |        5.0639463   |                    |    1.256 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4D).5p      | z 3D*  |   1 |    3 |        4.9639479   |                    |    0.781 |          
                    |        |   2 |    5 |        5.0295637   |                    |    1.160 |          
                    |        |   3 |    7 |        5.0788936   |                    |    1.278 |          
                    |        |     |      |                    |                    |          |           
                    | 2*     |   2 |    5 |        4.989228?   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4P).5p         | x 5D*  |   3 |    7 |        5.0199065   |                    |    1.470 |          
                    |        |   1 |    3 |        5.0459562   |                    |    1.393 |          
                    |        |   0 |    1 |        5.0506101   |                    |    0.000 |          
                    |        |   2 |    5 |        5.0621236   |                    |    1.474 |          
                    |        |     |      |                    |                    |          |           
4d5.(6S).6s         | e 5S   |   2 |    5 |        5.0635557   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | y 5F*  |   1 |    3 |        5.0847982   |                    |    1.235 |          
                    |        |   2 |    5 |        5.0873164   |                    |    1.053 |          
                    |        |   3 |    7 |        5.1111724   |                    |    1.259 |          
                    |        |   5 |   11 |        5.1264569   |                    |    1.385 |          
                    |        |   4 |    9 |        5.1323907   |                    |    1.343 |          
                    |        |     |      |                    |                    |          |           
                    | 3*     |   1 |    3 |        5.1327400   |                    |    1.067 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | y 3F*  |   2 |    5 |        5.1434162   |                    |    0.781 |          
                    |        |   3 |    7 |        5.1887186   |                    |    1.084 |          
                    |        |   4 |    9 |        5.2181890   |                    |    1.225 |          
                    |        |     |      |                    |                    |          |           
                    | 3.1*   |   2 |    5 |        5.1834073   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5p         | w 5D*  |   1 |    3 |        5.2266876   |                    |    1.438 |          
                    |        |   0 |    1 |        5.2287865   |                    |    0.000 |          
                    |        |   2 |    5 |        5.2367595   |                    |    1.442 |          
                    |        |   3 |    7 |        5.2596977   |                    |    1.425 |          
                    |        |   4 |    9 |        5.2993083   |                    |    1.403 |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | z 3H*  |   4 |    9 |        5.2303773   |                    |    0.851 |          
                    |        |   5 |   11 |        5.2424461   |                    |          |          
                    |        |   6 |   13 |        5.2501020   |                    |    1.258 |          
                    |        |     |      |                    |                    |          |           
                    | 3.2*   |   2 |    5 |        5.3044349   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 3.3*   |   1 |    3 |        5.3234748   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d5.(4G).5p         | z 3G*  |   3 |    7 |        5.3275965   |                    |    0.884 |          
                    |        |   4 |    9 |        5.3557300   |                    |    1.097 |          
                    |        |   5 |   11 |        5.4485699   |                    |    1.359 |          
                    |        |     |      |                    |                    |          |           
4d5.(4D).5p         | x 5F*  |   2 |    5 |        5.3369574   |                    |    1.030 |          
                    |        |   3 |    7 |        5.3617669   |                    |    1.248 |          
                    |        |   5 |   11 |        5.3683991   |                    |    1.363 |          
                    |        |   4 |    9 |        5.3970177   |                    |    1.365 |          
                    |        |     |      |                    |                    |          |           
                    | 3.4*   |   5 |   11 |        5.4015497   |                    |          |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4H).5p      | z 5I*  |   4 |    9 |        5.4055214   |                    |    0.779 |          
                    |        |   5 |   11 |        5.4962388   |                    |    0.956 |          
                    |        |     |      |                    |                    |          |           
4d4.5s.(4H).5p      | y 5H*  |   3 |    7 |        5.4177899   |                    |    0.554 |          
                    |        |   4 |    9 |        5.4568320   |                    |    0.867 |          
                    |        |   5 |   11 |        5.510417?   |                    |          |          
                    |        |   6 |   13 |        5.5414521   |                    |          |          
                    |        |   7 |   15 |        5.629614?   |                    |          |          
                    |        |     |      |                    |                    |          |           
                    | 3.5*   |   5 |   11 |        5.4512254   |                    |          |          
                    |        |     |      |                    |                    |          |           
