------------------------------------------------------------------------------------------------------------------------------------
Configuration        | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Leading percentages             | Reference
                     |        |   1 |    3 |        17.996438    |                    |                                 |          
                     |        |   2 |    5 |        17.997483    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3p.4s                | 3P*    |   0 |    1 |        18.073939    |                    |                                 |          
                     |        |   1 |    3 |        18.081198    |                    |                                 |          
                     |        |   2 |    5 |        18.096924    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10s               | 3S     |   1 |    3 |        18.115596    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9d                | 3D     |   1 |    3 |        18.12506     |                    |                                 |          
                     |        |   2 |    5 |        18.12506     |                    |                                 |          
                     |        |   3 |    7 |        18.12511     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10s               | 1S     |   0 |    1 |        18.12551     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9d                | 1D     |   2 |    5 |        18.13591     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9f                | 1F*    |   3 |    7 |        18.136247    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10p               | 1P*    |   1 |    3 |        18.138878    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9g                | 3G     |   4 |    9 |        18.15338     |                    |                                 |          
                     |        |   3 |    7 |        18.15338     |                    |                                 |          
                     |        |   5 |   11 |        18.15338     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9g                | 1G     |   4 |    9 |        18.15338     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9h                | 3H*    |   4 |    9 |        18.15563     |                    |                                 |          
                     |        |   6 |   13 |        18.15563     |                    |                                 |          
                     |        |   5 |   11 |        18.15563     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9h                | 1H*    |   5 |   11 |        18.15563     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.9f                | 3F*    |   2 |    5 |        18.163673    |                    |                                 |          
                     |        |   3 |    7 |        18.163808    |                    |                                 |          
                     |        |   4 |    9 |        18.163991    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10p               | 3P*    |   0 |    1 |        18.175445    |                    |                                 |          
                     |        |   1 |    3 |        18.175705    |                    |                                 |          
                     |        |   2 |    5 |        18.176344    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11s               | 3S     |   1 |    3 |        18.254621    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11p               | 1P*    |   1 |    3 |        18.259254    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10d               | 3D     |   2 |    5 |        18.261217    |                    |                                 |          
                     |        |   3 |    7 |        18.261273    |                    |                                 |          
                     |        |   1 |    3 |        18.26138     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.11s               | 1S     |   0 |    1 |        18.261754    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10d               | 1D     |   2 |    5 |        18.268438    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10f               | 1F*    |   3 |    7 |        18.268659    |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10g               | 3G     |   5 |   11 |        18.28189     |                    |                                 |          
                     |        |   4 |    9 |        18.28189     |                    |                                 |          
                     |        |   3 |    7 |        18.28189     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10g               | 1G     |   4 |    9 |        18.28189     |                    |                                 |          
                     |        |     |      |                     |                    |                                 |           
3s.10h               | 3H*    |   4 |    9 |        18.28358     |                    |                                 |          
