--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
3s2.3p.nd                  | a 3P*       |   2 |    5 |          7.4288029             |                    |  77                  :    16  3s.3p3 3P*  |     L5815
                           |             |   1 |    3 |          7.4403485             |                    |  80                  :    17  3s.3p3 3P*  |     L5815
                           |             |   0 |    1 |          7.444321              |                    |  82                  :    17  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 1D*         |   2 |    5 |          7.4763538             |                    |  76                  :    14  3p.5d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).6p<1/2>  | (1/2,1/2)   |   1 |    3 |          7.4863244             |                    |                                           |     L5815
                           |             |   0 |    1 |          7.516125              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).6p<3/2>  | (1/2,3/2)   |   1 |    3 |          7.4994450             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.5005925             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 3F*         |   2 |    5 |          7.5190764             |                    |  84                  :    12  3p.5d  1D*  |     L5815
                           |             |   3 |    7 |          7.5265183             |                    |  96                  :     1  3p.5d  1F*  |     L5815
                           |             |   4 |    9 |          7.5443078             |                    |  98                  :     1  3p.4d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6p<3/2>  | (3/2,3/2)   |   3 |    7 |          7.526402              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.5266539             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.5583377             |                    |                                           |     L5815
                           |             |   0 |    1 |          7.5875894             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).6p<1/2>  | (3/2,1/2)   |   2 |    5 |          7.5402137             |                    |                                           |     L5815
                           |             |   1 |    3 |          7.5452605             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).5f       | 2[5/2]      |   3 |    7 |          7.6006506             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.6007624             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).5f       | 2[7/2]      |   3 |    7 |          7.6008575             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.6010637             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 1P*         |   1 |    3 |          7.600934              |                    |  73                  :     9  3p.7s  1P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 1F*         |   3 |    7 |          7.615510              |                    |  76                  :     8  3p.6d  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 3D*         |   2 |    5 |          7.618564              |                    |  82  3p.nd           :    13  3p.nd  3P*  |     L5815
                           |             |   1 |    3 |          7.626487              |                    |  57  3p.nd           :    25  3p.7s  3P*  |     L5815
                           |             |   3 |    7 |          7.6343040             |                    |  87  3p.nd           :     8  3p.5d  1F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).7s<1/2>  | (1/2,1/2)*  |   0 |    1 |          7.629746              |                    | 100  3P*                                  |     L5815
                           |             |   1 |    3 |          7.636860              |                    |  56  3P*             :    24  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).5f       | 2[7/2]      |   3 |    7 |          7.6327744             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.6329572             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).5f       | 2[5/2]      |   3 |    7 |          7.6371048             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.6371966             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).5f       | 2[9/2]      |   5 |   11 |          7.639208              |                    |                                           |     L5815
                           |             |   4 |    9 |          7.639555              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).5f       | 2[3/2]      |   1 |    3 |          7.643299              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.6433624             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7s<1/2>  | (3/2,1/2)*  |   2 |    5 |          7.6651433             |                    |  92  3P*             :     3  3p.5d  3P*  |     L5815
                           |             |   1 |    3 |          7.672341              |                    |  65  1P*             :    15  3p.7s  3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.5d                  | 3P*         |   2 |    5 |          7.667423              |                    |  72  3p.nd           :    12  3p.nd  3D*  |     L5815
                           |             |   1 |    3 |          7.679101              |                    |  80  3p.nd           :     7  3s.3p3 3P*  |     L5815
                           |             |   0 |    1 |          7.682093              |                    |  92  3p.nd           :     8  3s.3p3 3P*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).7p<1/2>  | (1/2,1/2)   |   1 |    3 |          7.70460               |                    |                                           |     L5815
                           |             |   0 |    1 |          7.72653               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 1D*         |   2 |    5 |          7.7064630             |                    |  49                  :    42  3p.6d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).7p<3/2>  | (1/2,3/2)   |   1 |    3 |          7.715089              |                    |                                           |     L5815
                           |             |   2 |    5 |          7.715783              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 3F*         |   2 |    5 |          7.730406              |                    |  54                  :    38  3p.6d  1D*  |     L5815
                           |             |   3 |    7 |          7.7337400             |                    |  92                  :     3  3p.6d  1F*  |     L5815
                           |             |   4 |    9 |          7.753238              |                    |  98                  :     1  3p.5d  3F*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7p<3/2>  | (3/2,3/2)   |   3 |    7 |          7.739221              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.74286               |                    |                                           |     L5815
                           |             |   2 |    5 |          7.760955              |                    |                                           |     L5815
                           |             |   0 |    1 |          7.776164              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).7p<1/2>  | (3/2,1/2)   |   2 |    5 |          7.751450              |                    |                                           |     L5815
                           |             |   1 |    3 |          7.754604              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 1P*         |   1 |    3 |          7.769625              |                    |  58                  :    27  3p.nd  3D*  |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).6f       | 2[7/2]      |   3 |    7 |          7.7698198             |                    |                                           |     L5815
                           |             |   4 |    9 |          7.7699879             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).6f       | 2[5/2]      |   3 |    7 |          7.7699861             |                    |                                           |     L5815
                           |             |   2 |    5 |          7.7700559             |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.6d                  | 3D*         |   2 |    5 |          7.783107              |                    |  65  3p.nd           :    29  3p.nd  3P*  |     L5815
                           |             |   1 |    3 |          7.801805              |                    |  63  3p.nd           :    28  3p.6d  1P*  |     L5815
