--------------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration              | Term        |   J |    g |                   Level (eV)   |   Uncertainty (eV) | Leading percentages                       | Reference
3s2.3p.nd                  | *           |   3 |    7 |          8.14409               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).43d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.144293              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.144363              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<1/2>).44d<3/2> | (1/2,3/2)*  |   1 |    3 |          8.14463               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.144655              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).18d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.144894              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.145006              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |         [8.14492]              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.14517               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   3 |    7 |          8.145234              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).18d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.145448              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.145462              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).20s<1/2> | (3/2,1/2)*  |   1 |    3 |          8.145955              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).19d<5/2> | (3/2,5/2)*  |   1 |    3 |          8.149271              |                    |                                           |     L5815
                           |             |   3 |    7 |          8.149340              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.149531              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).19d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.149763              |                    |                                           |     L5815
                           |             |   0 |    1 |          8.149767              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).21s<1/2> | (3/2,1/2)*  |   1 |    3 |          8.150233              |                    |                                           |     L5815
---------------------------|-------------|-----|------|--------------------------------|--------------------|-------------------------------------------|-----------
---------------------------|-------------|-----|------|--------------------------------|--------------------|-------------------------------------------|-----------
Si II (3p 2P*<1/2>)        | Limit       | --- |      |          8.15168               |           0.00003  |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).20d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.153060              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.153263              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).20d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.153370              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).22s<1/2> | (3/2,1/2)*  |   1 |    3 |          8.153701              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).21d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.156257              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.15642               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).21d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.156536              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).23s<1/2> | (3/2,1/2)*  |   1 |    3 |          8.156866              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).22d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.159021              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.15914               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).22d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.159251              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).24s<1/2> | (3/2,1/2)*  |   1 |    3 |          8.159554              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).23d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.161428              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.nd                  | *           |   2 |    5 |          8.16155               |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).23d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.161629              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).24d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.163547              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).24d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.163678              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).25d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.165413              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).25d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.165565              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).26d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.167072              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).26d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.167190              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).27d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.168550              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).27d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.168659              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).28d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.169832              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).28d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.169879              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).29d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.171069              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).29d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.171113              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).30d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.172121              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).30d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.172187              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).31d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.173061              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).31d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.173094              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).32d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.173952              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).32d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.173968              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).33d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.174768              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).33d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.174830              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).34d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.175487              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).34d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.175513              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).35d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.176158              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).35d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.176162              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).36d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.176779              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).36d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.176790              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).37d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.177348              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).37d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.177362              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).38d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.177849              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).38d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.177881              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).39d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.178324              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).39d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.178335              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).40d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.178763              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).40d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.178769              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).41d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.179181              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).41d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.179185              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).42d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.179556              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).42d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.179565              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).43d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.179902              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).43d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.179908              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).44d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.180253              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).44d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.180253              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).45d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.180559              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).45d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.180595              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).46d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.180847              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).46d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.180896              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).47d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.181108              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).47d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.181126              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).48d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.181381              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).48d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.181396              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).49d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.181629              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).49d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.181638              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).50d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.181825              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).50d<3/2> | (3/2,3/2)*  |   1 |    3 |          8.181850              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).51d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182038              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).52d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182250              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).53d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182438              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).54d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182627              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).55d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182782              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s2.3p.(2P*<3/2>).56d<5/2> | (3/2,5/2)*  |   3 |    7 |          8.182963              |                    |                                           |     L5815
---------------------------|-------------|-----|------|--------------------------------|--------------------|-------------------------------------------|-----------
---------------------------|-------------|-----|------|--------------------------------|--------------------|-------------------------------------------|-----------
Si II (3p 2P*<3/2>)        | Limit       | --- |      |          8.187297              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p3                     | 3S*         |   1 |    3 |          9.87708               |                    | 100                                       |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p2.(4P).4s             | 5P          |   1 |    3 |         10.13256               |                    |                                           |     L5815
                           |             |   2 |    5 |         10.14516               |                    |                                           |     L5815
                           |             |   3 |    7 |         10.163748              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p2.(4P).4p             | 3D*?        |   3 |    7 |         11.447                 |           0.012    |                                           |     L5815
                           |             |   1 |    3 |         11.447                 |           0.012    |                                           |     L5815
                           |             |   2 |    5 |         11.447                 |           0.012    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p2.(4P).3d             | 5P          |   3 |    7 |         11.690685              |                    |                                           |     L5815
                           |             |   2 |    5 |         11.699842              |                    |                                           |     L5815
                           |             |   1 |    3 |         11.705721              |                    |                                           |     L5815
                           |             |     |      |                                |                    |                                           |           
3s.3p2.(4P).5p             | 3D*?        |   3 |    7 |         12.452                 |           0.012    |                                           |     L5815
                           |             |   1 |    3 |         12.452                 |           0.012    |                                           |     L5815
                           |             |   2 |    5 |         12.452                 |           0.012    |                                           |     L5815
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
