-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |    Observed     |      Ritz       |  Rel. |    Aki     | Acc. |         Ei           Ek         |                 Lower level                  |                  Upper level                  |  gi   gk  |   Type|                                      TP  |   Line  |
          |   Wavelength    |   Wavelength    |  Int. |   (s^-1)   |      |        (eV)         (eV)        |----------------------------------------------|-----------------------------------------------|           |       |                                     Ref. |   Ref.  |
          |    Vac (nm)     |    Vac (nm)     |       |            |      |                                 | Conf.                     | Term       | J   | Conf.                     | Term       | J    |           |       |                                          |         |
Si XIII   |                 |          2.2784 |       | 7.17e+09   | B    | [1864.975]     -  [2409.1387]   | 1s.2p                     | 1P*        | 1   | 1s.9s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.3103 |       | 1.77e+09   | C    | [1853.534]     -  [2390.1916]   | 1s.2p                     | 3P*        | 0   | 1s.7s                     | 3S         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3106 |       | 1.03e+10   | C    | [1864.975]     -  [2401.5551]   | 1s.2p                     | 1P*        | 1   | 1s.8s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.3113 |       | 5.31e+09   | C+   | [1853.7553]    -  [2390.1916]   | 1s.2p                     | 3P*        | 1   | 1s.7s                     | 3S         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.3128 |       | 5.11e+10   | C+   | [1854.6490]    -  [2390.7199]   | 1s.2s                     | 1S         | 0   | 1s.7p                     | 1P*        | 1    |   1 - 3   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.3151 |       | 8.82e+09   | C+   | [1854.6413]    -  [2390.1916]   | 1s.2p                     | 3P*        | 2   | 1s.7s                     | 3S         | 1    |   5 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3217 |       | 8.46e+10   | B+   | [1839.4227]    -  [2373.4517]   | 1s.2s                     | 3S         | 1   | 1s.6p                     | 3P*        | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3218 |       | 8.49e+10   | B+   | [1839.4227]    -  [2373.4190]   | 1s.2s                     | 3S         | 1   | 1s.6p                     | 3P*        | 1    |   3 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3219 |       | 8.50e+10   | B+   | [1839.4227]    -  [2373.4104]   | 1s.2s                     | 3S         | 1   | 1s.6p                     | 3P*        | 0    |   3 - 1   |       |                               T5231c4,LS |         |
          |                 |                 |       |            |      |                                 |                           |            |     |                           |            |      |           |       |                                          |         |
Si XIII   |                 |          2.3593 |       | 1.54e+10   | C+   | [1864.975]     -  [2390.4856]   | 1s.2p                     | 1P*        | 1   | 1s.7s                     | 1S         | 0    |   3 - 1   |       |                                  T5231c4 |         |
Si XIII   |                 |          2.3835 |       | 8.69e+10   | B+   | [1853.534]     -  [2373.7107]   | 1s.2p                     | 3P*        | 0   | 1s.6d                     | 3D         | 1    |   1 - 3   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3845 |       | 1.17e+11   | B+   | [1853.7553]    -  [2373.7107]   | 1s.2p                     | 3P*        | 1   | 1s.6d                     | 3D         | 2    |   3 - 5   |       |                               T5231c4,LS |         |
Si XIII   |                 |          2.3845 |       | 6.50e+10   | B+   | [1853.7553]    -  [2373.7107]   | 1s.2p                     | 3P*        | 1   | 1s.6d                     | 3D         | 1    |   3 - 3   |       |                               T5231c4,LS |         |
