-------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration         | Term   |   J |    g |                Level (eV)  |   Uncertainty (eV) | Leading percentages                        | Reference
3s2.3p3.(2D*).4d      | 1G*    |   4 |    9 |        21.526137           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5f      | 5F     |   5 |   11 |        21.597136           |                    |                                            |          
                      |        |   4 |    9 |        21.597188           |                    |                                            |          
                      |        |   2 |    5 |        21.597277           |                    |                                            |          
                      |        |   1 |    3 |        21.597306           |                    |                                            |          
                      |        |   3 |    7 |        21.597608           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5f      | 3F     |   2 |    5 |        21.605217           |                    |                                            |          
                      |        |   3 |    7 |        21.605231           |                    |                                            |          
                      |        |   4 |    9 |        21.605283           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5g      | 5G*    |   3 |    7 |        21.630382           |                    |                                            |          
                      |        |   6 |   13 |        21.630385           |                    |                                            |          
                      |        |   5 |   11 |        21.630387           |                    |                                            |          
                      |        |   4 |    9 |        21.630389           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).5g      | 3G*    |   3 |    7 |        21.630406           |                    |                                            |          
                      |        |   4 |    9 |        21.630406           |                    |                                            |          
                      |        |   5 |   11 |        21.630523           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 3D*    |   1 |    3 |        21.670956           |                    |  95                                        |          
                      |        |   2 |    5 |        21.675245           |                    |  95                                        |          
                      |        |   3 |    7 |        21.679225           |                    |  95                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7s      | 5S*    |   2 |    5 |        21.903066           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).7s      | 3S*    |   1 |    3 |        21.939903           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(4S*).6d      | 5D*    |   0 |    1 |        21.978431           |                    |                                            |          
                      |        |   1 |    3 |        21.978459           |                    |                                            |          
                      |        |   2 |    5 |        21.978490           |                    |                                            |          
                      |        |   3 |    7 |        21.978533           |                    |                                            |          
                      |        |   4 |    9 |        21.978586           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 3S*    |   1 |    3 |        21.997955           |                    |  99                                        |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5p      | 3D     |   1 |    3 |        22.000344           |                    |  55         :    40  3s2.3p3.(2D*).5p 1P   |          
                      |        |   2 |    5 |        22.004606           |                    |  90                                        |          
                      |        |   3 |    7 |        22.013239           |                    |  84         :    14  3s2.3p3.(2D*).5p 3F   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5p      | 1P     |   1 |    3 |        22.016118           |                    |  54         :    43  3s2.3p3.(2D*).5p 3D   |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).5p      | 3F     |   2 |    5 |        22.024345           |                    |  94                                        |          
                      |        |   3 |    7 |        22.029748           |                    |  85         :    14  3s2.3p3.(2D*).5p 3D   |          
                      |        |   4 |    9 |        22.035785           |                    |                                            |          
                      |        |     |      |                            |                    |                                            |           
3s2.3p3.(2D*).4d      | 3P*    |   0 |    1 |        22.031500           |                    |  87                                        |          
                      |        |   1 |    3 |        22.039042           |                    |  88                                        |          
                      |        |   2 |    5 |        22.046793           |                    |  89                                        |          
                      |        |     |      |                            |                    |                                            |           
