---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed          |   Unc.   |            Ritz            |     Unc.     |  Rel. |     Aki      | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |  gi   gk  |Type|      TP  |       Line  |
          |         Wavelength         |   (nm)   |         Wavelength         |     (nm)     |  Int. |    (s^-1)    |      |        (eV)         (eV)        |-----------------------|-----------------------|           |    |     Ref. |       Ref.  |
          |          Vac (nm)          |          |          Vac (nm)          |              |       |              |      |                                 | Conf.  | Term | J     | Conf.  | Term | J     |           |    |          |             |
He I      |                            |          |               62.5563107   |  0.0000004   |       | 1.272e-04    | AA   |   0.00000000   -  [19.81961468] | 1s2    | 1S   | 0     | 1s.2s  | 3S   | 1     |   1 - 3   | M1 |    T1896 |             |
He II     |                            |          |              102.524082643 |  0.000000006 |       | 6.8642e+07   | AA   | (40.8130305)   -  (52.9062084)  | 2p     | 2P*  | 1/2   | 6d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              102.524291871 |  0.000000005 |       | 3.9223e+06   | AA   | (40.8130305)   -  (52.9061838)  | 2p     | 2P*  | 1/2   | 6s     | 2S   | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              102.524574582 |  0.000000021 |       | 4.5759e+07   | AA   | (40.8130886)   -  (52.9062085)  | 2s     | 2S   | 1/2   | 6p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |              102.524802604 |  0.000000021 |       | 4.5760e+07   | AA   | (40.8130886)   -  (52.9061816)  | 2s     | 2S   | 1/2   | 6p     | 2P*  | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              102.530163571 |  0.000000005 |       | 8.2356e+07   | AA   | (40.8137567)   -  (52.9062174)  | 2p     | 2P*  | 3/2   | 6d     | 2D   | 5/2   |   4 - 6   |    |    T8637 |             |
He II     |                            |          |              102.530239581 |  0.000000005 |       | 1.3726e+07   | AA   | (40.8137567)   -  (52.9062084)  | 2p     | 2P*  | 3/2   | 6d     | 2D   | 3/2   |   4 - 4   |    |    T8637 |             |
          |                            |          |                            |              |       |              |      |                                 |        |      |       |        |      |       |           |    |          |             |
He II     |                            |          |              102.530448834 |  0.000000004 |       | 7.8444e+06   | AA   | (40.8137567)   -  (52.9061838)  | 2p     | 2P*  | 3/2   | 6s     | 2S   | 1/2   |   4 - 2   |    |    T8637 |             |
He II     |                            |          |              108.490747081 |  0.000000009 |       | 1.2575e+08   | AA   | (40.8130305)   -  (52.2411201)  | 2p     | 2P*  | 1/2   | 5d     | 2D   | 3/2   |   2 - 4   |    |    T8637 |             |
He II     |                            |          |              108.491151963 |  0.000000007 |       | 6.8768e+06   | AA   | (40.8130305)   -  (52.2410774)  | 2p     | 2P*  | 1/2   | 5s     | 2S   | 1/2   |   2 - 2   |    |    T8637 |             |
He II     |                            |          |              108.491297640 |  0.000000024 |       | 7.9218e+07   | AA   | (40.8130886)   -  (52.2411202)  | 2s     | 2S   | 1/2   | 5p     | 2P*  | 3/2   |   2 - 4   |    |    T8637 |             |
