----------------------------------------------------------------------------------------------------
Configuration          | Term   |   J |    g |          Level (eV) |   Uncertainty (eV) | Reference
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7f       | 5F     |   3 |    7 |        13.3400971   |                    |          
                       |        |   1 |    3 |        13.3400971   |                    |          
                       |        |   4 |    9 |        13.3400971   |                    |          
                       |        |   2 |    5 |        13.3400971   |                    |          
                       |        |   5 |   11 |        13.3400971   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).7f       | 3F     |   4 |    9 |        13.3400979   |                    |          
                       |        |   2 |    5 |        13.3400979   |                    |          
                       |        |   3 |    7 |        13.3400979   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).9s       | 5S*    |   2 |    5 |        13.3929466   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).9s       | 3S*    |   1 |    3 |        13.3972364   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).8d       | 5D*    |   4 |    9 |        13.4034446   |                    |          
                       |        |   3 |    7 |        13.4034452   |                    |          
                       |        |   2 |    5 |        13.4034462   |                    |          
                       |        |   1 |    3 |        13.4034469   |                    |          
                       |        |   0 |    1 |        13.4034473   |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).8d       | 3D*    |   3 |    7 |        13.40443     |                    |          
                       |        |   1 |    3 |        13.40443     |                    |          
                       |        |   2 |    5 |        13.40443     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).10s      | 5S*    |   2 |    5 |        13.44137     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).10s      | 3S*    |   1 |    3 |        13.44439     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).9d       | 5D*    |   3 |    7 |        13.448594    |                    |          
                       |        |   1 |    3 |        13.448594    |                    |          
                       |        |   4 |    9 |        13.448594    |                    |          
                       |        |   2 |    5 |        13.448594    |                    |          
                       |        |   0 |    1 |        13.448594    |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).9d       | 3D*    |   2 |    5 |        13.44940     |                    |          
                       |        |   3 |    7 |        13.44940     |                    |          
                       |        |   1 |    3 |        13.44940     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).11s      | 3S*    |   1 |    3 |        13.47776     |                    |          
                       |        |     |      |                     |                    |           
2s2.2p3.(4S*).10d      | 5D*    |   2 |    5 |        13.480991    |                    |          
                       |        |   0 |    1 |        13.480991    |                    |          
                       |        |   3 |    7 |        13.480991    |                    |          
                       |        |   1 |    3 |        13.480991    |                    |          
                       |        |   4 |    9 |        13.480991    |                    |          
