----------------------------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term   |    J |    g |           Level (eV) |     Uncertainty (eV) |    Landé | Leading percentages                     | Reference
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | d 2D   |  5/2 |    6 |         5.8711931    |          0.0000003   |          |                                         |       L18847
                       |        |  3/2 |    4 |         5.8734333    |          0.0000004   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 6P*  |  3/2 |    4 |         6.00069531   |          0.00000009  |    2.382 |  83                                     | L18847,L7185
                       |        |  5/2 |    6 |         6.01212477   |          0.00000009  |    1.875 |  98                                     | L18847,L7185
                       |        |  7/2 |    8 |         6.02960680   |          0.00000009  |    1.710 | 100                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 4P*  |  1/2 |    2 |         6.04414009   |          0.00000009  |    2.844 |  67         :    31  3d4.(5D).4p   6D*  | L18847,L7185
                       |        |  3/2 |    4 |         6.07595062   |          0.00000009  |    1.802 |  55         :    42  3d4.(5D).4p   6D*  | L18847,L7185
                       |        |  5/2 |    6 |         6.16279084   |          0.00000009  |    1.624 |  71         :    27  3d4.(5D).4p   6D*  | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 6D*  |  5/2 |    6 |         6.11883508   |          0.00000009  |    1.628 |  73         :    26  3d4.(5D).4p   4P*  | L18847,L7185
                       |        |  1/2 |    2 |         6.13631406   |          0.00000009  |    3.155 |  69         :    31  3d4.(5D).4p   4P*  | L18847,L7185
                       |        |  3/2 |    4 |         6.14521522   |          0.00000009  |    1.824 |  58         :    41  3d4.(5D).4p   4P*  | L18847,L7185
                       |        |  7/2 |    8 |         6.15529539   |          0.00000009  |    1.577 |  99                                     | L18847,L7185
                       |        |  9/2 |   10 |         6.17917153   |          0.00000009  |    1.570 |  98                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d4.(1F).4s            | d 2F   |  7/2 |    8 |         6.28193525   |          0.00000013  |          |                                         |       L18847
                       |        |  5/2 |    6 |         6.28446409   |          0.00000013  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 4F*  |  3/2 |    4 |         6.39561329   |          0.00000011  |    0.406 |  97                                     | L18847,L7185
                       |        |  5/2 |    6 |         6.40618983   |          0.00000011  |    1.025 |  97                                     | L18847,L7185
                       |        |  7/2 |    8 |         6.42099465   |          0.00000011  |    1.248 |  96                                     | L18847,L7185
                       |        |  9/2 |   10 |         6.44006951   |          0.00000011  |    1.338 |  96                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
3d5                    | d 2G   |  7/2 |    8 |         6.48409741   |          0.00000018  |          |                                         |       L18847
                       |        |  9/2 |   10 |         6.4869745    |          0.0000004   |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d3.4s2                | c 4F   |  3/2 |    4 |         6.5775271    |          0.0000005   |          |                                         |       L18847
                       |        |  5/2 |    6 |         6.6047630    |          0.0000004   |          |                                         |       L18847
                       |        |  7/2 |    8 |         6.64136865   |          0.00000021  |          |                                         |       L18847
                       |        |  9/2 |   10 |         6.68566396   |          0.00000014  |          |                                         |       L18847
                       |        |      |      |                      |                      |          |                                         |              
3d4.(5D).4p            | z 4D*  |  1/2 |    2 |         6.74696646   |          0.00000011  |    0.007 |  98                                     | L18847,L7185
                       |        |  3/2 |    4 |         6.75707561   |          0.00000011  |    1.178 |  98                                     | L18847,L7185
                       |        |  5/2 |    6 |         6.77271050   |          0.00000011  |    1.376 |  98                                     | L18847,L7185
                       |        |  7/2 |    8 |         6.79240603   |          0.00000011  |    1.430 |  98                                     | L18847,L7185
                       |        |      |      |                      |                      |          |                                         |              
