------------------------------------------------------------------------------------------------
Configuration        | Term   |    J |    g |       Level (eV) |   Uncertainty (eV) | Reference
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4p       | 2D     |  5/2 |    6 |      26.8955     |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 4F*    |  3/2 |    4 |      27.221541   |                    |          
                     |        |  5/2 |    6 |      27.223229   |                    |          
                     |        |  7/2 |    8 |      27.225784   |                    |          
                     |        |  9/2 |   10 |      27.229395   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 4D*    |  1/2 |    2 |      27.292085   |                    |          
                     |        |  3/2 |    4 |      27.292748   |                    |          
                     |        |  5/2 |    6 |      27.293808   |                    |          
                     |        |  7/2 |    8 |      27.295182   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 2D*    |  3/2 |    4 |      27.351104   |                    |          
                     |        |  5/2 |    6 |      27.352713   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 4P*    |  5/2 |    6 |      27.377160   |                    |          
                     |        |  3/2 |    4 |      27.379697   |                    |          
                     |        |  1/2 |    2 |      27.381299   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 2F     |  5/2 |    6 |      27.411527   |                    |          
                     |        |  7/2 |    8 |      27.412648   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 4F     |  3/2 |    4 |      27.412156   |                    |          
                     |        |  5/2 |    6 |      27.412796   |                    |          
                     |        |  7/2 |    8 |      27.413616   |                    |          
                     |        |  9/2 |   10 |      27.414119   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 2F*    |  5/2 |    6 |      27.457649   |                    |          
                     |        |  7/2 |    8 |      27.462913   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 4G     |  5/2 |    6 |      27.468055   |                    |          
                     |        |  7/2 |    8 |      27.469194   |                    |          
                     |        |  9/2 |   10 |      27.471874   |                    |          
                     |        | 11/2 |   12 |      27.475506   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 2G     |  7/2 |    8 |      27.473301   |                    |          
                     |        |  9/2 |   10 |      27.478087   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 4D     |  7/2 |    8 |      27.487108   |                    |          
                     |        |  5/2 |    6 |      27.488252   |                    |          
                     |        |  3/2 |    4 |      27.490978   |                    |          
                     |        |  1/2 |    2 |      27.492602   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4f       | 2D     |  5/2 |    6 |      27.491006   |                    |          
                     |        |  3/2 |    4 |      27.493776   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).4d       | 2P*    |  3/2 |    4 |      27.55658    |                    |          
                     |        |  1/2 |    2 |      27.55991    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5s       | 4P*    |  1/2 |    2 |      27.98918    |                    |          
                     |        |  3/2 |    4 |      27.99214    |                    |          
                     |        |  5/2 |    6 |      27.99784    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5p       | 2P     |  1/2 |    2 |      28.253669   |                    |          
                     |        |  3/2 |    4 |      28.256955   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5p       | 4D     |  1/2 |    2 |      28.29054    |                    |          
                     |        |  3/2 |    4 |      28.29219    |                    |          
                     |        |  5/2 |    6 |      28.29466    |                    |          
                     |        |  7/2 |    8 |      28.299017   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5p       | 4S     |  3/2 |    4 |      28.349835   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5p       | 4P     |  3/2 |    4 |      28.38586    |                    |          
                     |        |  5/2 |    6 |      28.388350   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5d       | 4F*    |  3/2 |    4 |      28.5683     |                    |          
                     |        |  5/2 |    6 |      28.5701     |                    |          
                     |        |  7/2 |    8 |      28.5732     |                    |          
                     |        |  9/2 |   10 |      28.57656    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5d       | 4D*    |  3/2 |    4 |      28.60999    |                    |          
                     |        |  5/2 |    6 |      28.61092    |                    |          
                     |        |  7/2 |    8 |      28.61244    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5d       | 4P*    |  5/2 |    6 |      28.64691    |                    |          
                     |        |  3/2 |    4 |      28.64924    |                    |          
                     |        |  1/2 |    2 |      28.65109    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5f       | 2F     |  5/2 |    6 |      28.666293   |                    |          
                     |        |  7/2 |    8 |      28.667279   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5f       | 4F     |  3/2 |    4 |      28.66677    |                    |          
                     |        |  5/2 |    6 |      28.667207   |                    |          
                     |        |  7/2 |    8 |      28.668262   |                    |          
                     |        |  9/2 |   10 |      28.668701   |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5f       | 4G     |  5/2 |    6 |      28.69462    |                    |          
                     |        |  7/2 |    8 |      28.69630    |                    |          
                     |        |  9/2 |   10 |      28.69906    |                    |          
                     |        | 11/2 |   12 |      28.70263    |                    |          
                     |        |      |      |                  |                    |           
2s.2p.(3P*).5f       | 2G     |  7/2 |    8 |      28.69995    |                    |          
                     |        |  9/2 |   10 |      28.70472    |                    |          
                     |        |      |      |                  |                    |           
