---------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |            Level (eV) |   Uncertainty (eV) | Reference
2s2.2p2.(3P<2>).5f | 2[2]*  |  3/2 |    4 |         [14.004978]   |                    |          
                   |        |  5/2 |    6 |         [14.004978]   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).5f | 2[3]*  |  5/2 |    6 |                       |                    |          
                   |        |  7/2 |    8 |          14.005919    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).5f | 2[4]*  |  9/2 |   10 |          14.006134    |                    |          
                   |        |  7/2 |    8 |          14.006148    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6p    | 4D*    |  1/2 |    2 |                       |                    |          
                   |        |  3/2 |    4 |                       |                    |          
                   |        |  5/2 |    6 |          14.04834     |                    |          
                   |        |  7/2 |    8 |          14.05615     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6p    | 4P*    |  1/2 |    2 |                       |                    |          
                   |        |  3/2 |    4 |          14.05358     |                    |          
                   |        |  5/2 |    6 |          14.06011     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7s    | 4P     |  1/2 |    2 |          14.1375032   |                    |          
                   |        |  3/2 |    4 |          14.1430204   |                    |          
                   |        |  5/2 |    6 |          14.1523653   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7s    | 2P     |  1/2 |    2 |          14.14810     |                    |          
                   |        |  3/2 |    4 |          14.15975     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 4F     |  3/2 |    4 |          14.14960     |                    |          
                   |        |  5/2 |    6 |          14.15065     |                    |          
                   |        |  7/2 |    8 |          14.1559870   |                    |          
                   |        |  9/2 |   10 |          14.1646129   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 2P     |  3/2 |    4 |          14.15533     |                    |          
                   |        |  1/2 |    2 |          14.15695     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<0>).6f | 2[3]*  |  5/2 |    6 |          14.155521    |                    |          
                   |        |  7/2 |    8 |          14.155521    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 2F     |  5/2 |    6 |          14.15685     |                    |          
                   |        |  7/2 |    8 |          14.16669     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 4P     |  5/2 |    6 |          14.15795     |                    |          
                   |        |  3/2 |    4 |          14.15900     |                    |          
                   |        |  1/2 |    2 |          14.16513     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).6f | 2[3]*  |  5/2 |    6 |          14.161066    |                    |          
                   |        |  7/2 |    8 |          14.161066    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).6f | 2[4]*  |  9/2 |   10 |          14.161733    |                    |          
                   |        |  7/2 |    8 |          14.161733    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<1>).6f | 2[2]*  |  3/2 |    4 |          14.161956    |                    |          
                   |        |  5/2 |    6 |          14.161956    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 4D     |  1/2 |    2 |          14.16790     |                    |          
                   |        |  3/2 |    4 |          14.16800     |                    |          
                   |        |  5/2 |    6 |          14.16817     |                    |          
                   |        |  7/2 |    8 |          14.16818     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).6d    | 2D     |  3/2 |    4 |          14.16854     |                    |          
                   |        |  5/2 |    6 |          14.17059     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).6f | 2[1]*  |  1/2 |    2 |         [14.170921]   |                    |          
                   |        |  3/2 |    4 |         [14.170921]   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).6f | 2[5]*  |  9/2 |   10 |          14.1714074   |                    |          
                   |        | 11/2 |   12 |          14.1714074   |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).6f | 2[2]*  |  3/2 |    4 |          14.171644    |                    |          
                   |        |  5/2 |    6 |          14.171644    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).6f | 2[3]*  |  7/2 |    8 |          14.172223    |                    |          
                   |        |  5/2 |    6 |          14.172223    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P<2>).6f | 2[4]*  |  9/2 |   10 |          14.172360    |                    |          
                   |        |  7/2 |    8 |          14.172360    |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7p    | 4D*    |  1/2 |    2 |                       |                    |          
                   |        |  5/2 |    6 |                       |                    |          
                   |        |  3/2 |    4 |                       |                    |          
                   |        |  7/2 |    8 |          14.20184     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8s    | 4P     |  1/2 |    2 |          14.24504     |                    |          
                   |        |  3/2 |    4 |          14.25063     |                    |          
                   |        |  5/2 |    6 |          14.26082     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 4F     |  3/2 |    4 |          14.25229     |                    |          
                   |        |  5/2 |    6 |          14.25310     |                    |          
                   |        |  7/2 |    8 |          14.25863     |                    |          
                   |        |  9/2 |   10 |          14.26775     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8s    | 2P     |  1/2 |    2 |          14.25361     |                    |          
                   |        |  3/2 |    4 |          14.26232     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 2P     |  3/2 |    4 |          14.25729     |                    |          
                   |        |  1/2 |    2 |          14.25941     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 2F     |  5/2 |    6 |          14.25855     |                    |          
                   |        |  7/2 |    8 |          14.26896     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 4P     |  1/2 |    2 |                       |                    |          
                   |        |  5/2 |    6 |          14.25955     |                    |          
                   |        |  3/2 |    4 |          14.26050     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 4D     |  1/2 |    2 |          14.26975     |                    |          
                   |        |  7/2 |    8 |          14.26989     |                    |          
                   |        |  3/2 |    4 |          14.26990     |                    |          
                   |        |  5/2 |    6 |          14.26991     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).7d    | 2D     |  3/2 |    4 |          14.27058     |                    |          
                   |        |  5/2 |    6 |          14.27135     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9s    | 4P     |  1/2 |    2 |          14.31391     |                    |          
                   |        |  3/2 |    4 |          14.31962     |                    |          
                   |        |  5/2 |    6 |          14.32967     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9s    | 2P     |  3/2 |    4 |          14.318       |           0.012    |          
                   |        |  1/2 |    2 |          14.318       |           0.012    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 4F     |  3/2 |    4 |                       |                    |          
                   |        |  5/2 |    6 |          14.31962     |                    |          
                   |        |  7/2 |    8 |          14.32486     |                    |          
                   |        |  9/2 |   10 |          14.33422     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 2P     |  1/2 |    2 |          14.324       |                    |          
                   |        |  3/2 |    4 |          14.32456     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 2F     |  5/2 |    6 |          14.32494     |                    |          
                   |        |  7/2 |    8 |          14.33513     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 2D     |  3/2 |    4 |          14.3322      |                    |          
                   |        |  5/2 |    6 |          14.33673     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 4P     |  3/2 |    4 |          14.3348      |                    |          
                   |        |  1/2 |    2 |          14.3348      |                    |          
                   |        |  5/2 |    6 |          14.3348      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).8d    | 4D     |  1/2 |    2 |          14.33561     |                    |          
                   |        |  3/2 |    4 |          14.33591     |                    |          
                   |        |  5/2 |    6 |          14.33591     |                    |          
                   |        |  7/2 |    8 |          14.33601     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10s   | 4P     |  1/2 |    2 |          14.36100     |                    |          
                   |        |  3/2 |    4 |          14.36685     |                    |          
                   |        |  5/2 |    6 |          14.37661     |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).10s   | 2P     |  1/2 |    2 |          14.3626      |                    |          
                   |        |  3/2 |    4 |          14.3626      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9d    | 4D     |  7/2 |    8 |          14.3682      |                    |          
                   |        |  1/2 |    2 |          14.3682      |                    |          
                   |        |  5/2 |    6 |          14.3682      |                    |          
                   |        |  3/2 |    4 |          14.3682      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9d    | 2P     |  1/2 |    2 |          14.3684      |                    |          
                   |        |  3/2 |    4 |          14.3684      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9d    | 2F     |  7/2 |    8 |          14.3700      |                    |          
                   |        |  5/2 |    6 |          14.3700      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9d    | 2D     |  3/2 |    4 |          14.3788      |                    |          
                   |        |  5/2 |    6 |          14.3811      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).9d    | 4P     |  5/2 |    6 |          14.381       |           0.012    |          
                   |        |  3/2 |    4 |          14.381       |           0.012    |          
                   |        |  1/2 |    2 |          14.381       |           0.012    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11s   | 2P     |  3/2 |    4 |          14.3954      |                    |          
                   |        |  1/2 |    2 |          14.3954      |                    |          
                   |        |      |      |                       |                    |           
2s2.2p2.(3P).11s   | 4P     |  3/2 |    4 |          14.3975      |                    |          
                   |        |  1/2 |    2 |          14.3975      |                    |          
                   |        |  5/2 |    6 |          14.3975      |                    |          
                   |        |      |      |                       |                    |           
