-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |      Observed       |   Unc.    |        Ritz         |   Unc.    |            Rel. |     Aki     | Acc. |           Ei           Ek         |         Lower level          |              Upper level               |  gi   gk  |Type|                   TP  |             Line  |
          |     Wavelength      |    (nm)   |     Wavelength      |    (nm)   |            Int. |   (s^-1)    |      |          (eV)         (eV)        |------------------------------|----------------------------------------|           |    |                  Ref. |             Ref.  |
          |      Air (nm)       |           |      Air (nm)       |           |                 |             |      |                                   | Conf.           | Term | J   | Conf.                 | Term    | J    |           |    |                       |                   |
C VI      |                     |           |          207.01482  |  0.00010  |                 | 1.245e+07   | AA   | (470.399242)     -  (476.386477)  | 5d              | 2D   | 3/2 | 6p                    | 2P*     | 3/2  |   4 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          207.01517  |  0.00010  |                 | 9.705e+07   | AA   | (470.399249)     -  (476.386473)  | 5p              | 2P*  | 3/2 | 6d                    | 2D      | 3/2  |   4 - 4   |    |           T6492extrap |                   |
C VI      |                     |           |          207.02067  |  0.00010  |                 | 1.383e+09   | AA   | (470.400495)     -  (476.387561)  | 5f              | 2F*  | 5/2 | 6g                    | 2G      | 7/2  |   6 - 8   |    |           T6492extrap |                   |
C VI      |                     |           |          207.02072  |  0.00010  |                 | 9.376e+08   | AA   | (470.400497)     -  (476.387561)  | 5d              | 2D   | 5/2 | 6f                    | 2F*     | 7/2  |   6 - 8   |    |           T6492extrap |                   |
          |                     |           |                     |           |                 |             |      |                                   |                 |      |     |                       |         |      |           |    |                       |                   |
C VI      |                     |           |          207.03316  |  0.00010  |                 | 2.414e+06   | AA   | (470.400495)     -  (476.387200)  | 5f              | 2F*  | 5/2 | 6d                    | 2D      | 5/2  |   6 - 6   |    |           T6492extrap |                   |
C VI      |                     |           |          207.03328  |  0.00010  |                 | 6.251e+07   | AA   | (470.400497)     -  (476.387198)  | 5d              | 2D   | 5/2 | 6f                    | 2F*     | 5/2  |   6 - 6   |    |           T6492extrap |                   |
C VI      |                     |           |          207.03481  |  0.00010  |                 | 2.086e+09   | AA   | (470.401122)     -  (476.387778)  | 5g              | 2G   | 7/2 | 6h                    | 2H*     | 9/2  |   8 - 10  |    |           T6492extrap |                   |
C VI      |                     |           |          207.03484  |  0.00010  |                 | 1.434e+09   | AA   | (470.401123)     -  (476.387779)  | 5f              | 2F*  | 7/2 | 6g                    | 2G      | 9/2  |   8 - 10  |    |           T6492extrap |                   |
C VI      |                     |           |          207.04231  |  0.00010  |                 | 4.097e+05   | AA   | (470.401122)     -  (476.387561)  | 5g              | 2G   | 7/2 | 6f                    | 2F*     | 7/2  |   8 - 8   |    |           T6492extrap |                   |
