------------------------------------------------------------------------------------------------------------------------------
Configuration   | Term   |    J |    g |             Level (eV) |       Uncertainty (eV) | Leading percentages    | Reference
                |        |  9/2 |   10 |        (53.9680506)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11h             | 2H*    |  9/2 |   10 |        (53.9680506)    |           0.0000003    | 100                    | L3620c107
                |        | 11/2 |   12 |        (53.9680508)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11i             | 2I     | 11/2 |   12 |        (53.9680508)    |           0.0000003    | 100                    | L3620c107
                |        | 13/2 |   14 |        (53.9680511)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11k             | 2K*    | 13/2 |   14 |        (53.9680511)    |           0.0000003    | 100                    | L3620c107
                |        | 15/2 |   16 |        (53.9680512)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11l             | 2L     | 15/2 |   16 |        (53.9680512)    |           0.0000003    | 100                    | L3620c107
                |        | 17/2 |   18 |        (53.9680513)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11m             | 2M*    | 17/2 |   18 |        (53.9680513)    |           0.0000003    | 100                    | L3620c107
                |        | 19/2 |   20 |        (53.9680514)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
11n             | 2N     | 19/2 |   20 |        (53.9680514)    |           0.0000003    | 100                    | L3620c107
                |        | 21/2 |   22 |        (53.9680515)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
12p             | 2P*    |  1/2 |    2 |        (54.0398746)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
12s             | 2S     |  1/2 |    2 |        (54.0398749)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
12o             | 2O*    | 23/2 |   24 |        (54.0398808)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
13p             | 2P*    |  1/2 |    2 |        (54.0957760)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
13s             | 2S     |  1/2 |    2 |        (54.0957762)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
13q             | 2Q     | 25/2 |   26 |        (54.0957808)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
14p             | 2P*    |  1/2 |    2 |        (54.1401319)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
14s             | 2S     |  1/2 |    2 |        (54.1401321)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
14r             | 2R*    | 27/2 |   28 |        (54.1401358)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
15p             | 2P*    |  1/2 |    2 |        (54.1759159)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
15s             | 2S     |  1/2 |    2 |        (54.1759161)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
15t             | 2T     | 29/2 |   30 |        (54.1759191)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
16p             | 2P*    |  1/2 |    2 |        (54.2052025)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
16s             | 2S     |  1/2 |    2 |        (54.2052026)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
16u             | 2U*    | 31/2 |   32 |        (54.2052052)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
17p             | 2P*    |  1/2 |    2 |        (54.2294745)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
17s             | 2S     |  1/2 |    2 |        (54.2294746)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
17v             | 2V     | 33/2 |   34 |        (54.2294767)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
18p             | 2P*    |  1/2 |    2 |        (54.2498146)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
18s             | 2S     |  1/2 |    2 |        (54.2498147)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
18w             | 2W*    | 35/2 |   36 |        (54.2498165)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
19p             | 2P*    |  1/2 |    2 |        (54.2670285)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
19s             | 2S     |  1/2 |    2 |        (54.2670285)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
19x             | 2X     | 37/2 |   38 |        (54.2670301)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
20p             | 2P*    |  1/2 |    2 |        (54.2817254)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
20s             | 2S     |  1/2 |    2 |        (54.2817254)    |           0.0000003    | 100                    | L3620c107
                |        |      |      |                        |                        |                        |           
20y             | 2Y*    | 39/2 |   40 |        (54.2817267)    |           0.0000003    | 100                    | L3620c107
----------------|--------|------|------|------------------------|------------------------|------------------------|-----------
----------------|--------|------|------|------------------------|------------------------|------------------------|-----------
                | Limit  |  --- |      |        (54.4177650)    |           0.0000003    |                        |  L7188c95
------------------------------------------------------------------------------------------------------------------------------
