------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed        |    Unc.    |         Ritz          |     Unc.     |      Rel. |     Aki     | Acc. |           Ei           Ek           |              Lower level               |               Upper level               |  gi   gk  |   Type|                TP  |           Line  |
          |      Wavelength       |    (nm)    |      Wavelength       |     (nm)     |      Int. |   (s^-1)    |      |          (eV)         (eV)          |----------------------------------------|-----------------------------------------|           |       |               Ref. |           Ref.  |
          |       Vac (nm)        |            |       Vac (nm)        |              |           |             |      |                                     | Conf.                 | Term    | J    | Conf.                  | Term    | J    |           |       |                    |                 |
Ar XVII   |                       |            |            0.375370   |   0.000021   |           |             |      | (3123.5347)      -  (6426.52)       | 1s.2p                 | 3P*     | 1    | 2p2                    | 1D      | 2    |   3 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.375541   |   0.000021   |           |             |      | (3124.5209)      -  (6426.00)       | 1s.2s                 | 1S      | 0    | 2s.2p                  | 1P*     | 1    |   1 - 3   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVII   |                       |            |            0.375683   |   0.000021   |           |             |      | (3126.2898)      -  (6426.52)       | 1s.2p                 | 3P*     | 2    | 2p2                    | 1D      | 2    |   5 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.376140   |   0.000021   |           |             |      | (3104.1486)      -  (6400.37)       | 1s.2s                 | 3S      | 1    | 2s.2p                  | 3P*     | 2    |   3 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.376367   |   0.000021   |           |             |      | (3123.5347)      -  (6417.77)       | 1s.2p                 | 3P*     | 1    | 2p2                    | 3P      | 2    |   3 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.376507   |   0.000021   |           |             |      | (3104.1486)      -  (6397.16)       | 1s.2s                 | 3S      | 1    | 2s.2p                  | 3P*     | 1    |   3 - 3   |       |                    |                 |
Ar XVII   |                       |            |            0.376560   |   0.000021   |           |             |      | (3122.8898)      -  (6415.44)       | 1s.2p                 | 3P*     | 0    | 2p2                    | 3P      | 1    |   1 - 3   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVII   |                       |            |            0.376634   |   0.000021   |           |             |      | (3123.5347)      -  (6415.44)       | 1s.2p                 | 3P*     | 1    | 2p2                    | 3P      | 1    |   3 - 3   |       |                    |                 |
Ar XVII   |                       |            |            0.376657   |   0.000021   |           |             |      | (3104.1486)      -  (6395.85)       | 1s.2s                 | 3S      | 1    | 2s.2p                  | 3P*     | 0    |   3 - 1   |       |                    |                 |
Ar XVII   |                       |            |            0.376682   |   0.000021   |           |             |      | (3126.2898)      -  (6417.77)       | 1s.2p                 | 3P*     | 2    | 2p2                    | 3P      | 2    |   5 - 5   |       |                    |                 |
Ar XVII   |                       |            |            0.376831   |   0.000021   |           |             |      | (3123.5347)      -  (6413.71)       | 1s.2p                 | 3P*     | 1    | 2p2                    | 3P      | 0    |   3 - 1   |       |                    |                 |
Ar XVII   |                       |            |            0.376949   |   0.000021   |           |             |      | (3126.2898)      -  (6415.44)       | 1s.2p                 | 3P*     | 2    | 2p2                    | 3P      | 1    |   5 - 3   |       |                    |                 |
          |                       |            |                       |              |           |             |      |                                     |                       |         |      |                        |         |      |           |       |                    |                 |
Ar XVII   |                       |            |            0.377202   |   0.000021   |           |             |      | (3139.5824)      -  (6426.52)       | 1s.2p                 | 1P*     | 1    | 2p2                    | 1D      | 2    |   3 - 5   |       |                    |                 |
