------------------------------------------------------------------------------------------------------
Configuration      | Term   |    J |    g |           Level (eV) |   Uncertainty (eV) | Reference
2s2.2p2.(3P).6p    | 4D*    |  1/2 |    2 |                      |                    |              
                   |        |  3/2 |    4 |         33.28549     |                    |              
                   |        |  5/2 |    6 |         33.295646    |                    |              
                   |        |  7/2 |    8 |         33.31357     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).6p    | 4P*    |  1/2 |    2 |                      |                    |              
                   |        |  3/2 |    4 |                      |                    |              
                   |        |  5/2 |    6 |         33.32478?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<0>).6g | 2[4]   |  7/2 |    8 |         33.608192    |                    |              
                   |        |  9/2 |   10 |         33.608197    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).6g | 2[4]   |  9/2 |   10 |         33.621024    |                    |              
                   |        |  7/2 |    8 |         33.621024    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).6g | 2[5]   |  9/2 |   10 |         33.622638    |                    |              
                   |        | 11/2 |   12 |         33.622664    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<1>).6g | 2[3]   |  5/2 |    6 |         33.623017    |                    |              
                   |        |  7/2 |    8 |         33.623031    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).6g | 2[2]   |  3/2 |    4 |         33.644427    |                    |              
                   |        |  5/2 |    6 |         33.644427    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).6g | 2[6]   | 11/2 |   12 |         33.645306    |                    |              
                   |        | 13/2 |   14 |         33.645318    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).6g | 2[3]   |  7/2 |    8 |         33.646271    |                    |              
                   |        |  5/2 |    6 |         33.646287    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).6g | 2[4]   |  7/2 |    8 |         33.647408    |                    |              
                   |        |  9/2 |   10 |         33.647427    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P<2>).6g | 2[5]   |  9/2 |   10 |         33.647459    |                    |              
                   |        | 11/2 |   12 |         33.647500    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).7p    | 4D*    |  1/2 |    2 |                      |                    |              
                   |        |  3/2 |    4 |         33.81401     |                    |              
                   |        |  5/2 |    6 |         33.82136     |                    |              
                   |        |  7/2 |    8 |         33.84377     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(3P).7p    | 4P*    |  3/2 |    4 |                      |                    |              
                   |        |  1/2 |    2 |                      |                    |              
                   |        |  5/2 |    6 |         33.85000     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4d    | 2F     |  5/2 |    6 |         34.06351     |                    |              
                   |        |  7/2 |    8 |         34.06856     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4d    | 2D     |  3/2 |    4 |         34.08524     |                    |              
                   |        |  5/2 |    6 |         34.08673     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4d    | 2P     |  1/2 |    2 |                      |                    |              
                   |        |  3/2 |    4 |         34.17142?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4f G  | 2[4]*  |  9/2 |   10 |         34.200066    |                    |              
                   |        |  7/2 |    8 |         34.200066    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4f F  | 2[3]*  |  5/2 |    6 |         34.204965    |                    |              
                   |        |  7/2 |    8 |         34.204965    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1S).3d    | 2D     |  3/2 |    4 |         34.217649    |                    |              
                   |        |  5/2 |    6 |         34.228977    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4d    | 2S     |  1/2 |    2 |         34.21920?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4f D  | 2[2]*  |  3/2 |    4 |         34.227922    |                    |              
                   |        |  5/2 |    6 |         34.227931    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4f H  | 2[5]*  |  9/2 |   10 |         34.233210    |                    |              
                   |        | 11/2 |   12 |         34.233220    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).4f P  | 2[1]*  |  1/2 |    2 |         34.252347    |                    |              
                   |        |  3/2 |    4 |         34.252347    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5s    | 2D     |  3/2 |    4 |         34.485502?   |                    |              
                   |        |  5/2 |    6 |         34.485537    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1S).4s    | 2S     |  1/2 |    2 |         34.990808    |                    |              
-------------------|--------|------|------|----------------------|--------------------|---------------
-------------------|--------|------|------|----------------------|--------------------|---------------
O III (2p2 3P<0>)  | Limit  |  --- |      |         35.12112     |           0.00006  | L11267,L10621
-------------------|--------|------|------|----------------------|--------------------|---------------
-------------------|--------|------|------|----------------------|--------------------|---------------
O III (2p2 3P<1>)  | Limit  |  --- |      |         35.13515     |                    |              
-------------------|--------|------|------|----------------------|--------------------|---------------
-------------------|--------|------|------|----------------------|--------------------|---------------
O III (2p2 3P<2>)  | Limit  |  --- |      |         35.15908     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5f G  | 2[4]*  |  9/2 |   10 |         35.439458?   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5f F  | 2[3]*  |  7/2 |    8 |         35.442338?   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).5g | 2[5]   | 11/2 |   12 |         35.451924    |                    |              
                   |        |  9/2 |   10 |         35.451924    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).5g | 2[4]   |  9/2 |   10 |         35.452208    |                    |              
                   |        |  7/2 |    8 |         35.452208    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5f D  | 2[2]*  |  5/2 |    6 |         35.454483?   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5f H  | 2[5]*  |  9/2 |   10 |         35.45681?    |                    |              
                   |        | 11/2 |   12 |         35.45681?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).5g | 2[6]   | 11/2 |   12 |         35.459519    |                    |              
                   |        | 13/2 |   14 |         35.459519    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).5f P  | 2[1]*  |  3/2 |    4 |         35.466334?   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D).6s    | 2D     |  3/2 |    4 |         35.58912     |                    |              
                   |        |  5/2 |    6 |         35.58930     |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1S).4p    | 2P*    |  1/2 |    2 |         35.95426?    |                    |              
                   |        |  3/2 |    4 |         35.95545?    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).6g | 2[5]   | 11/2 |   12 |         36.119448    |                    |              
                   |        |  9/2 |   10 |         36.119448    |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).6g | 2[4]   |  7/2 |    8 |         36.119577?   |                    |              
                   |        |  9/2 |   10 |         36.119577?   |                    |              
                   |        |      |      |                      |                    |               
2s2.2p2.(1D<2>).6g | 2[6]   | 13/2 |   14 |         36.123830    |                    |              
                   |        | 11/2 |   12 |         36.123830    |                    |              
                   |        |      |      |                      |                    |               
2s.2p3.(5S*).3d    | 6D*    |  9/2 |   10 |         36.191047+x  |                    |              
                   |        |  7/2 |    8 |         36.191169+x  |                    |              
                   |        |  5/2 |    6 |         36.191326+x  |                    |              
                   |        |  3/2 |    4 |         36.191472+x  |                    |              
                   |        |  1/2 |    2 |         36.191571+x  |                    |              
                   |        |      |      |                      |                    |               
2s.2p3.(5S*).4s    | 6S*    |  5/2 |    6 |         37.053302+x  |                    |              
-------------------|--------|------|------|----------------------|--------------------|---------------
-------------------|--------|------|------|----------------------|--------------------|---------------
O III (2p2 1D<2>)  | Limit  |  --- |      |         37.63468     |                    |              
-------------------|--------|------|------|----------------------|--------------------|---------------
-------------------|--------|------|------|----------------------|--------------------|---------------
O III (2p2 1S<0>)  | Limit  |  --- |      |         40.47546     |                    |              
------------------------------------------------------------------------------------------------------
