--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti III    |                  485.449     |                  485.449+    |      1 |           |      |      18.318652        -       20.871949       | 3p6.3d.5p             | 3D*        | 2    | 3p6.3d.5d             | 1P         | 1    |       |              |          L3593  |
Ti I      |                  485.4737    |                  485.47381   |     27 |           |      |       2.2393266       -        4.7924936      | 3d3.(2P).4s           | b 3P       | 1    | 3d3.(2P).4p           | t 3D*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  485.59053   |                  485.59041   |     18 | 2.39e+06  | C+   |       3.09479323      -        5.64734719     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3P).4p           | y 2P*      | 3/2  |       |        T7385 |            u37  |
Ti I      |                  485.6010    |                  485.60103   |   2200 | 5.2e+07   | D    |       2.2555912       -        4.8080893      | 3d3.(2H).4s           | a 3H       | 6    | 3d3.(2H).4p           | z 3I*      | 7    |       |       T4401n |         L10989  |
Ti III    |                  485.622     |                  485.623+    |      2 | 4.7e+07   | D    |      15.923712        -       18.476094       | 3p6.3d.4d             | 3D         | 1    | 3p6.3d.5p             | 3P*        | 0    |       |        T1216 |          L3593  |
Ti I      |                  485.7457    |                  485.74570   |     24 |           |      |       2.6766322       -        5.22837016     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d2.4s.(4F).4d        | 3G         | 5    |       |              |         L10989  |
Ti III    |                  485.8129    |                  485.813+    |      9 | 4.2e+07   | D    |      15.955485        -       18.506872       | 3p6.3d.4d             | 3D         | 3    | 3p6.3d.5p             | 3P*        | 2    |       |        T1216 |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  486.3753    |                  486.37516   |     34 |           |      |       2.2497287       -        4.7981643      | 3d3.(2P).4s           | b 3P       | 2    | 3d3.(2P).4p           | t 3D*      | 2    |       |              |         L10989  |
Ti I      |                  486.4175    |                  486.41743   |     81 |           |      |       2.1602828       -        4.7084969      | 3d3.(2D2).4s          | a 3D       | 2    | 3d2.(3P).4s.4p.(1P*)  | u 3D*      | 2    |       |              |         L10989  |
Ti II     |                  486.56115   |                  486.56104   |     13 | 7.65e+04  | C+'  |       1.11558345      -        3.66304542     | 3d3                   | a 2G       | 7/2  | 3d2.(3F).4p           | z 4G*      | 5/2  |       |        T7385 |            u37  |
Ti III    |                  486.5938    |                  486.593+    |      3 |           |      |      15.923712        -       18.471007       | 3p6.3d.4d             | 3D         | 1    | 3p6.3d.5p             | 3P*        | 1    |       |              |          L3593  |
Ti I      |                  486.8142    |                  486.8144    |        | 1.56e+07  | C+   |       3.3365027       -        5.8826390      | 3d3.(4F).4p           | y 5G*      | 6    | 3d2.4p2               | g 5G       | 6    |       |        T6897 |         L18003  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  486.8259    |                  486.82596   |   1300 |           |      |       2.2363294       -        4.7824051      | 3d3.(2H).4s           | a 3H       | 4    | 3d3.(2H).4p           | z 3I*      | 5    |       |              |         L10989  |
Ti I      |                  487.0127    |                  487.01246   |   1900 |           |      |       2.2492302       -        4.7943309      | 3d3.(2H).4s           | a 3H       | 5    | 3d3.(2H).4p           | z 3I*      | 6    |       |              |         L10989  |
Ti III    |                  487.3995    |                  487.400+    |     10 | 1.5e+08   | D    |      18.252057        -       20.795137       | 3p6.3d.5p             | 1D*        | 2    | 3p6.3d.5d             | 1F         | 3    |       |        T1216 |   L3593,L11926  |
Ti II     |                  487.40096   |                  487.40094   |     62 | 2.20e+07  | B    |       3.09479323      -        5.63786544     | 3d.4s2                | c 2D       | 3/2  | 3d2.(3P).4p           | y 2P*      | 1/2  |       |        T7385 |            u37  |
Ti I      |                  487.4594    |                  487.45985   |     7q |           |      |       2.2497287       -        4.7924936      | 3d3.(2P).4s           | b 3P       | 2    | 3d3.(2P).4p           | t 3D*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  487.4598    |                  487.45974   |   11bl |           |      |       6.63997249      -        9.18273796     | 3d.(2D).4s.4p.(3P*)   | w 2D*      | 5/2  | 3d2.(1D).4d           | 2F         | 7/2  |       |              |            u37  |
Ti I      |                  487.4872    |                  487.48747   |     11 | 1.03e+07  | C+   |       3.3194249       -        5.8620458      | 3d3.(4F).4p           | y 5G*      | 5    | 3d2.4p2               | g 5G       | 5    |       |        T6897 |         L10989  |
Ti I      |                  487.5269    |                  487.52748   |    11q |           |      |       2.6618772       -        5.20428937     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 3    | 3d2.4s.(4F).4d        | 3G         | 4    |       |              |         L10989  |
Ti XXI    |                              |                  487.7       |        |           |      |   [5870.726]          -    [5873.268]         | 1s.4p                 | 3P*        | 0    | 1s.4d                 | 3D         | 1    |       |              |         L11926  |
Ti I      |                  488.0285    |                  488.02856   |     37 |           |      |       0.8995494       -        3.4393511      | 3d2.4s2               | a 1D       | 2    | 3d2.(3P).4s.4p.(3P*)  | z 5P*      | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  488.0907    |                  488.09075   |     61 |           |      |       2.1535471       -        4.6930253      | 3d3.(2D2).4s          | a 3D       | 1    | 3d2.(3P).4s.4p.(1P*)  | u 3D*      | 1    |       |              |         L10989  |
Ti I      |                  488.2324    |                  488.23272   |     79 |           |      |       2.2555912       -        4.7943309      | 3d3.(2H).4s           | a 3H       | 6    | 3d3.(2H).4p           | z 3I*      | 6    |       |              |         L10989  |
Ti I      |                  488.2629    |                  488.26265   |      7 |           |      |       2.6953801       -        5.23396424     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d2.4s.(4F).4d        | 3H         | 4    |       |              |         L10989  |
Ti III    |                  488.4321    |                  488.431+    |      4 | 2.0e+07   | D    |      18.295373        -       20.833083       | 3p6.3d.5p             | 3D*        | 1    | 3p6.3d.5d             | 3D         | 2    |       |        T1216 |          L3593  |
Ti I      |                  488.4819    |                  488.48290   |      9 |           |      |       3.2935658       -        5.8310053      | 3d3.(4F).4p           | y 5G*      | 3    | 3d2.4p2               | g 5G       | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  488.5081    |                  488.50794   |   3700 | 4.90e+07  | C+   |       1.8870882       -        4.4243977      | 3d3.(2G).4s           | a 3G       | 5    | 3d3.(2G).4p           | y 3H*      | 6    |       |        T4922 |         L10989  |
Ti I      |                  488.5973    |                  488.59674   |     14 |           |      |       2.5056521       -        5.0425004      | 3d3.(2D2).4s          | b 1D       | 2    | 3d3.(4P).4p           | r 3D*      | 2    |       |              |         L10989  |
Ti I      |                  488.8713    |                  488.87105   |      6 | 1.34e+07  | C+   |       3.2848782       -        5.8203031      | 3d3.(4F).4p           | y 5G*      | 2    | 3d2.4p2               | g 5G       | 2    |       |        T6897 |         L10989  |
Ti I      |                  488.9825    |                  488.98253   |      7 |           |      |       2.6953801       -        5.23022701     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d2.4s.(4F).4d        | e 5D       | 4    |       |              |         L10989  |
Ti I      |                  489.0995    |                  489.09935   |     19 |           |      |       2.3340995       -        4.8683409      | 3d3.(4P).4s           | c 3P       | 1    | 3d.4s2.4p             | w 1D*      | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  489.1855    |                  489.18634   |     18 |           |      |       2.1747061       -        4.7084969      | 3d3.(2D2).4s          | a 3D       | 3    | 3d2.(3P).4s.4p.(1P*)  | u 3D*      | 2    |       |              |         L10989  |
Ti III    |                  489.2840    |                  489.284+    |      6 | 3.3e+07   | D    |      15.937720        -       18.471007       | 3p6.3d.4d             | 3D         | 2    | 3p6.3d.5p             | 3P*        | 1    |       |        T1216 |          L3593  |
Ti I      |                  489.3052    |                  489.30527   |     76 |           |      |       2.2492302       -        4.7824051      | 3d3.(2H).4s           | a 3H       | 5    | 3d3.(2H).4p           | z 3I*      | 5    |       |              |         L10989  |
Ti I      |                  489.3409    |                  489.34099   |     43 |           |      |       2.6953801       -        5.22837016     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d2.4s.(4F).4d        | 3G         | 5    |       |              |         L10989  |
Ti I      |                  489.3891    |                  489.38882   |     12 |           |      |       2.1602828       -        4.6930253      | 3d3.(2D2).4s          | a 3D       | 2    | 3d2.(3P).4s.4p.(1P*)  | u 3D*      | 1    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  489.769     |                  489.768+    |      2 |           |      |      18.341165        -       20.871949       | 3p6.3d.5p             | 3F*        | 2    | 3p6.3d.5d             | 1P         | 1    |       |              |          L3593  |
Ti I      |                  489.9909    |                  489.99088   |   3200 |           |      |       1.8792039       -        4.4088344      | 3d3.(2G).4s           | a 3G       | 4    | 3d3.(2G).4p           | y 3H*      | 5    |       |              |         L10989  |
Ti I      |                  490.0026    |                  490.00216   |    24q |           |      |       2.6618772       -        5.19144948     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 3    | 3d2.4s.(4F).4d        | g 3F       | 2    |       |              |         L10989  |
Ti I      |                  490.0584    |                  490.05850   |     20 |           |      |       2.6766322       -        5.20591368     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d2.4s.(4F).4d        | g 3F       | 3    |       |              |         L10989  |
Ti I      |                  490.0997    |                  490.10025   |     16 |           |      |       2.6618772       -        5.19094325     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 3    | 3d2.4s.(4F).4d        | 3G         | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  490.3737    |                  490.37342   |     28 |           |      |       2.6766322       -        5.20428937     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d2.4s.(4F).4d        | 3G         | 4    |       |              |         L10989  |
Ti III    |                  490.761     |                  490.761+    |      2 | 2.9e+07   | D    |      20.067368        -       22.593032       | 3p6.3d.4f             | 1P*        | 1    | 3p6.3d.(2D<3/2>).5g   | 2[5/2]     | 2    |       |        T1216 |          L3593  |
Ti III    |                  490.8395    |                  490.839+    |      1 |           |      |      18.342156        -       20.867416       | 3p6.3d.5p             | 3D*        | 3    | 3p6.3d.5d             | 3G         | 4    |       |              |          L3593  |
Ti I      |                  490.8449    |                  490.84490   |     22 |           |      |       2.6953801       -        5.22060936     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 5    | 3d2.4s.(4F).4d        | g 3F       | 4    |       |              |         L10989  |
Ti I      |                  490.9098    |                  490.90985   |     76 |           |      |       0.8258595       -        3.3507546      | 3d3.(4F).4s           | a 5F       | 3    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  491.11950   |                  491.11944   |    109 | 1.70e+07  | B+   |       3.12352955      -        5.64734719     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3P).4p           | y 2P*      | 3/2  |       |        T7385 |            u37  |
Ti I      |                  491.3615    |                  491.36134   |   2500 | 4.44e+07  | C+   |       1.8731670       -        4.3957422      | 3d3.(2G).4s           | a 3G       | 3    | 3d3.(2G).4p           | y 3H*      | 4    |       |        T4922 |         L10989  |
Ti III    |                  491.4315    |                  491.431+    |      6 | 1.1e+08   | D    |      18.295373        -       20.817590       | 3p6.3d.5p             | 3D*        | 1    | 3p6.3d.5d             | 3D         | 1    |       |        T1216 |          L3593  |
Ti I      |                  491.5230    |                  491.52287   |    200 | 2.40e+06  | C+   |       1.8870882       -        4.4088344      | 3d3.(2G).4s           | a 3G       | 5    | 3d3.(2G).4p           | y 3H*      | 5    |       |        T4922 |         L10989  |
Ti II     |                  491.685     |                  491.68535   |      : | 2.15e+00  | B    |       0.57388034      -        3.09479323     | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.4s2                | c 2D       | 3/2  | M1+E2 |        T3093 |  L18001,L18000  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  491.7781    |                  491.77814   |        | 1.47e+06  | D+   |       2.6766322       -        5.19706946     | 3d2.(3F).4s.4p.(3P*)  | z 3G*      | 4    | 3d2.4s.(4F).4d        | e 5H       | 4    |       |        T6897 |         L18003  |
Ti I      |                  491.9861    |                  491.98607   |    630 |           |      |       2.1602828       -        4.6796548      | 3d3.(2D2).4s          | a 3D       | 2    | 3d3.(2D2).4p          | u 3F*      | 3    |       |              |         L10989  |
Ti I      |                  492.1765    |                  492.17638   |    860 |           |      |       2.1747061       -        4.6931040      | 3d3.(2D2).4s          | a 3D       | 3    | 3d3.(2D2).4p          | u 3F*      | 4    |       |              |         L10989  |
Ti I      |                  492.5400    |                  492.54008   |    200 |           |      |       1.8792039       -        4.3957422      | 3d3.(2G).4s           | a 3G       | 4    | 3d3.(2G).4p           | y 3H*      | 4    |       |              |         L10989  |
Ti II     |                  492.589     |                  492.58869   |      : | 1.90e+00  | C+   |       0.60723962      -        3.12352955     | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.4s2                | c 2D       | 5/2  | M1+E2 |        T3093 |  L18001,L18000  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  492.6151    |                  492.61481   |    120 | 2.65e+05  | C+   |       0.8181426       -        3.3342991      | 3d3.(4F).4s           | a 5F       | 2    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 3    |       |        T4498 |         L10989  |
Ti I      |                  492.8337    |                  492.83362   |   890* | 6.2e+07   | D    |       2.1535471       -        4.6685865      | 3d3.(2D2).4s          | a 3D       | 1    | 3d3.(2D2).4p          | u 3F*      | 2    |       |       T4401n |         L10989  |
Ti I      |                  492.8337    |                  492.83401   |   890* |           |      |       2.2673677       -        4.7824051      | 3d3.(2G).4s           | b 1G       | 4    | 3d3.(2H).4p           | z 3I*      | 5    |       |              |         L10989  |
Ti I      |                  492.8878    |                  492.88848   |        |           |      |       0.8359952       -        3.3507546      | 3d3.(4F).4s           | a 5F       | 4    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 4    |       |              |          L9190  |
Ti III    |                  492.9533    |                  492.953+    |      7 |           |      |      18.318652        -       20.833083       | 3p6.3d.5p             | 3D*        | 2    | 3p6.3d.5d             | 3D         | 2    |       |              |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  493.0735    |                  493.073+    |      8 |           |      |      18.341165        -       20.854984       | 3p6.3d.5p             | 3F*        | 2    | 3p6.3d.5d             | 3D         | 3    |       |              |          L3593  |
Ti III    |                  493.2674    |                  493.267+    |      7 |           |      |      18.342156        -       20.854984       | 3p6.3d.5p             | 3D*        | 3    | 3p6.3d.5d             | 3D         | 3    |       |              |          L3593  |
Ti I      |                  493.7727    |                  493.77258   |    140 |           |      |       0.8129437       -        3.3232005      | 3d3.(4F).4s           | a 5F       | 1    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 2    |       |              |         L10989  |
Ti I      |                  493.8036    |                  493.80424   |      7 | 1.78e+05  | C+   |       1.9968989       -        4.5069948      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 4    | 3d2.4s.(4F).5s        | e 5F       | 5    |       |        T6897 |         L10989  |
Ti I      |                  493.8291    |                  493.82917   |    500 |           |      |       2.5783261       -        5.0882953      | 3d3.(2H).4s           | a 1H       | 5    | 3d3.(2H).4p           | y 1H*      | 5    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  494.0969    |                  494.09689   |     14 | 3.98e+05  | B+   |       1.9807258       -        4.4893350      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 3    | 3d2.4s.(4F).5s        | e 5F       | 4    |       |        T6897 |         L10989  |
Ti I      |                  494.1306    |                  494.13030   |     28 |           |      |       0.8258595       -        3.3342991      | 3d3.(4F).4s           | a 5F       | 3    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 3    |       |              |         L10989  |
Ti I      |                  494.1569    |                  494.15707   |     96 | 5.3e+06   | D    |       2.1602828       -        4.6685865      | 3d3.(2D2).4s          | a 3D       | 2    | 3d3.(2D2).4p          | u 3F*      | 2    |       |       T4401n |         L10989  |
Ti I      |                  494.3066    |                  494.30668   |     24 |           |      |       0.8995494       -        3.4070939      | 3d2.4s2               | a 1D       | 2    | 3d2.(1D).4s.4p.(3P*)  | x 3D*      | 3    |       |              |         L10989  |
Ti III    |                  494.4040    |                  494.404+    |      9 |           |      |      18.341165        -       20.848216       | 3p6.3d.5p             | 3F*        | 2    | 3p6.3d.5d             | 3G         | 3    |       |              |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  494.4351    |                  494.43503   |    14* | 5.30e+05  | B    |       1.9685071       -        4.4754008      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 2    | 3d2.4s.(4F).5s        | e 5F       | 3    |       |        T6897 |         L10989  |
Ti I      |                  494.4351    |                  494.43552   |    14* |           |      |       2.4079690       -        4.9148602      | 3d2.(3F).4s.4p.(3P*)  | z 3F*      | 3    | 3d3.(4F).5s           | f 3F       | 3    |       |              |         L10989  |
Ti III    |                  494.6000    |                  494.600+    |      6 |           |      |      18.342156        -       20.848216       | 3p6.3d.5p             | 3D*        | 3    | 3p6.3d.5d             | 3G         | 3    |       |              |          L3593  |
Ti I      |                  494.6186    |                  494.61879   |      6 |           |      |       2.4268635       -        4.9328257      | 3d2.(3F).4s.4p.(3P*)  | z 3F*      | 4    | 3d3.(4F).5s           | f 3F       | 4    |       |              |         L10989  |
Ti I      |                  494.7970    |                  494.79735   |     35 |           |      |       0.8181426       -        3.3232005      | 3d3.(4F).4s           | a 5F       | 2    | 3d2.(1D).4s.4p.(3P*)  | x 3F*      | 2    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  494.8188    |                  494.81893   |     88 |           |      |       2.1747061       -        4.6796548      | 3d3.(2D2).4s          | a 3D       | 3    | 3d3.(2D2).4p          | u 3F*      | 3    |       |              |         L10989  |
Ti III    |                  495.0104    |                  495.010+    |     10 |           |      |      18.363436        -       20.867416       | 3p6.3d.5p             | 3F*        | 3    | 3p6.3d.5d             | 3G         | 4    |       |              |   L3593,L11926  |
Ti I      |                  495.8277    |                  495.82759   |     83 |           |      |       0.8995494       -        3.3994023      | 3d2.4s2               | a 1D       | 2    | 3d2.(1D).4s.4p.(3P*)  | x 3D*      | 2    |       |              |         L10989  |
Ti III    |                  496.010     |                  496.009+    |      2 |           |      |      18.318652        -       20.817590       | 3p6.3d.5p             | 3D*        | 2    | 3p6.3d.5d             | 3D         | 1    |       |              |          L3593  |
Ti III    |                  496.136     |                  496.137+    |      7 | 4.5e+07   | D    |      16.025380        -       18.523676       | 3p6.3d.4d             | 1P         | 1    | 3p6.3d.5p             | 1P*        | 1    |       |        T1216 |          L3593  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  496.365     |                  496.364+    |      1 |           |      |      15.844011        -       18.341165       | 3p6.3d.4d             | 1F         | 3    | 3p6.3d.5p             | 3F*        | 2    |       |              |          L3593  |
Ti I      |                  496.4716    |                  496.47170   |    150 | 8.17e+06  | B+   |       1.9685071       -        4.4651169      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 2    | 3d2.4s.(4F).5s        | e 5F       | 2    |       |        T6897 |         L10989  |
Ti I      |                  496.6028    |                  496.60275   |     29 |           |      |       2.1602828       -        4.6562337      | 3d3.(2D2).4s          | a 3D       | 2    | 3d3.(2G).4p           | v 3G*      | 3    |       |              |         L10989  |
Ti I      |                  496.7299    |                  496.72958   |     25 |           |      |       0.000           -        2.4953136      | 3d2.4s2               | a 3F       | 2    | 3d2.(3F).4s.4p.(3P*)  | z 3D*      | 3    |       |              |         L10989  |
Ti I      |                  496.8568    |                  496.85675   |    220 | 8.92e+06  | B+   |       1.9807258       -        4.4754008      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 3    | 3d2.4s.(4F).5s        | e 5F       | 3    |       |        T6897 |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  497.0156    |                  497.01506   |      4 |           |      |       2.1747061       -        4.6685865      | 3d3.(2D2).4s          | a 3D       | 3    | 3d3.(2D2).4p          | u 3F*      | 2    |       |              |         L10989  |
Ti III    |                  497.1194    |                  497.119+    |     10 | 2.1e+08   | D    |      18.400524        -       20.893881       | 3p6.3d.5p             | 3F*        | 4    | 3p6.3d.5d             | 3G         | 5    |       |        T1216 |   L3593,L11926  |
Ti I      |                  497.3029    |                  497.30307   |    230 | 7.32e+06  | B+   |       1.9968989       -        4.4893350      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 4    | 3d2.4s.(4F).5s        | e 5F       | 4    |       |        T6897 |         L10989  |
Ti III    |                  497.479     |                  497.480+    |      2 |           |      |      18.363436        -       20.854984       | 3p6.3d.5p             | 3F*        | 3    | 3p6.3d.5d             | 3D         | 3    |       |              |          L3593  |
Ti I      |                  497.5342    |                  497.53431   |    620 |           |      |       2.5056521       -        4.9969298      | 3d3.(2D2).4s          | b 1D       | 2    | 3d3.(2D2).4p          | w 1F*      | 3    |       |              |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  497.604     |                  497.604+    |      3 |           |      |      18.342156        -       20.833083       | 3p6.3d.5p             | 3D*        | 3    | 3p6.3d.5d             | 3D         | 2    |       |              |          L3593  |
Ti I      |                  497.7728    |                  497.77275   |    150 | 4.41e+06  | B+   |       2.0169105       -        4.5069948      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 5    | 3d2.4s.(4F).5s        | e 5F       | 5    |       |        T6897 |         L10989  |
Ti I      |                  497.8187    |                  497.81878   |    510 |           |      |       1.9685071       -        4.4583613      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 2    | 3d2.4s.(4F).5s        | e 5F       | 1    |       |              |         L10989  |
Ti I      |                  497.9257    |                  497.92594   |     19 |           |      |       2.1747061       -        4.6640244      | 3d3.(2D2).4s          | a 3D       | 3    | 3d3.(2G).4p           | v 3G*      | 4    |       |              |         L10989  |
Ti II     |                  498.1355    |                  498.13558   |        | 3.1e+04   | D    |       1.56577727      -        4.05404796     | 3d3                   | b 2D2      | 3/2  | 3d2.(3F).4p           | z 4D*      | 5/2  |       |        T4502 |          L9190  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  498.1731    |                  498.17305   |  14000 | 6.60e+07  | C+   |       0.8484192       -        3.3365027      | 3d3.(4F).4s           | a 5F       | 5    | 3d3.(4F).4p           | y 5G*      | 6    |       |        T4294 |         L10989  |
Ti II     |                  498.279     |                  498.27917   |      : | 4.20e-01  | C+   |       0.60723962      -        3.09479323     | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.4s2                | c 2D       | 3/2  | E2    |        T3093 |  L18001,L18000  |
Ti II     |                  498.31554   |                  498.31583   |     36 |           |      |       6.97401747      -        9.4613881      | 3d.(2D).4s.4p.(3P*)   | y 4P*      | 3/2  | 3d2.(3P).4d           | 4F         | 5/2  |       |              |            u37  |
Ti III    |                  498.836     |                  498.835+    |      3 |           |      |      18.363436        -       20.848216       | 3p6.3d.5p             | 3F*        | 3    | 3p6.3d.5d             | 3G         | 3    |       |              |          L3593  |
Ti I      |                  498.9134    |                  498.91346   |    660 | 3.70e+07  | B+   |       1.9807258       -        4.4651169      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 3    | 3d2.4s.(4F).5s        | e 5F       | 2    |       |        T6897 |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  499.1067    |                  499.10660   |  13000 | 5.84e+07  | C+   |       0.8359952       -        3.3194249      | 3d3.(4F).4s           | a 5F       | 4    | 3d3.(4F).4p           | y 5G*      | 5    |       |        T4294 |         L10989  |
Ti I      |                  499.5066    |                  499.50653   |     43 |           |      |       2.2497287       -        4.7311701      | 3d3.(2P).4s           | b 3P       | 2    | 3d2.(3P).4s.4p.(1P*)  | u 3D*      | 3    |       |              |         L10989  |
Ti I      |                  499.7093    |                  499.70967   |   1700 | 4.69e+05  | A    |       0.000           -        2.4804327      | 3d2.4s2               | a 3F       | 2    | 3d2.(3F).4s.4p.(3P*)  | z 3D*      | 2    |       |        T7574 |         L10989  |
Ti I      |                  499.7726    |                  499.77185   |    12q |           |      |       3.1042426       -        5.5843667      | 3d3.(2F).4s           | 3F         | 4    | 3d3.(4F).5p           | 3F*        | 4    |       |              |         L10989  |
Ti I      |                  499.9502    |                  499.95030   |  12000 | 5.27e+07  | C+   |       0.8258595       -        3.3050983      | 3d3.(4F).4s           | a 5F       | 3    | 3d3.(4F).4p           | y 5G*      | 4    |       |        T4294 |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  500.0988    |                  500.09896   |    910 | 3.65e+07  | B+   |       1.9968989       -        4.4754008      | 3d2.(3F).4s.4p.(3P*)  | z 5G*      | 4    | 3d2.4s.(4F).5s        | e 5F       | 3    |       |        T6897 |         L10989  |
Ti I      |                  500.2155    |                  500.21534   |      6 |           |      |       3.1129222       -        5.5908474      | 3d2.(3F).4s.4p.(1P*)  | y 3F*      | 2    | 3d2.4s.(2D).5s        | 3D         | 1    |       |              |         L10989  |
Ti III    |                  500.516     |                  500.518+    |      4 |           |      |      18.341165        -       20.817590       | 3p6.3d.5p             | 3F*        | 2    | 3p6.3d.5d             | 3D         | 1    |       |              |          L3593  |
Ti II     |                  500.5170    |                  500.51672   |     10 | 1.9e+05   | D    |       1.56577727      -        4.04221048     | 3d3                   | b 2D2      | 3/2  | 3d2.(3F).4p           | z 4D*      | 3/2  |       |        T4502 |          L9190  |
Ti I      |                  500.7206    |                  500.72093   |  10000 | 4.92e+07  | C+   |       0.8181426       -        3.2935658      | 3d3.(4F).4s           | a 5F       | 2    | 3d3.(4F).4p           | y 5G*      | 3    |       |        T4294 |         L10989  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti III    |                  500.880     |                  500.879+    |      3 |           |      |      18.554951        -       21.029595       | 3p6.3d.5p             | 1F*        | 3    | 3p6.3d.5d             | 3F         | 2    |       |              |          L3593  |
Ti III    |                  500.880     |                  500.879+    |      3 |           |      |      15.844011        -       18.318652       | 3p6.3d.4d             | 1F         | 3    | 3p6.3d.5p             | 3D*        | 2    |       |              |          L3593  |
Ti I      |                  500.9645    |                  500.96447   |  1200* | 2.41e+05  | A    |       0.02109378      -        2.4953136      | 3d2.4s2               | a 3F       | 3    | 3d2.(3F).4s.4p.(3P*)  | z 3D*      | 3    |       |        T7574 |         L10989  |
