--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                    Observed  |                      Ritz    |   Rel. |    Aki    | Acc. |                Ei           Ek                |                Lower level                |                Upper level                |   Type|          TP  |           Line  |
          |                   Wavelength |                   Wavelength |   Int. |    s^-1   |      |               (eV)         (eV)               |-------------------------------------------|-------------------------------------------|       |         Ref. |           Ref.  |
          |                    Air (nm)  |                    Air (nm)  |   (?)  |           |      |                                               | Conf.                 | Term       | J    | Conf.                 | Term       | J    |       |              |                 |
Ti XVII   |                              |                  206.7       |        | 8.5e-02   | D    |     157.6310          -      163.6269         | 2p4                   | 3P         | 2    | 2p4                   | 3P         | 0    | E2    |    T3827,u14 |                 |
Ti IV     |                  206.7564    |                  206.756+    |     20 | 5.1e+08   | D    |       9.966956        -       15.961675       | 3p6.4s                | 2S         | 1/2  | 3p6.4p                | 2P*        | 3/2  |       |        T2757 |   L2753,L11926  |
Ti II     |                  206.84504   |                  206.845051  |     18 |           |      |       3.12352955      -        9.11567771     | 3d.4s2                | c 2D       | 5/2  | 3d2.(3F).5p           | 2F*        | 5/2  |       |              |            u37  |
Ti II     |                  206.931     |                  206.930278  |     0: |           |      |       4.30826565      -       10.2979462      | 3d2.(3F).4p           | z 2G*      | 9/2  | 3d2.(3F).6s           | 4F         | 7/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti I      |                  206.98398   |                  206.98412   |      1 |           |      |       0.0479663       -        6.0360888      | 3d2.4s2               | a 3F       | 4    | 3d2.4s.(2F).5p        | 3G*        | 4    |       |              |         L10989  |
Ti I      |                  207.21857   |                  207.218652  |     2* |           |      |       0.02109378      -        6.00243991     | 3d2.4s2               | a 3F       | 3    | 3d2.4s.(4F<9/2>).4f   | 2[7/2]*    | 4    |       |              |         L10989  |
Ti I      |                  207.21857   |                  207.218734  |     2* |           |      |       0.000           -        5.98134373     | 3d2.4s2               | a 3F       | 2    | 3d2.4s.(4F<7/2>).4f   | 2[3/2]*    | 2    |       |              |         L10989  |
Ti II     |                  208.257     |                  208.257361  |     0: |           |      |       0.57388034      -        6.5253975      | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 5/2  |       |              |          L5432  |
Ti II     |                  208.948     |                  208.949500  |     0: |           |      |       0.57388034      -        6.5056858      | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 5/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
Ti II     |                  209.004     |                  209.004113  |     0: |           |      |       0.57388034      -        6.5041360      | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 3/2  |       |              |          L5432  |
Ti II     |                  209.106     |                  209.105613  |     0: |           |      |       0.60723962      -        6.53461708     | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 7/2  |       |              |          L5432  |
Ti V      |                  209.1104    |                  209.11+     |    5bl |           |      |      55.01832         -       60.94551        | 3s2.3p5.4s            | 1P*        | 1    | 3s.3p6.3d             | 3D         | 2    |       |              |          L3693  |
Ti II     |                  209.430     |                  209.431407  |     0: |           |      |       0.60723962      -        6.5253975      | 3d2.(3F).4s           | a 2F       | 7/2  | 3d.(2D).4s.4p.(3P*)   | 4D*        | 5/2  |       |              |          L5432  |
Ti II     |                  209.569     |                  209.571617  |     1: |           |      |       0.57388034      -        6.4880793      | 3d2.(3F).4s           | a 2F       | 5/2  | 3d.(2D).4s.4p.(3P*)   | 4F*        | 3/2  |       |              |          L5432  |
          |                              |                              |        |           |      |                                               |                       |            |      |                       |            |      |       |              |                 |
