---------------------------------------------------------------------------------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |   Landé | Leading percentages                            | Reference
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(3P*)   | x 1D*     |   2 |             4.3438033      |   1.003 |  61         :    14  3d2.(3F).4s.4p.(3P*) 1D*  |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3F2       |   2 |             4.3547497      |         |                                                |    L17885
                       |           |   3 |             4.3610824      |         |                                                |    L17885
                       |           |   4 |             4.3694756      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3H        |   4 |             4.3822903      |         |                                                |    L17885
                       |           |   5 |             4.3890697      |         |                                                |    L17885
                       |           |   6 |             4.3976571      |         |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(1P*)   | y 3S*     |   1 |             4.3939071      |   1.935 |  64         :    34  3d3.(4P).4p          3S*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | y 3H*     |   4 |             4.3957422      |   0.803 |  85         :    12  3d2.(1G).4s.4p.(3P*) 3H*  |    L17885
                       |           |   5 |             4.4088344      |   1.035 |  84         :    13  3d2.(1G).4s.4p.(3P*) 3H*  |    L17885
                       |           |   6 |             4.4243977      |   1.168 |  85         :    12  3d2.(1G).4s.4p.(3P*) 3H*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | w 5D*     |   0 |             4.4018604      |         |  97                                            |    L17885
                       |           |   1 |             4.4048793      |   1.498 |  98                                            |    L17885
                       |           |   2 |             4.4109965      |   1.499 |  98                                            |    L17885
                       |           |   3 |             4.4203962      |   1.500 |  98                                            |    L17885
                       |           |   4 |             4.4333518      |   1.500 |  99                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5s         | e 5F      |   1 |             4.4583613      |   0.00  |                                                |    L17885
                       |           |   2 |             4.4651169      |         |                                                |    L17885
                       |           |   3 |             4.4754008      |   1.24  |                                                |    L17885
                       |           |   4 |             4.4893350      |   1.34  |                                                |    L17885
                       |           |   5 |             4.5069948      |   1.42  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d2.(1G).4s.4p.(1P*)   | y 1G*     |   4 |             4.4634495      |   1.000 |  49         :    30  3d3.(2G).4p          1G*  |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | b 3G      |   3 |             4.4715479      |         | 100                                            |    L17885
                       |           |   4 |             4.4798321      |         | 100                                            |    L17885
                       |           |   5 |             4.4883187      |         | 100                                            |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | y 5P*     |   1 |             4.5004313      |   2.486 |  96                                            |    L17885
                       |           |   2 |             4.5056692      |   1.827 |  97                                            |    L17885
                       |           |   3 |             4.5148264      |   1.665 |  97                                            |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | w 3P*     |   0 |             4.5986251      |         |  47         :    31  3d3.(4P).4p          3P*  |    L17885
                       |           |   1 |             4.6088632      |   1.508 |  45         :    32  3d3.(4P).4p          3P*  |    L17885
                       |           |   2 |             4.6277610      |   1.503 |  46         :    35  3d3.(4P).4p          3P*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(4P).4p            | y 5S*     |   2 |             4.6319508      |   1.999 |  93                                            |    L17885
                       |           |     |                            |         |                                                |           
3d2.4s.(4F).5s         | e 3F      |   2 |             4.6542257      |   0.67  |                                                |    L17885
                       |           |   3 |             4.6692439      |   1.11  |                                                |    L17885
                       |           |   4 |             4.6896723      |   1.27  |                                                |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | v 3G*     |   3 |             4.6562337      |   0.769 |  78         :    10  3d2.(1G).4s.4p.(3P*) 3G*  |    L17885
                       |           |   4 |             4.6640244      |   1.075 |  80         :     9  3d2.(1G).4s.4p.(3P*) 3G*  |    L17885
                       |           |   5 |             4.6730049      |   1.198 |  81         :     8  3d2.(1G).4s.4p.(3P*) 3G*  |    L17885
                       |           |     |                            |         |                                                |           
3d.4s2.4p              | x 1F*     |   3 |             4.6646048      |   0.989 |  46         :    22  3d2.(1G).4s.4p.(1P*) 1F*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2D2).4p           | u 3F*     |   2 |             4.6685865      |   0.667 |  51         :    28  3d3.(2G).4p          3F*  |    L17885
                       |           |   3 |             4.6796548      |   1.078 |  47         :    27  3d3.(2G).4p          3F*  |    L17885
                       |           |   4 |             4.6931040      |   1.231 |  45         :    28  3d3.(2G).4p          3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d2.(3P).4s.4p.(1P*)   | u 3D*     |   1 |             4.6930253      |   0.516 |  47         :    26  3d3.(2P).4p          3D*  |    L17885
                       |           |   2 |             4.7084969      |   1.162 |  46         :    24  3d3.(2P).4p          3D*  |    L17885
                       |           |   3 |             4.7311701      |   1.331 |  48         :    23  3d3.(2P).4p          3D*  |    L17885
                       |           |     |                            |         |                                                |           
3d3.(2G).4p            | t 3F*     |   2 |             4.7673547      |   0.675 |  59         :    27  3d3.(2D2).4p         3F*  |    L17885
                       |           |   3 |             4.7788861      |   1.086 |  58         :    26  3d3.(2D2).4p         3F*  |    L17885
                       |           |   4 |             4.7945586      |   1.250 |  58         :    29  3d3.(2D2).4p         3F*  |    L17885
                       |           |     |                            |         |                                                |           
3d4                    | 3D        |   2 |             4.7704264      |         |                                                |    L17885
