-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          525.65648   |          525.65636   |         8 |             |      |    23.51420420  -     25.87220283 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).6d        | 4F      | 5/2  |       |                      |  L11520  |
Ar II     |          525.8223    |          525.8249    |         1 |             |      |    24.15972844  -     26.5169714  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<2>).7g     | 2[3]    | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          525.9174    |          525.91803   |         1 |             |      |    23.08230330  -     25.43912875 | 3s2.3p4.(3P).4d       | 4P      | 1/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 1/2  |       |                      |  L14821  |
Ar II     |          526.18987   |          526.18981   |         7 |             |      |    24.15972844  -     26.5153366  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<2>).7g     | 2[4]    | 7/2  |       |                      |   L2634  |
Ar II     |          526.4305    |          526.4302    |         1 |             |      |    24.16242376  -     26.5169562  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<2>).7g     | 2[3]    | 7/2  |       |                      |  L14821  |
Ar II     |          526.47819   |          526.47824   |        17 |             |      |    23.54889293  -     25.90321055 | 3s2.3p4.(3P).4d       | 2P      | 1/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
Ar II     |          526.71634   |          526.71651   |        14 |             |      |    23.40402740  -     25.75728005 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).6d        | 4D      | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          526.7958    |          526.79597   |         3 |             |      |    24.16242376  -     26.5153215  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<2>).7g     | 2[4]    | 9/2  |       |                      |  L14821  |
Ar II     |          526.8246    |          526.82584   |         3 |             |      |    24.16242376  -     26.5151880  | 3s2.3p4.(3P<2>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<2>).7g     | 2[5]    | 9/2  |       |                      |  L14821  |
Ar II     |          526.9761    |          526.97569   |         4 |             |      |    23.43808861  -     25.79018386 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).6d        | 4D      | 3/2  |       |                      |  L11520  |
Ar II     |          527.3580    |          527.3598    |         1 |             |      |    23.8932498   -     26.2436322  | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(3P<1>).6f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          527.385     |          527.38704   |       0.5 |             |      |    23.70200875  -     26.0522694  | 3s2.3p4.(3P).5p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 2D      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          528.16295   |          528.162946  |        21 |             |      |    23.40402740  -     25.75083545 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).6d        | 4D      | 7/2  |       |                      |  L11520  |
Ar II     |          528.3437    |          528.345700  |       1bl |             |      |    23.07028979  -     25.41628609 | 3s2.3p4.(3P).4d       | 4F      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          528.5438    |          528.543022  |         2 |             |      |    22.82463943  -     25.16975990 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(1D).5p        | 2P*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          528.6069    |           | 9.6e+04     | E    |    13.17177759  -     15.5166145  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<1/2>).6d  | 2[5/2]* | 3    |       |               T1164n |          |
Ar II     |          528.68866   |          528.688689  |        18 | 2.e+05      | C    |    17.26583338  -     19.61030772 | 3s2.3p4.(3P).4s       | 2P      | 1/2  | 3s2.3p4.(3P).4p        | 4D*     | 3/2  |       |                 T926 |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          528.8634    |          528.863551  |         1 |             |      |    23.07028979  -     25.41398897 | 3s2.3p4.(3P).4d       | 4F      | 5/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar I      |                      |          529.0015    |           | 9.0e+04     | E    |    13.17177759  -     15.5148656  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).8d  | 2[1/2]* | 1    |       |               T1164n |          |
Ar II     |          529.00551   |          529.00553   |         9 |             |      |    24.31038395  -     26.6534541  | 3s2.3p4.(3P<1>).4f    | 2[2]*   | 3/2  | 3s2.3p4.(3P<1>).7g     | 2[3]    | 5/2  |       |                      |  L11520  |
Ar II     |          529.099     |          529.1006    |      0.5p |             |      |    24.17649215  -     26.519141   | 3s2.3p4.(3P<2>).4f    | 2[2]*   | 3/2  | 3s2.3p4.(3P<2>).7g     | 2[2]    | 3/2  |       |                      |  L14821  |
Ar II     |          529.197     |          529.194971  |       0.5 |             |      |    23.48728610  -     25.82951751 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).7s        | 4P      | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          529.38157   |          529.38155   |         6 |             |      |    24.31205364  -     26.6534596  | 3s2.3p4.(3P<1>).4f    | 2[2]*   | 5/2  | 3s2.3p4.(3P<1>).7g     | 2[3]    | 7/2  |       |                      |  L11520  |
Ar II     |          529.5892    |          529.5911    |         3 |             |      |    24.17649215  -     26.5169714  | 3s2.3p4.(3P<2>).4f    | 2[2]*   | 3/2  | 3s2.3p4.(3P<2>).7g     | 2[3]    | 5/2  |       |                      |  L14821  |
Ar II     |          529.63883   |          529.63885   |         7 |             |      |    24.31372301  -     26.6539915  | 3s2.3p4.(3P<1>).4f    | 2[4]*   | 9/2  | 3s2.3p4.(3P<1>).7g     | 2[5]    | 11/2 |       |                      |  L11520  |
Ar II     |          529.6791    |          529.67949   |         3 |             |      |    23.8932498   -     26.2333387  | 3s2.3p4.(3P).4d       | 2D      | 3/2  | 3s2.3p4.(3P<1>).6f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          529.8001    |          529.799994  |         2 |             |      |    23.61990867  -     25.95946532 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 2F      | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          529.90805   |          529.908241  |         5 |             |      |    23.62038658  -     25.95946532 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).6d        | 2F      | 5/2  |       |                      |   L2634  |
Ar II     |          529.948     |          529.94925   |         0 |             |      |    23.64787986  -     25.9867776  | 3s2.3p4.(3P).5p       | 4D*     | 1/2  | 3s2.3p4.(3P).6d        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          530.07745   |          530.07752   |         8 |             |      |    24.31566947  -     26.6540013  | 3s2.3p4.(3P<1>).4f    | 2[4]*   | 7/2  | 3s2.3p4.(3P<1>).7g     | 2[5]    | 9/2  |       |                      |  L11520  |
Ar II     |          530.256     |          530.256944  |         0 |             |      |    23.10328497  -     25.44082553 | 3s2.3p4.(3P).4d       | 4F      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar II     |          530.56856   |          530.5682    |       15* |             |      |    24.18078715  -     26.5169562  | 3s2.3p4.(3P<2>).4f    | 2[2]*   | 5/2  | 3s2.3p4.(3P<2>).7g     | 2[3]    | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          530.56856   |          530.56880   |       15* |             |      |    19.97253806  -     22.30870468 | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(1S).3d        | 2D      | 3/2  |       |                      |  L11520  |
Ar II     |          530.8074    |          530.80709   |         5 |             |      |    21.36689086  -     23.70200875 | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(3P).5p        | 4S*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          530.9513    |           | 1.2e+05     | E    |    13.17177759  -     15.5062612  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<1/2>).6d  | 2[3/2]* | 2    |       |               T1164n |          |
Ar II     |          531.19816   |          531.19817   |         5 |             |      |    24.37801662  -     26.7114154  | 3s2.3p4.(3P<0>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<0>).7g     | 2[4]    | 9/2  |       |                      |  L11520  |
Ar II     |          531.2078    |          531.20779   |         5 |             |      |    24.37801662  -     26.7113731  | 3s2.3p4.(3P<0>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<0>).7g     | 2[4]    | 7/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          531.4258    |          531.426101  |         2 |             |      |    23.48728610  -     25.81968404 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).7s        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          531.5215    |          531.52227   |       4bl |             |      |    24.37939715  -     26.7113731  | 3s2.3p4.(3P<0>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<0>).7g     | 2[4]    | 7/2  |       |                      |  L11520  |
Ar II     |          531.611     |          531.6083    |        0* |             |      |    23.63042474  -     25.962023   | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(3P).7p        | 1*      | 3/2  |       |                      |  L14821  |
Ar II     |          531.611     |          531.6106    |        0* |             |      |    23.63042474  -     25.962013   | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(3P).7p        | 1*      | 5/2  |       |                      |  L14821  |
Ar I      |                      |          531.7715    |           | 2.6e+05     | E    |    13.30222736  -     15.633110   | 3s2.3p5.(2P*<1/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<1/2>).7d  | 2[5/2]* | 3    |       |               T1164n |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar VIII   |          532.690     |          532.69      |           |             |      |   129.51948     -    131.84636    | 2p6.8d                | 2D      | 5/2  | 2p6.9p                 | 2P*     | 3/2  |       |                      |   L7203  |
Ar II     |          532.8758    |          532.874065  |       1bl |             |      |    23.61990867  -     25.94596892 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 4F      | 3/2  |       |                      |  L14821  |
Ar II     |          532.96992   |          532.96991   |        10 |             |      |    24.19224869  -     26.5178907  | 3s2.3p4.(3P<2>).4f    | 2[5]*   | 11/2 | 3s2.3p4.(3P<2>).7g     | 2[6]    | 13/2 |       |                      |  L11520  |
Ar II     |          533.0664    |          533.064535  |   3bl,i,G |             |      |    22.77287946  -     25.09810859 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P).6p        | 4D*     | 7/2  |       |                      |  L14821  |
Ar II     |          533.1042    |          533.10417   |         6 |             |      |    24.19283478  -     26.5178910  | 3s2.3p4.(3P<2>).4f    | 2[5]*   | 9/2  | 3s2.3p4.(3P<2>).7g     | 2[6]    | 11/2 |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          533.270     |          533.271548  |         0 |             |      |    22.78797899  -     25.11230549 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P).6p        | 4D*     | 5/2  |       |                      |  L14821  |
Ar II     |          533.512     |          533.510209  |       0.5 |             |      |    23.10328497  -     25.42657172 | 3s2.3p4.(3P).4d       | 4F      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          533.5916    |          533.59148   |         1 |             |      |    24.19224869  -     26.5151816  | 3s2.3p4.(3P<2>).4f    | 2[5]*   | 11/2 | 3s2.3p4.(3P<2>).7g     | 2[5]    | 11/2 |       |                      |  L14821  |
Ar II     |          533.7250    |          533.72466   |         1 |             |      |    24.19283478  -     26.5151880  | 3s2.3p4.(3P<2>).4f    | 2[5]*   | 9/2  | 3s2.3p4.(3P<2>).7g     | 2[5]    | 9/2  |       |                      |  L14821  |
Ar II     |          533.8106    |          533.810080  |         1 |             |      |    23.48447022  -     25.80645186 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).6d        | 4F      | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          533.933     |          533.932891  |         1 |             |      |    23.11937796  -     25.44082553 | 3s2.3p4.(3P).4d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 3/2  |       |                      |  L14821  |
Ar VIII   |          534.20      |          534.32      |           |             |      |   129.5170      -    131.8367     | 2p6.8d                | 2D      | 3/2  | 2p6.9p                 | 2P*     | 1/2  |       |                      |  L11180  |
Ar II     |          534.326     |          534.32344   |        0? |             |      |    23.11937796  -     25.43912875 | 3s2.3p4.(3P).4d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[1]*   | 1/2  |       |                      |  L14821  |
Ar II     |          534.45228   |          534.45231   |         7 |             |      |    23.43808861  -     25.75728005 | 3s2.3p4.(3P).5p       | 4P*     | 3/2  | 3s2.3p4.(3P).6d        | 4D      | 5/2  |       |                      |  L11520  |
Ar II     |          534.5609    |          534.55966   |         1 |             |      |    19.30534474  -     21.62407043 | 3s2.3p4.(3P).4p       | 4P*     | 1/2  | 3s2.3p4.(1D).3d        | 2P      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          534.82636   |          534.82634   |        13 |             |      |    24.33873385  -     26.6563034  | 3s2.3p4.(3P<1>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<1>).7g     | 2[4]    | 9/2  |       |                      |  L11520  |
Ar II     |          534.8604    |          534.860247  |         2 |             |      |    23.61990867  -     25.93733129 | 3s2.3p4.(3P).5p       | 2P*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          534.9717    |          534.970572  |         2 |             |      |    23.62038658  -     25.93733129 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).6d        | 4P      | 5/2  |       |                      |  L14821  |
Ar II     |          535.1449    |          535.1433    |        4l |             |      |    24.34003106  -     26.656228   | 3s2.3p4.(3P<1>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<1>).7g     | 2[4]    | 7/2  |       |                      |  L14821  |
Ar II     |          535.482     |          535.48342   |         1 |             |      |    24.33873385  -     26.6534596  | 3s2.3p4.(3P<1>).4f    | 2[3]*   | 7/2  | 3s2.3p4.(3P<1>).7g     | 2[3]    | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          535.781     |          535.77757   |        1* |             |      |    23.63042474  -     25.94387967 | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          535.781     |          535.78369   |        1* |             |      |    24.34003106  -     26.6534596  | 3s2.3p4.(3P<1>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<1>).7g     | 2[3]    | 7/2  |       |                      |  L14821  |
Ar II     |          535.781     |          535.78495   |        1* |             |      |    24.34003106  -     26.6534541  | 3s2.3p4.(3P<1>).4f    | 2[3]*   | 5/2  | 3s2.3p4.(3P<1>).7g     | 2[3]    | 5/2  |       |                      |  L14821  |
Ar II     |          535.83797   |          535.83790   |        14 |             |      |    23.54889293  -     25.86208739 | 3s2.3p4.(3P).4d       | 2P      | 1/2  | 3s2.3p4.(1D<2>).4f     | 2[1]*   | 1/2  |       |                      |  L11520  |
Ar II     |          535.8616    |          535.862916  |         2 |             |      |    23.25811355  -     25.57120002 | 3s2.3p4.(3P).4d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          535.90657   |          535.90671   |         6 |             |      |    23.67388014  -     25.9867776  | 3s2.3p4.(3P).5p       | 2S*     | 1/2  | 3s2.3p4.(3P).6d        | 2P      | 3/2  |       |                      |   L2634  |
Ar II     |          536.4142    |          536.415428  |         1 |             |      |    23.10328497  -     25.41398897 | 3s2.3p4.(3P).4d       | 4F      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[3]*   | 5/2  |       |                      |  L14821  |
Ar II     |          536.5485    |          536.548804  |         1 |             |      |    22.78797899  -     25.09810859 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P).6p        | 4D*     | 7/2  |       |                      |  L14821  |
Ar II     |          537.2007    |          537.2005    |         2 |             |      |    24.21181391  -     26.519141   | 3s2.3p4.(3P<2>).4f    | 2[1]*   | 1/2  | 3s2.3p4.(3P<2>).7g     | 2[2]    | 3/2  |       |                      |  L14821  |
Ar II     |          537.233     |          537.231557  |         0 |             |      |    23.11937796  -     25.42657172 | 3s2.3p4.(3P).4d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          537.3494    |           | 2.7e+05     | D    |    13.15314376  -     15.4598315  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 1    | 3s2.3p5.(2P*<3/2>).7d  | 2[5/2]* | 2    |       |               T1164n |          |
Ar II     |          537.66347   |          537.66347   |        12 |             |      |    24.21382608  -     26.5191665  | 3s2.3p4.(3P<2>).4f    | 2[1]*   | 3/2  | 3s2.3p4.(3P<2>).7g     | 2[2]    | 5/2  |       |                      |  L11520  |
Ar II     |          537.8077    |          537.807900  |         7 |             |      |    23.57017702  -     25.87489830 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 3/2  |       |                      |  L11520  |
Ar II     |          537.894     |          537.891246  |         0 |             |      |    23.11937796  -     25.42374213 | 3s2.3p4.(3P).4d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).5f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          537.91666   |          537.91663   |         2 |             |      |    23.68252216  -     25.9867776  | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 2P      | 3/2  |       |                      |   L2634  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          538.2330    |          538.23376   |         2 |             |      |    23.48728610  -     25.79018386 | 3s2.3p4.(3P).5p       | 4P*     | 1/2  | 3s2.3p4.(3P).6d        | 4D      | 3/2  |       |                      |  L14821  |
Ar II     |          538.43742   |          538.43763   |         8 |             |      |    23.57017702  -     25.87220283 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).6d        | 4F      | 5/2  |       |                      |  L11520  |
Ar II     |          538.6519    |          538.652450  |         2 |             |      |    23.25811355  -     25.55922131 | 3s2.3p4.(3P).4d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar II     |          539.122     |          539.123098  |         0 |             |      |    19.96749891  -     22.26659785 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(1S).3d        | 2D      | 5/2  |       |                      |  L14821  |
Ar II     |          539.36015   |          539.360014  |         8 |             |      |    23.64787986  -     25.94596892 | 3s2.3p4.(3P).5p       | 4D*     | 1/2  | 3s2.3p4.(3P).6d        | 4F      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar I      |                      |          539.3979    |           | 9.6e+04     | D    |    13.17177759  -     15.469705   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).9s  | 2[3/2]* | 2    |       |               T1164n |          |
Ar II     |          539.481     |          539.485167  |         1 |             |      |    23.25811355  -     25.55566950 | 3s2.3p4.(3P).4d       | 2F      | 5/2  | 3s2.3p4.(3P<1>).5f     | 2[2]*   | 5/2  |       |                      |  L14821  |
Ar II     |          539.75164   |          539.751766  |        35 |             |      |    23.48447022  -     25.78089135 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).6d        | 4F      | 9/2  |       |                      |  L11520  |
Ar II     |          540.062     |          540.064103  |         1 |             |      |    23.40402740  -     25.69912045 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L14821  |
Ar II     |          540.2170    |          540.217101  |         1 |             |      |    22.80250953  -     25.09695258 | 3s2.3p4.(3P).5s       | 2P      | 1/2  | 3s2.3p4.(3P).6p        | 4P*     | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          540.26051   |          540.260594  |        15 |             |      |    23.62038658  -     25.91464492 | 3s2.3p4.(3P).5p       | 2D*     | 5/2  | 3s2.3p4.(3P).6d        | 2F      | 7/2  |       |                      |  L11520  |
Ar II     |          540.73448   |          540.734497  |        24 |             |      |    23.51420420  -     25.80645186 | 3s2.3p4.(3P).5p       | 4D*     | 5/2  | 3s2.3p4.(3P).6d        | 4F      | 7/2  |       |                      |  L11520  |
Ar II     |          540.9401    |          540.941250  |         1 |             |      |    22.81135824  -     25.10272979 | 3s2.3p4.(3P).4d       | 4D      | 3/2  | 3s2.3p4.(3P).6p        | 4D*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          541.0475    |           | 2.0e+05     | D    |    13.17177759  -     15.4626992  | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2    | 3s2.3p5.(2P*<3/2>).7d  | 2[5/2]* | 3    |       |               T1164n |          |
Ar II     |          541.1646    |          541.165623  |         3 |             |      |    22.77287946  -     25.06330100 | 3s2.3p4.(3P).4d       | 4D      | 7/2  | 3s2.3p4.(3P).6p        | 4P*     | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          541.24465   |          541.24471   |         6 |             |      |    23.67388014  -     25.96396700 | 3s2.3p4.(3P).5p       | 2S*     | 1/2  | 3s2.3p4.(3P).6d        | 2D      | 3/2  |       |                      |   L2634  |
Ar II     |          541.6710    |          541.672534  |         1 |             |      |    22.78797899  -     25.07625711 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P).6p        | 4P*     | 3/2  |       |                      |  L14821  |
Ar I      |          542.1352    |          542.1351    |         5 | 6.0e+05     | D    |    13.07571560  -     15.3620413  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3    | 3s2.3p5.(2P*<3/2>).8s  | 2[3/2]* | 2    |       |               T1164n |   L2634  |
Ar II     |          542.503     |          542.50452   |         0 |             |      |    23.70200875  -     25.9867776  | 3s2.3p4.(3P).5p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          543.294     |          543.29494   |         1 |             |      |    23.68252216  -     25.96396700 | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 2D      | 3/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          543.9676    |          543.967273  |         3 |             |      |    21.35179967  -     23.63042474 | 3s2.3p4.(1D).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).4d        | 2P      | 3/2  |       |                      |  L14821  |
Ar I      |                      |          543.9989    |           | 1.9e+05     | D+   |    12.90701519  -     15.18550787 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 1    |       |               T1218n |          |
Ar II     |          544.0524    |          544.05443   |         1 |             |      |    23.57017702  -     25.84843705 | 3s2.3p4.(3P).5p       | 4D*     | 3/2  | 3s2.3p4.(3P).6d        | 4P      | 1/2  |       |                      |  L14821  |
Ar II     |          544.0932    |          544.094953  |         2 |             |      |    22.82463943  -     25.10272979 | 3s2.3p4.(1D).3d       | 2S      | 1/2  | 3s2.3p4.(3P).6p        | 4D*     | 3/2  |       |                      |  L14821  |
Ar I      |                      |          544.2246    |           | 9.3e+04     | D    |    13.07571560  -     15.3532631  | 3s2.3p5.(2P*<3/2>).4p | 2[5/2]  | 3    | 3s2.3p5.(2P*<3/2>).6d  | 2[5/2]* | 3    |       |               T1164n |          |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          544.36893   |          544.369090  |         7 |             |      |    23.68252216  -     25.95946532 | 3s2.3p4.(3P).5p       | 2D*     | 3/2  | 3s2.3p4.(3P).6d        | 2F      | 5/2  |       |                      |  L11520  |
Ar II     |          544.7556    |          544.756954  |         2 |             |      |    22.78797899  -     25.06330100 | 3s2.3p4.(3P).4d       | 4D      | 5/2  | 3s2.3p4.(3P).6p        | 4P*     | 5/2  |       |                      |  L14821  |
Ar II     |          545.111     |          545.10654   |       0.5 |             |      |    21.42814592  -     23.70200875 | 3s2.3p4.(1D).3d       | 2D      | 3/2  | 3s2.3p4.(3P).5p        | 4S*     | 3/2  |       |                      |  L14821  |
Ar I      |          545.1652    |          545.1652    |        10 | 4.7e+05     | D+   |    12.90701519  -     15.18063346 | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1    | 3s2.3p5.(2P*<3/2>).7s  | 2[3/2]* | 2    |       |               T1218n |   L2634  |
Ar II     |          545.3634    |          545.35909   |        5* |             |      |    23.48447022  -     25.75728005 | 3s2.3p4.(3P).5p       | 4D*     | 7/2  | 3s2.3p4.(3P).6d        | 4D      | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          545.3634    |          545.36485   |        5* |             |      |    23.63042474  -     25.90321055 | 3s2.3p4.(3P).4d       | 2P      | 3/2  | 3s2.3p4.(1D<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          545.43052   |          545.429787  |       11* |             |      |    23.40402740  -     25.67654265 | 3s2.3p4.(3P).5p       | 4P*     | 5/2  | 3s2.3p4.(3P).7s        | 4P      | 5/2  |       |                      |  L11520  |
