-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |          Ei           Ek          |              Lower level               |               Upper level               |   Type|                  TP  |    Line  |
          |      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |         (eV)         (eV)         |----------------------------------------|-----------------------------------------|       |                 Ref. |    Ref.  |
          |       Air (nm)       |       Air (nm)       |           |             |      |                                   | Conf.                 | Term    | J    | Conf.                  | Term    | J    |       |                      |          |
Ar II     |          209.991     |          209.992019  |        0? |             |      |    19.97253806  -     25.87489830 | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(3P).6d        | 4P      | 3/2  |       |                      |  L14821  |
Ar II     |          210.14605   |          210.146066  |         7 |             |      |    19.80108640  -     25.69912045 | 3s2.3p4.(3P).4p       | 2P*     | 1/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L11520  |
Ar II     |          210.33517   |          210.335170  |       112 |             |      |    18.28805513  -     24.18078715 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          210.48862   |          210.488606  |        22 |             |      |    18.28805513  -     24.17649215 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L11520  |
Ar II     |          210.59351   |          210.593490  |        25 |             |      |    18.42654895  -     24.31205364 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          210.6247    |          210.625155  |         1 |             |      |    18.45411386  -     24.33873385 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          210.6537    |          210.653259  |         1 |             |      |    18.42654895  -     24.31038395 | 3s2.3p4.(1D).4s       | 2D      | 3/2  | 3s2.3p4.(3P<1>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar II     |          210.80699   |          210.806966  |         8 |             |      |    18.33428069  -     24.21382608 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[1]*   | 3/2  |       |                      |  L11520  |
Ar II     |          210.88763   |          210.887667  |         3 |             |      |    17.74309086  -     23.62038658 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 2D*     | 5/2  |       |                      |  L11520  |
Ar II     |          210.90479   |          210.904818  |        15 |             |      |    17.74309086  -     23.61990867 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 2P*     | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          211.07472   |          211.074739  |        14 |             |      |    17.77579247  -     23.64787986 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).5p        | 4D*     | 1/2  |       |                      |  L11520  |
Ar II     |          211.08964   |          211.089626  |        15 |             |      |    18.28805513  -     24.15972844 | 3s2.3p4.(3P).3d       | 4P      | 3/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L11520  |
Ar II     |          211.4532    |          211.454034  |         1 |             |      |    18.45411386  -     24.31566947 | 3s2.3p4.(1D).4s       | 2D      | 5/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 7/2  |       |                      |  L14821  |
Ar II     |          211.50789   |          211.507890  |        11 |             |      |    17.94175095  -     23.80181422 | 3s2.3p4.(3P).3d       | 2P      | 1/2  | 3s2.3p4.(1S).4p        | 2P*     | 3/2  |       |                      |  L11520  |
Ar II     |          211.6210    |          211.619266  |       0.5 |             |      |    19.97253806  -     25.82951751 | 3s2.3p4.(3P).4p       | 2S*     | 1/2  | 3s2.3p4.(3P).7s        | 4P      | 1/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          211.66863   |          211.668617  |        66 |             |      |    17.62885618  -     23.48447022 | 3s2.3p4.(3P).3d       | 4F      | 9/2  | 3s2.3p4.(3P).5p        | 4D*     | 7/2  |       |                      |  L11520  |
Ar II     |          211.7934    |          211.792653  |         1 |             |      |    19.96749891  -     25.81968404 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).7s        | 2P      | 3/2  |       |                      |  L14821  |
Ar II     |          211.8948    |          211.895002  |         1 |             |      |    20.24656508  -     26.0959238  | 3s2.3p4.(1D).3d       | 2F      | 5/2  | 3s2.3p4.(3P<2>).6f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar II     |          211.99839   |          211.998390  |        44 |             |      |    18.33428069  -     24.18078715 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 5/2  |       |                      |  L11520  |
Ar II     |          212.08511   |          212.085108  |         4 |             |      |    17.77579247  -     23.61990867 | 3s2.3p4.(3P).3d       | 4F      | 3/2  | 3s2.3p4.(3P).5p        | 2P*     | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          212.13048   |          212.130531  |         5 |             |      |    18.49586888  -     24.33873385 | 3s2.3p4.(3P).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          212.1542    |          212.154262  |         1 |             |      |    18.33428069  -     24.17649215 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[2]*   | 3/2  |       |                      |  L14821  |
Ar III    |          212.234     |          212.231933  |         8 |             |      |    27.91494375  -     33.7550174  | 3s2.3p3.(2D*).4p      | 3D      | 2    | 3s2.3p3.(2D*).5s       | 3D*     | 3    |       |                      |   L7491  |
Ar III    |          212.51373   |          212.51373   |         7 |             |      |    27.91494375  -     33.7472743  | 3s2.3p3.(2D*).4p      | 3D      | 2    | 3s2.3p3.(2D*).5s       | 3D*     | 2    |       |                      |  L11520  |
Ar II     |          212.52713   |          212.527102  |         5 |             |      |    19.86715687  -     25.69912045 | 3s2.3p4.(3P).4p       | 2P*     | 3/2  | 3s2.3p4.(3P).7s        | 4P      | 3/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          212.550     |          212.54710   |         3 |             |      |    27.91585928  -     33.7472743  | 3s2.3p3.(2D*).4p      | 3D      | 1    | 3s2.3p3.(2D*).5s       | 3D*     | 2    |       |                      |   L7491  |
Ar II     |          212.5706    |          212.57029   |         1 |             |      |    20.27222673  -     26.1030054  | 3s2.3p4.(1D).3d       | 2F      | 7/2  | 3s2.3p4.(3P<2>).6f     | 2[5]*   | 9/2  |       |                      |  L14821  |
Ar II     |          212.66643   |          212.666435  |        79 |             |      |    18.33428069  -     24.16242376 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 7/2  |       |                      |  L11520  |
Ar II     |          212.70503   |          212.705013  |        10 |             |      |    17.74309086  -     23.57017702 | 3s2.3p4.(3P).3d       | 4F      | 5/2  | 3s2.3p4.(3P).5p        | 4D*     | 3/2  |       |                      |  L11520  |
Ar II     |          212.7646    |          212.764843  |         3 |             |      |    18.33428069  -     24.15972844 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[3]*   | 5/2  |       |                      |  L14821  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          212.789     |          212.78723   |         3 |             |      |    27.91494375  -     33.7397786  | 3s2.3p3.(2D*).4p      | 3D      | 2    | 3s2.3p3.(2D*).5s       | 3D*     | 1    |       |                      |   L7491  |
Ar III    |          212.822     |          212.82069   |         6 |             |      |    27.91585928  -     33.7397786  | 3s2.3p3.(2D*).4p      | 3D      | 1    | 3s2.3p3.(2D*).5s       | 3D*     | 1    |       |                      |   L7491  |
Ar II     |          212.8665    |          212.865810  |         1 |             |      |    19.96749891  -     25.79018386 | 3s2.3p4.(3P).4p       | 4S*     | 3/2  | 3s2.3p4.(3P).6d        | 4D      | 3/2  |       |                      |  L14821  |
Ar II     |          212.94236   |          212.942384  |        32 |             |      |    18.33428069  -     24.15487203 | 3s2.3p4.(3P).3d       | 4P      | 5/2  | 3s2.3p4.(3P<2>).4f     | 2[4]*   | 7/2  |       |                      |  L11520  |
Ar II     |          212.98085   |          212.980875  |        21 |             |      |    17.69466466  -     23.51420420 | 3s2.3p4.(3P).3d       | 4F      | 7/2  | 3s2.3p4.(3P).5p        | 4D*     | 5/2  |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar II     |          213.04258   |          213.042582  |       155 |             |      |    18.49586888  -     24.31372301 | 3s2.3p4.(3P).3d       | 2F      | 7/2  | 3s2.3p4.(3P<1>).4f     | 2[4]*   | 9/2  |       |                      |  L11520  |
Ar II     |          213.0974    |          213.09667   |       0.5 |             |      |    19.54901161  -     25.3653893  | 3s2.3p4.(3P).4p       | 4D*     | 5/2  | 3s2.3p4.(3P).5d        | 2D      | 5/2  |       |                      |  L14821  |
Ar III    |          213.38684   |          213.386832  |        11 |             |      |    27.94654792  -     33.7550174  | 3s2.3p3.(2D*).4p      | 3D      | 3    | 3s2.3p3.(2D*).5s       | 3D*     | 3    |       |                      |  L11520  |
Ar II     |          213.4941    |          213.49346   |         1 |             |      |    21.36689086  -     27.172460   | 3s2.3p4.(1D).3d       | 2D      | 5/2  | 3s2.3p4.(1D<2>).5f     | 2[3]*   | 7/2  |       |                      |  L14821  |
Ar III    |          213.53565   |          213.53563   |         5 |             |      |    29.6562802   -     35.4607027  | 3s2.3p3.(2P*).4p      | 3S      | 1    | 3s2.3p3.(2P*).5s       | 3P*     | 2    |       |                      |  L11520  |
          |                      |                      |           |             |      |                                   |                       |         |      |                        |         |      |       |                      |          |
Ar III    |          213.673     |          213.67170   |         3 |             |      |    27.94654792  -     33.7472743  | 3s2.3p3.(2D*).4p      | 3D      | 3    | 3s2.3p3.(2D*).5s       | 3D*     | 2    |       |                      |   L7491  |
